Date,ZM
2022-02-28,132.60000610351562
2022-03-01,122.77999877929688
2022-03-02,121.61000061035156
2022-03-03,113.11000061035156
2022-03-04,108.94000244140625
2022-03-07,107.87999725341797
2022-03-08,108.48999786376953
2022-03-09,109.08000183105469
2022-03-10,103.33000183105469
2022-03-11,98.12000274658203
2022-03-14,94.63999938964844
2022-03-15,98.97000122070312
2022-03-16,106.83999633789062
2022-03-17,111.29000091552734
2022-03-18,116.27999877929688
2022-03-21,116.87000274658203
2022-03-22,119.80000305175781
2022-03-23,116.80999755859375
2022-03-24,117.75
2022-03-25,113.93000030517578
2022-03-28,117.44999694824219
2022-03-29,126.26000213623047
2022-03-30,122.38999938964844
2022-03-31,117.2300033569336
2022-04-01,118.0199966430664
2022-04-04,124.27999877929688
2022-04-05,122.0199966430664
2022-04-06,116.08999633789062
2022-04-07,114.31999969482422
2022-04-08,110.9000015258789
2022-04-11,109.05000305175781
2022-04-12,106.58000183105469
2022-04-13,114.88999938964844
2022-04-14,110.30999755859375
2022-04-18,105.73999786376953
2022-04-19,111.18000030517578
2022-04-20,103.69999694824219
2022-04-21,100.94999694824219
2022-04-22,100.16999816894531
2022-04-25,102.44000244140625
2022-04-26,98.36000061035156
2022-04-27,97.62000274658203
2022-04-28,102.55999755859375
2022-04-29,99.56999969482422
2022-05-02,104.79000091552734
2022-05-03,103.52999877929688
2022-05-04,108.9800033569336
2022-05-05,100.83999633789062
2022-05-06,96.37999725341797
2022-05-09,92.33999633789062
2022-05-10,90.68000030517578
2022-05-11,84.80000305175781
2022-05-12,84.97000122070312
2022-05-13,94.83999633789062
2022-05-16,88.91999816894531
2022-05-17,90.94000244140625
2022-05-18,84.69000244140625
2022-05-19,90.94000244140625
2022-05-20,89.73999786376953
2022-05-23,89.33000183105469
2022-05-24,94.33999633789062
2022-05-25,102.33999633789062
2022-05-26,107.0
2022-05-27,110.41999816894531
2022-05-31,107.44999694824219
2022-06-01,107.6500015258789
2022-06-02,112.23999786376953
2022-06-03,109.41999816894531
2022-06-06,111.01000213623047
2022-06-07,115.04000091552734
2022-06-08,115.45999908447266
2022-06-09,110.4000015258789
2022-06-10,109.06999969482422
2022-06-13,103.31999969482422
2022-06-14,106.86000061035156
2022-06-15,112.93000030517578
2022-06-16,106.08999633789062
2022-06-17,110.0
2022-06-21,113.81999969482422
2022-06-22,115.16999816894531
2022-06-23,117.66999816894531
2022-06-24,122.63999938964844
2022-06-27,119.81999969482422
2022-06-28,113.12999725341797
2022-06-29,111.87000274658203
2022-06-30,107.97000122070312
2022-07-01,110.97000122070312
2022-07-05,120.41999816894531
2022-07-06,117.05999755859375
2022-07-07,120.73999786376953
2022-07-08,119.80000305175781
2022-07-11,108.37999725341797
2022-07-12,107.98999786376953
2022-07-13,101.01000213623047
2022-07-14,97.3499984741211
2022-07-15,99.8499984741211
2022-07-18,98.91999816894531
2022-07-19,102.08000183105469
2022-07-20,107.08999633789062
2022-07-21,110.8499984741211
2022-07-22,106.55000305175781
2022-07-25,106.0999984741211
2022-07-26,100.33000183105469
2022-07-27,105.91000366210938
2022-07-28,106.22000122070312
2022-07-29,103.86000061035156
2022-08-01,105.38999938964844
