Date,ESLT
2022-02-28,206.05999755859375
2022-03-01,204.0500030517578
2022-03-02,213.4199981689453
2022-03-03,205.49000549316406
2022-03-04,203.38999938964844
2022-03-07,216.25999450683594
2022-03-08,200.9199981689453
2022-03-09,198.9499969482422
2022-03-10,206.4600067138672
2022-03-11,204.89999389648438
2022-03-14,205.66000366210938
2022-03-15,211.83999633789062
2022-03-16,210.19000244140625
2022-03-17,214.5500030517578
2022-03-18,213.72999572753906
2022-03-21,225.00999450683594
2022-03-22,229.61000061035156
2022-03-23,228.27999877929688
2022-03-24,230.75
2022-03-25,233.72999572753906
2022-03-28,236.82000732421875
2022-03-29,217.60000610351562
2022-03-30,225.5800018310547
2022-03-31,220.4499969482422
2022-04-01,219.97000122070312
2022-04-04,216.5399932861328
2022-04-05,218.49000549316406
2022-04-06,216.07000732421875
2022-04-07,219.4199981689453
2022-04-08,216.1699981689453
2022-04-11,216.50999450683594
2022-04-12,216.52999877929688
2022-04-13,217.35000610351562
2022-04-14,221.74000549316406
2022-04-18,219.50999450683594
2022-04-19,222.33999633789062
2022-04-20,224.57000732421875
2022-04-21,217.35000610351562
2022-04-22,215.3800048828125
2022-04-25,220.86000061035156
2022-04-26,214.00999450683594
2022-04-27,216.32000732421875
2022-04-28,218.47000122070312
2022-04-29,214.3699951171875
2022-05-02,209.0
2022-05-03,209.14999389648438
2022-05-04,211.85000610351562
2022-05-05,206.11000061035156
2022-05-06,205.0
2022-05-09,196.19000244140625
2022-05-10,202.44000244140625
2022-05-11,201.36000061035156
2022-05-12,202.80999755859375
2022-05-13,206.92999267578125
2022-05-16,209.39999389648438
2022-05-17,212.1300048828125
2022-05-18,210.6199951171875
2022-05-19,209.24000549316406
2022-05-20,209.0500030517578
2022-05-23,219.99000549316406
2022-05-24,199.3300018310547
2022-05-25,197.85000610351562
2022-05-26,194.1699981689453
2022-05-27,196.24000549316406
2022-05-31,204.77000427246094
2022-06-01,206.5500030517578
2022-06-02,209.17999267578125
2022-06-03,207.6999969482422
2022-06-06,209.27999877929688
2022-06-07,207.77999877929688
2022-06-08,208.05999755859375
2022-06-09,203.97000122070312
2022-06-10,200.94000244140625
2022-06-13,197.14999389648438
2022-06-14,194.8000030517578
2022-06-15,201.4600067138672
2022-06-16,191.55999755859375
2022-06-17,194.4600067138672
2022-06-21,199.9600067138672
2022-06-22,200.5399932861328
2022-06-23,199.25999450683594
2022-06-24,205.4600067138672
2022-06-27,208.0
2022-06-28,210.3800048828125
2022-06-29,218.60000610351562
2022-06-30,229.33999633789062
2022-07-01,228.2899932861328
2022-07-05,222.0
2022-07-06,217.8000030517578
2022-07-07,219.44000244140625
2022-07-08,219.60000610351562
2022-07-11,219.3699951171875
2022-07-12,219.69000244140625
2022-07-13,226.5800018310547
2022-07-14,223.7100067138672
2022-07-15,225.99000549316406
2022-07-18,229.24000549316406
2022-07-19,232.32000732421875
2022-07-20,225.83999633789062
2022-07-21,226.22999572753906
2022-07-22,223.64999389648438
2022-07-25,225.83999633789062
2022-07-26,221.5
2022-07-27,226.5
2022-07-28,228.08999633789062
2022-07-29,231.72999572753906
2022-08-01,231.36000061035156
2022-08-02,230.25999450683594
2022-08-03,239.19000244140625
2022-08-04,233.7899932861328
2022-08-05,234.86000061035156
2022-08-08,240.2100067138672
2022-08-09,238.49000549316406
2022-08-10,244.08999633789062
2022-08-11,239.10000610351562
2022-08-12,244.27000427246094
2022-08-15,232.22999572753906
2022-08-16,222.0399932861328
2022-08-17,217.58999633789062
2022-08-18,213.05999755859375
2022-08-19,209.75
2022-08-22,204.5800018310547
2022-08-23,205.00999450683594
2022-08-24,211.72000122070312
2022-08-25,208.72000122070312
2022-08-26,204.86000061035156
2022-08-29,207.6300048828125
2022-08-30,208.8800048828125
2022-08-31,210.47000122070312
2022-09-01,208.0399932861328
2022-09-02,206.64999389648438
2022-09-06,202.72000122070312
2022-09-07,202.8699951171875
2022-09-08,198.13999938964844
2022-09-09,201.38999938964844
2022-09-12,199.10000610351562
2022-09-13,199.5800018310547
2022-09-14,201.94000244140625
2022-09-15,197.27999877929688
2022-09-16,197.75999450683594
2022-09-19,198.27999877929688
2022-09-20,196.63999938964844
2022-09-21,201.7100067138672
2022-09-22,205.47999572753906
2022-09-23,200.97000122070312
2022-09-26,199.0500030517578
2022-09-27,201.47999572753906
2022-09-28,199.19000244140625
2022-09-29,190.0
2022-09-30,190.1699981689453
2022-10-03,193.14999389648438
2022-10-04,197.8000030517578
2022-10-05,194.1300048828125
2022-10-06,198.61000061035156
2022-10-07,197.61000061035156
2022-10-10,196.11000061035156
2022-10-11,201.97000122070312
2022-10-12,205.39999389648438
2022-10-13,207.94000244140625
2022-10-14,202.24000549316406
2022-10-17,207.24000549316406
2022-10-18,208.77000427246094
2022-10-19,207.5399932861328
2022-10-20,202.75999450683594
2022-10-21,204.75
2022-10-24,200.8300018310547
2022-10-25,202.89999389648438
2022-10-26,205.77999877929688
2022-10-27,201.30999755859375
2022-10-28,202.7899932861328
2022-10-31,202.74000549316406
2022-11-01,201.72999572753906
2022-11-02,198.3000030517578
2022-11-03,194.80999755859375
2022-11-04,196.74000549316406
2022-11-07,195.22999572753906
2022-11-08,195.5
2022-11-09,194.22000122070312
2022-11-10,198.97999572753906
2022-11-11,199.1199951171875
2022-11-14,189.77999877929688
2022-11-15,189.2899932861328
2022-11-16,191.6999969482422
