Date,NVMI
2022-02-28,104.77999877929688
2022-03-01,105.44999694824219
2022-03-02,111.18000030517578
2022-03-03,106.87999725341797
2022-03-04,100.30000305175781
2022-03-07,99.66000366210938
2022-03-08,105.83999633789062
2022-03-09,110.93000030517578
2022-03-10,107.51000213623047
2022-03-11,105.62999725341797
2022-03-14,99.69999694824219
2022-03-15,104.98999786376953
2022-03-16,111.04000091552734
2022-03-17,111.91000366210938
2022-03-18,114.98999786376953
2022-03-21,113.6500015258789
2022-03-22,115.08999633789062
2022-03-23,111.87000274658203
2022-03-24,114.6500015258789
2022-03-25,111.18000030517578
2022-03-28,112.62999725341797
2022-03-29,116.6500015258789
2022-03-30,110.87000274658203
2022-03-31,108.87999725341797
2022-04-01,107.1500015258789
2022-04-04,109.73999786376953
2022-04-05,103.75
2022-04-06,101.76000213623047
2022-04-07,103.25
2022-04-08,101.48999786376953
2022-04-11,99.05000305175781
2022-04-12,98.51000213623047
2022-04-13,99.87000274658203
2022-04-14,97.18000030517578
2022-04-18,97.66999816894531
2022-04-19,101.01000213623047
2022-04-20,102.7699966430664
2022-04-21,99.9000015258789
2022-04-22,98.36000061035156
2022-04-25,100.91999816894531
2022-04-26,96.91000366210938
2022-04-27,95.01000213623047
2022-04-28,99.76000213623047
2022-04-29,98.61000061035156
2022-05-02,99.55999755859375
2022-05-03,99.81999969482422
2022-05-04,104.66999816894531
2022-05-05,99.27999877929688
2022-05-06,97.2300033569336
2022-05-09,91.25
2022-05-10,95.19000244140625
2022-05-11,91.44999694824219
2022-05-12,97.43000030517578
2022-05-13,100.4000015258789
2022-05-16,98.75
2022-05-17,102.4800033569336
2022-05-18,98.58999633789062
2022-05-19,99.19000244140625
2022-05-20,98.6500015258789
2022-05-23,101.73999786376953
2022-05-24,97.97000122070312
2022-05-25,100.91999816894531
2022-05-26,106.80000305175781
2022-05-27,108.70999908447266
2022-05-31,106.22000122070312
2022-06-01,106.86000061035156
2022-06-02,109.88999938964844
2022-06-03,108.79000091552734
2022-06-06,108.4000015258789
2022-06-07,109.12000274658203
2022-06-08,106.62999725341797
2022-06-09,103.41999816894531
2022-06-10,100.45999908447266
2022-06-13,94.80000305175781
2022-06-14,94.47000122070312
2022-06-15,97.37000274658203
2022-06-16,90.55999755859375
2022-06-17,89.83000183105469
2022-06-21,95.79000091552734
2022-06-22,93.87000274658203
2022-06-23,93.7300033569336
2022-06-24,95.9000015258789
2022-06-27,95.81999969482422
2022-06-28,92.93000030517578
2022-06-29,89.36000061035156
2022-06-30,88.52999877929688
2022-07-01,83.48999786376953
2022-07-05,83.86000061035156
2022-07-06,83.54000091552734
2022-07-07,86.4000015258789
2022-07-08,87.30000305175781
2022-07-11,89.51000213623047
2022-07-12,88.63999938964844
2022-07-13,89.5199966430664
2022-07-14,91.5
2022-07-15,94.55000305175781
2022-07-18,93.30999755859375
2022-07-19,97.87000274658203
2022-07-20,100.80000305175781
2022-07-21,104.41999816894531
2022-07-22,101.52999877929688
2022-07-25,102.33999633789062
2022-07-26,100.08000183105469
2022-07-27,104.0999984741211
2022-07-28,104.23999786376953
2022-07-29,105.3499984741211
2022-08-01,105.4000015258789
2022-08-02,104.2300033569336
2022-08-03,106.7300033569336
2022-08-04,108.6500015258789
2022-08-05,107.62000274658203
2022-08-08,105.9000015258789
2022-08-09,98.08999633789062
2022-08-10,105.31999969482422
2022-08-11,105.8499984741211
2022-08-12,110.0
2022-08-15,109.75
2022-08-16,108.62999725341797
2022-08-17,106.73999786376953
2022-08-18,109.25
2022-08-19,107.62999725341797
2022-08-22,105.79000091552734
2022-08-23,108.61000061035156
2022-08-24,107.56999969482422
2022-08-25,110.22000122070312
2022-08-26,105.13999938964844
2022-08-29,101.4000015258789
2022-08-30,98.51000213623047
2022-08-31,99.31999969482422
2022-09-01,97.80000305175781
2022-09-02,97.12999725341797
2022-09-06,95.56999969482422
2022-09-07,97.4000015258789
2022-09-08,98.61000061035156
2022-09-09,100.5199966430664
2022-09-12,100.26000213623047
2022-09-13,95.9000015258789
2022-09-14,96.75
2022-09-15,94.83999633789062
2022-09-16,94.69999694824219
2022-09-19,94.1500015258789
2022-09-20,91.80999755859375
2022-09-21,90.86000061035156
2022-09-22,88.16999816894531
2022-09-23,87.48999786376953
2022-09-26,87.05999755859375
2022-09-27,87.68000030517578
2022-09-28,89.58000183105469
2022-09-29,87.11000061035156
2022-09-30,85.30000305175781
2022-10-03,87.55999755859375
2022-10-04,90.0199966430664
2022-10-05,89.76000213623047
2022-10-06,87.33999633789062
2022-10-07,81.9800033569336
2022-10-10,79.08000183105469
2022-10-11,74.36000061035156
2022-10-12,72.2300033569336
2022-10-13,73.86000061035156
2022-10-14,70.25
2022-10-17,70.36000061035156
