Date,DOX
2022-02-28,78.69999694824219
2022-03-01,78.38999938964844
2022-03-02,80.44999694824219
2022-03-03,80.56999969482422
2022-03-04,81.87999725341797
2022-03-07,80.44000244140625
2022-03-08,78.52999877929688
2022-03-09,79.43000030517578
2022-03-10,79.8499984741211
2022-03-11,78.93000030517578
2022-03-14,79.30999755859375
2022-03-15,78.94000244140625
2022-03-16,80.81999969482422
2022-03-17,81.30999755859375
2022-03-18,81.69000244140625
2022-03-21,81.7300033569336
2022-03-22,81.44000244140625
2022-03-23,80.30000305175781
2022-03-24,81.2699966430664
2022-03-25,81.9000015258789
2022-03-28,82.0
2022-03-29,83.93000030517578
2022-03-30,82.87999725341797
2022-03-31,82.20999908447266
2022-04-01,83.45999908447266
2022-04-04,83.11000061035156
2022-04-05,82.54000091552734
2022-04-06,82.38999938964844
2022-04-07,82.83000183105469
2022-04-08,83.0199966430664
2022-04-11,82.88999938964844
2022-04-12,82.5
2022-04-13,82.75
2022-04-14,82.72000122070312
2022-04-18,82.37000274658203
2022-04-19,82.38999938964844
2022-04-20,83.12999725341797
2022-04-21,83.1500015258789
2022-04-22,81.80000305175781
2022-04-25,81.80999755859375
2022-04-26,80.16999816894531
2022-04-27,80.26000213623047
2022-04-28,80.56999969482422
2022-04-29,79.69000244140625
2022-05-02,79.1500015258789
2022-05-03,79.61000061035156
2022-05-04,81.18000030517578
2022-05-05,79.41000366210938
2022-05-06,79.08000183105469
2022-05-09,78.43000030517578
2022-05-10,77.94000244140625
2022-05-11,76.97000122070312
2022-05-12,82.93000030517578
2022-05-13,82.37000274658203
2022-05-16,83.33000183105469
2022-05-17,84.94999694824219
2022-05-18,83.44999694824219
2022-05-19,82.94999694824219
2022-05-20,84.05000305175781
2022-05-23,84.37000274658203
2022-05-24,84.62000274658203
2022-05-25,85.58000183105469
2022-05-26,84.9800033569336
2022-05-27,86.95999908447266
2022-05-31,86.88999938964844
2022-06-01,86.80999755859375
2022-06-02,87.0999984741211
2022-06-03,86.94000244140625
2022-06-06,86.54000091552734
2022-06-07,86.4000015258789
2022-06-08,85.5
2022-06-09,84.25
2022-06-10,81.80999755859375
2022-06-13,78.54000091552734
2022-06-14,78.69000244140625
