Date,MDLZ
2022-02-28,65.4800033569336
2022-03-01,64.33999633789062
2022-03-02,64.69999694824219
2022-03-03,64.91000366210938
2022-03-04,63.83000183105469
2022-03-07,62.529998779296875
2022-03-08,60.79999923706055
2022-03-09,61.290000915527344
2022-03-10,60.15999984741211
2022-03-11,59.119998931884766
2022-03-14,59.34000015258789
2022-03-15,61.16999816894531
2022-03-16,61.95000076293945
2022-03-17,62.27000045776367
2022-03-18,61.5099983215332
2022-03-21,61.369998931884766
2022-03-22,61.56999969482422
2022-03-23,60.779998779296875
2022-03-24,60.849998474121094
2022-03-25,61.52000045776367
2022-03-28,61.56999969482422
2022-03-29,63.060001373291016
2022-03-30,62.75
2022-03-31,62.779998779296875
2022-04-01,63.529998779296875
2022-04-04,63.040000915527344
2022-04-05,63.0099983215332
2022-04-06,63.209999084472656
2022-04-07,62.88999938964844
2022-04-08,63.400001525878906
2022-04-11,63.40999984741211
2022-04-12,63.66999816894531
2022-04-13,63.849998474121094
2022-04-14,63.720001220703125
2022-04-18,63.56999969482422
2022-04-19,65.20999908447266
2022-04-20,65.7300033569336
2022-04-21,65.83999633789062
2022-04-22,65.05999755859375
2022-04-25,65.77999877929688
2022-04-26,64.04000091552734
2022-04-27,64.05000305175781
2022-04-28,66.22000122070312
2022-04-29,64.4800033569336
2022-05-02,63.790000915527344
2022-05-03,64.69000244140625
2022-05-04,66.19000244140625
2022-05-05,65.2300033569336
2022-05-06,65.7300033569336
2022-05-09,66.27999877929688
2022-05-10,65.91999816894531
2022-05-11,65.55999755859375
2022-05-12,65.68000030517578
2022-05-13,66.37999725341797
2022-05-16,66.12999725341797
2022-05-17,65.72000122070312
2022-05-18,60.939998626708984
2022-05-19,61.11000061035156
2022-05-20,61.189998626708984
2022-05-23,62.040000915527344
2022-05-24,63.0
2022-05-25,62.369998931884766
2022-05-26,62.5
2022-05-27,63.7599983215332
2022-05-31,63.560001373291016
2022-06-01,62.90999984741211
2022-06-02,63.040000915527344
2022-06-03,62.40999984741211
2022-06-06,62.45000076293945
2022-06-07,63.2400016784668
2022-06-08,62.619998931884766
2022-06-09,61.22999954223633
2022-06-10,60.79999923706055
2022-06-13,59.20000076293945
2022-06-14,58.470001220703125
2022-06-15,59.040000915527344
2022-06-16,58.61000061035156
2022-06-17,58.79999923706055
2022-06-21,59.81999969482422
2022-06-22,60.279998779296875
2022-06-23,61.040000915527344
2022-06-24,62.650001525878906
2022-06-27,62.630001068115234
2022-06-28,61.720001220703125
2022-06-29,62.04999923706055
2022-06-30,62.09000015258789
2022-07-01,63.34000015258789
2022-07-05,62.47999954223633
2022-07-06,62.40999984741211
2022-07-07,62.369998931884766
2022-07-08,62.439998626708984
2022-07-11,62.279998779296875
2022-07-12,62.560001373291016
2022-07-13,61.970001220703125
2022-07-14,60.880001068115234
2022-07-15,60.7400016784668
2022-07-18,60.060001373291016
2022-07-19,61.41999816894531
2022-07-20,61.45000076293945
2022-07-21,61.349998474121094
2022-07-22,61.9900016784668
2022-07-25,62.7599983215332
2022-07-26,62.939998626708984
2022-07-27,63.630001068115234
2022-07-28,64.19999694824219
2022-07-29,64.04000091552734
2022-08-01,64.88999938964844
2022-08-02,64.76000213623047
2022-08-03,65.12999725341797
2022-08-04,64.25
2022-08-05,63.77000045776367
2022-08-08,63.939998626708984
2022-08-09,63.93000030517578
2022-08-10,64.47000122070312
2022-08-11,64.29000091552734
2022-08-12,64.19999694824219
2022-08-15,65.18000030517578
2022-08-16,65.95999908447266
2022-08-17,65.51000213623047
2022-08-18,65.55000305175781
2022-08-19,65.36000061035156
2022-08-22,64.51000213623047
2022-08-23,63.720001220703125
2022-08-24,64.5999984741211
2022-08-25,64.45999908447266
2022-08-26,62.72999954223633
2022-08-29,62.47999954223633
2022-08-30,61.849998474121094
2022-08-31,61.86000061035156
2022-09-01,61.970001220703125
2022-09-02,60.72999954223633
2022-09-06,60.0
2022-09-07,61.41999816894531
2022-09-08,60.95000076293945
2022-09-09,61.33000183105469
2022-09-12,61.900001525878906
2022-09-13,59.880001068115234
2022-09-14,60.2400016784668
2022-09-15,59.56999969482422
2022-09-16,60.29999923706055
2022-09-19,60.380001068115234
2022-09-20,59.75
2022-09-21,59.75
2022-09-22,59.79999923706055
2022-09-23,58.95000076293945
2022-09-26,58.349998474121094
2022-09-27,57.58000183105469
2022-09-28,58.13999938964844
2022-09-29,56.66999816894531
2022-09-30,54.83000183105469
2022-10-03,56.349998474121094
2022-10-04,57.529998779296875
2022-10-05,57.2400016784668
2022-10-06,56.0099983215332
2022-10-07,55.2599983215332
2022-10-10,55.619998931884766
2022-10-11,56.279998779296875
2022-10-12,56.83000183105469
2022-10-13,57.68000030517578
2022-10-14,56.939998626708984
2022-10-17,57.439998626708984
2022-10-18,58.349998474121094
2022-10-19,57.70000076293945
2022-10-20,56.90999984741211
2022-10-21,57.349998474121094
2022-10-24,58.7400016784668
2022-10-25,59.310001373291016
2022-10-26,59.900001525878906
2022-10-27,60.310001373291016
2022-10-28,61.70000076293945
2022-10-31,61.47999954223633
2022-11-01,61.869998931884766
2022-11-02,62.58000183105469
2022-11-03,62.0
2022-11-04,63.220001220703125
2022-11-07,64.38999938964844
2022-11-08,63.91999816894531
2022-11-09,63.38999938964844
2022-11-10,64.9800033569336
2022-11-11,64.80000305175781
2022-11-14,64.0999984741211
2022-11-15,64.6500015258789
2022-11-16,65.0
2022-11-17,64.44999694824219
2022-11-18,64.98999786376953
2022-11-21,65.8499984741211
2022-11-22,66.30999755859375
2022-11-23,66.66999816894531
