Date,ROIV
2022-02-28,6.289999961853027
2022-03-01,6.340000152587891
2022-03-02,6.269999980926514
2022-03-03,5.760000228881836
2022-03-04,5.659999847412109
2022-03-07,5.380000114440918
2022-03-08,5.21999979019165
2022-03-09,5.420000076293945
2022-03-10,5.170000076293945
2022-03-11,5.03000020980835
2022-03-14,4.980000019073486
2022-03-15,5.190000057220459
2022-03-16,5.110000133514404
2022-03-17,5.21999979019165
2022-03-18,5.190000057220459
2022-03-21,5.639999866485596
2022-03-22,5.46999979019165
2022-03-23,5.139999866485596
2022-03-24,5.110000133514404
2022-03-25,4.980000019073486
2022-03-28,4.78000020980835
2022-03-29,4.929999828338623
2022-03-30,4.739999771118164
2022-03-31,4.940000057220459
2022-04-01,4.840000152587891
2022-04-04,4.539999961853027
2022-04-05,4.28000020980835
2022-04-06,4.150000095367432
2022-04-07,4.28000020980835
2022-04-08,4.150000095367432
2022-04-11,4.079999923706055
2022-04-12,3.9800000190734863
2022-04-13,4.130000114440918
2022-04-14,4.045000076293945
2022-04-18,3.8299999237060547
2022-04-19,3.9700000286102295
2022-04-20,3.8499999046325684
2022-04-21,3.700000047683716
2022-04-22,3.9100000858306885
2022-04-25,4.050000190734863
2022-04-26,3.9100000858306885
2022-04-27,3.740000009536743
2022-04-28,3.859999895095825
2022-04-29,3.690000057220459
2022-05-02,3.8499999046325684
2022-05-03,3.859999895095825
2022-05-04,3.9600000381469727
2022-05-05,3.799999952316284
2022-05-06,3.619999885559082
2022-05-09,3.1600000858306885
2022-05-10,3.049999952316284
2022-05-11,2.819999933242798
2022-05-12,2.809999942779541
2022-05-13,3.4600000381469727
2022-05-16,3.5299999713897705
2022-05-17,3.799999952316284
2022-05-18,3.630000114440918
2022-05-19,3.6500000953674316
2022-05-20,3.700000047683716
2022-05-23,3.6500000953674316
2022-05-24,3.9100000858306885
2022-05-25,3.950000047683716
2022-05-26,4.099999904632568
2022-05-27,4.039999961853027
2022-05-31,4.440000057220459
2022-06-01,4.039999961853027
2022-06-02,4.380000114440918
2022-06-03,4.360000133514404
2022-06-06,3.9700000286102295
