Date,BMRN
2022-02-28,78.12000274658203
2022-03-01,77.37000274658203
2022-03-02,78.1500015258789
2022-03-03,75.43000030517578
2022-03-04,76.31999969482422
2022-03-07,74.27999877929688
2022-03-08,76.26000213623047
2022-03-09,78.87000274658203
2022-03-10,77.88999938964844
2022-03-11,75.9800033569336
2022-03-14,76.01000213623047
2022-03-15,78.2699966430664
2022-03-16,80.72000122070312
2022-03-17,80.27999877929688
2022-03-18,81.66999816894531
2022-03-21,81.16000366210938
2022-03-22,82.1500015258789
2022-03-23,80.86000061035156
2022-03-24,80.87999725341797
2022-03-25,79.0199966430664
2022-03-28,78.36000061035156
2022-03-29,79.55999755859375
2022-03-30,77.88999938964844
2022-03-31,77.0999984741211
2022-04-01,79.2699966430664
2022-04-04,80.27999877929688
2022-04-05,79.44999694824219
2022-04-06,80.16000366210938
2022-04-07,83.3499984741211
2022-04-08,85.98999786376953
2022-04-11,83.2699966430664
2022-04-12,82.58999633789062
2022-04-13,84.0
2022-04-14,82.94999694824219
2022-04-18,81.18000030517578
2022-04-19,80.58000183105469
2022-04-20,80.61000061035156
2022-04-21,80.5
2022-04-22,80.5
2022-04-25,81.87999725341797
2022-04-26,79.29000091552734
2022-04-27,80.30999755859375
2022-04-28,82.63999938964844
2022-04-29,81.3499984741211
2022-05-02,83.30999755859375
2022-05-03,83.5199966430664
2022-05-04,84.6500015258789
2022-05-05,81.97000122070312
2022-05-06,79.26000213623047
2022-05-09,74.62000274658203
2022-05-10,79.43000030517578
2022-05-11,75.68000030517578
2022-05-12,76.37999725341797
2022-05-13,77.7300033569336
2022-05-16,77.31999969482422
2022-05-17,79.12000274658203
2022-05-18,78.18000030517578
2022-05-19,79.27999877929688
2022-05-20,79.72000122070312
2022-05-23,80.36000061035156
2022-05-24,78.77999877929688
2022-05-25,78.93000030517578
2022-05-26,78.86000061035156
2022-05-27,80.97000122070312
2022-05-31,75.12999725341797
2022-06-01,74.37000274658203
2022-06-02,75.69999694824219
2022-06-03,77.48999786376953
2022-06-06,76.08000183105469
2022-06-07,78.19999694824219
2022-06-08,77.56999969482422
2022-06-09,76.66000366210938
2022-06-10,75.08000183105469
2022-06-13,71.91000366210938
2022-06-14,71.4800033569336
2022-06-15,74.1500015258789
2022-06-16,72.16999816894531
