Date,ADP
2022-02-28,204.44000244140625
2022-03-01,202.30999755859375
2022-03-02,206.2899932861328
2022-03-03,204.6999969482422
2022-03-04,208.4600067138672
2022-03-07,208.38999938964844
2022-03-08,205.3800048828125
2022-03-09,209.6999969482422
2022-03-10,209.42999267578125
2022-03-11,207.27000427246094
2022-03-14,207.0
2022-03-15,212.30999755859375
2022-03-16,212.4600067138672
2022-03-17,213.9199981689453
2022-03-18,214.69000244140625
2022-03-21,212.52999877929688
2022-03-22,215.2100067138672
2022-03-23,212.57000732421875
2022-03-24,216.9499969482422
2022-03-25,219.0399932861328
2022-03-28,220.64999389648438
2022-03-29,224.9499969482422
2022-03-30,227.75999450683594
2022-03-31,227.5399932861328
2022-04-01,233.5
2022-04-04,235.17999267578125
2022-04-05,238.0
2022-04-06,237.7899932861328
2022-04-07,238.5
2022-04-08,237.7100067138672
2022-04-11,230.9600067138672
2022-04-12,231.05999755859375
2022-04-13,233.74000549316406
2022-04-14,229.1999969482422
2022-04-18,227.1999969482422
2022-04-19,229.60000610351562
2022-04-20,232.6199951171875
2022-04-21,230.17999267578125
2022-04-22,223.52000427246094
2022-04-25,227.05999755859375
2022-04-26,222.27999877929688
2022-04-27,228.0
2022-04-28,229.67999267578125
2022-04-29,218.17999267578125
2022-05-02,219.32000732421875
2022-05-03,221.5399932861328
2022-05-04,228.8800048828125
2022-05-05,218.55999755859375
2022-05-06,216.94000244140625
2022-05-09,209.7899932861328
2022-05-10,212.33999633789062
2022-05-11,208.52999877929688
2022-05-12,207.47999572753906
2022-05-13,208.7899932861328
2022-05-16,208.60000610351562
2022-05-17,214.9600067138672
2022-05-18,208.5
2022-05-19,206.85000610351562
2022-05-20,208.63999938964844
2022-05-23,212.9600067138672
2022-05-24,212.72999572753906
2022-05-25,213.89999389648438
2022-05-26,218.27999877929688
2022-05-27,224.66000366210938
2022-05-31,222.94000244140625
2022-06-01,219.32000732421875
2022-06-02,223.7100067138672
2022-06-03,220.67999267578125
