Date,REYN
2022-02-28,29.770000457763672
2022-03-01,29.68000030517578
2022-03-02,29.760000228881836
2022-03-03,30.270000457763672
2022-03-04,30.479999542236328
2022-03-07,30.149999618530273
2022-03-08,28.540000915527344
2022-03-09,28.81999969482422
2022-03-10,28.270000457763672
2022-03-11,28.280000686645508
2022-03-14,28.850000381469727
2022-03-15,29.040000915527344
2022-03-16,29.309999465942383
2022-03-17,30.030000686645508
2022-03-18,29.75
2022-03-21,29.3700008392334
2022-03-22,29.639999389648438
2022-03-23,29.329999923706055
2022-03-24,29.020000457763672
2022-03-25,29.540000915527344
2022-03-28,29.350000381469727
2022-03-29,29.100000381469727
2022-03-30,28.8700008392334
2022-03-31,29.34000015258789
2022-04-01,29.65999984741211
2022-04-04,29.969999313354492
2022-04-05,29.899999618530273
2022-04-06,29.479999542236328
2022-04-07,29.489999771118164
2022-04-08,29.559999465942383
2022-04-11,29.670000076293945
2022-04-12,29.440000534057617
2022-04-13,28.690000534057617
2022-04-14,29.1200008392334
2022-04-18,28.760000228881836
2022-04-19,29.399999618530273
2022-04-20,29.81999969482422
2022-04-21,30.200000762939453
2022-04-22,30.020000457763672
2022-04-25,30.520000457763672
2022-04-26,29.850000381469727
2022-04-27,29.84000015258789
2022-04-28,30.15999984741211
2022-04-29,29.59000015258789
2022-05-02,29.540000915527344
2022-05-03,29.200000762939453
2022-05-04,29.06999969482422
2022-05-05,28.799999237060547
2022-05-06,28.989999771118164
2022-05-09,29.0
2022-05-10,29.309999465942383
2022-05-11,28.18000030517578
2022-05-12,28.389999389648438
2022-05-13,28.850000381469727
2022-05-16,28.3700008392334
2022-05-17,28.84000015258789
2022-05-18,27.530000686645508
2022-05-19,26.8700008392334
2022-05-20,26.780000686645508
2022-05-23,27.170000076293945
2022-05-24,27.579999923706055
2022-05-25,27.020000457763672
2022-05-26,27.219999313354492
2022-05-27,27.579999923706055
2022-05-31,27.219999313354492
2022-06-01,27.049999237060547
2022-06-02,27.200000762939453
2022-06-03,26.889999389648438
2022-06-06,27.100000381469727
2022-06-07,26.809999465942383
2022-06-08,26.56999969482422
2022-06-09,26.34000015258789
2022-06-10,26.25
2022-06-13,25.829999923706055
2022-06-14,24.8700008392334
2022-06-15,25.049999237060547
2022-06-16,24.799999237060547
2022-06-17,24.68000030517578
2022-06-21,25.049999237060547
2022-06-22,25.790000915527344
2022-06-23,27.020000457763672
2022-06-24,27.3700008392334
2022-06-27,26.920000076293945
2022-06-28,26.700000762939453
2022-06-29,26.950000762939453
2022-06-30,27.270000457763672
2022-07-01,27.489999771118164
2022-07-05,27.84000015258789
2022-07-06,28.229999542236328
2022-07-07,27.850000381469727
2022-07-08,27.540000915527344
2022-07-11,27.40999984741211
2022-07-12,27.5
