Date,ARGX
2022-02-28,287.7099914550781
2022-03-01,294.57000732421875
2022-03-02,291.3599853515625
2022-03-03,272.3299865722656
2022-03-04,266.1499938964844
2022-03-07,269.80999755859375
2022-03-08,263.5899963378906
2022-03-09,277.7699890136719
2022-03-10,279.69000244140625
2022-03-11,278.2300109863281
2022-03-14,279.1300048828125
2022-03-15,286.4700012207031
2022-03-16,300.45001220703125
2022-03-17,302.1000061035156
2022-03-18,309.9100036621094
2022-03-21,298.5
2022-03-22,317.2099914550781
2022-03-23,313.0400085449219
2022-03-24,314.42999267578125
2022-03-25,301.0
2022-03-28,301.6000061035156
2022-03-29,307.2699890136719
2022-03-30,313.4800109863281
2022-03-31,315.30999755859375
2022-04-01,325.3999938964844
2022-04-04,324.4100036621094
2022-04-05,323.82000732421875
2022-04-06,326.8299865722656
2022-04-07,328.7699890136719
2022-04-08,328.20001220703125
2022-04-11,321.9599914550781
2022-04-12,320.0
2022-04-13,322.9700012207031
2022-04-14,322.82000732421875
2022-04-18,316.95001220703125
2022-04-19,321.3399963378906
2022-04-20,321.3800048828125
2022-04-21,315.8500061035156
2022-04-22,312.3999938964844
2022-04-25,319.7200012207031
2022-04-26,303.5899963378906
2022-04-27,290.1700134277344
2022-04-28,287.92999267578125
2022-04-29,287.32000732421875
2022-05-02,293.3500061035156
2022-05-03,296.8900146484375
2022-05-04,292.92999267578125
2022-05-05,320.3399963378906
2022-05-06,316.42999267578125
2022-05-09,269.5799865722656
2022-05-10,299.4100036621094
2022-05-11,284.3399963378906
2022-05-12,290.2900085449219
2022-05-13,311.6400146484375
2022-05-16,308.8999938964844
2022-05-17,315.9100036621094
2022-05-18,304.7099914550781
2022-05-19,319.9700012207031
2022-05-20,324.69000244140625
2022-05-23,318.0799865722656
2022-05-24,313.4800109863281
2022-05-25,316.7799987792969
2022-05-26,315.9700012207031
2022-05-27,323.1000061035156
2022-05-31,309.29998779296875
2022-06-01,307.8900146484375
2022-06-02,315.260009765625
2022-06-03,316.3900146484375
2022-06-06,317.44000244140625
2022-06-07,325.510009765625
2022-06-08,332.0199890136719
2022-06-09,330.29998779296875
2022-06-10,338.2200012207031
2022-06-13,329.54998779296875
2022-06-14,329.1700134277344
2022-06-15,345.6600036621094
2022-06-16,330.8500061035156
2022-06-17,349.9599914550781
2022-06-21,360.2099914550781
2022-06-22,354.57000732421875
2022-06-23,364.54998779296875
2022-06-24,364.3500061035156
2022-06-27,373.4700012207031
2022-06-28,364.4700012207031
2022-06-29,373.5799865722656
2022-06-30,378.8800048828125
2022-07-01,377.1300048828125
2022-07-05,382.1099853515625
2022-07-06,365.9200134277344
2022-07-07,367.55999755859375
2022-07-08,352.7900085449219
2022-07-11,356.1499938964844
2022-07-12,352.3500061035156
2022-07-13,354.7099914550781
2022-07-14,359.8800048828125
2022-07-15,364.7300109863281
2022-07-18,364.4200134277344
2022-07-19,372.7900085449219
2022-07-20,366.239990234375
2022-07-21,369.82000732421875
2022-07-22,356.7099914550781
2022-07-25,363.6099853515625
2022-07-26,365.0199890136719
2022-07-27,357.8599853515625
2022-07-28,372.9700012207031
2022-07-29,364.2099914550781
2022-08-01,354.989990234375
2022-08-02,357.80999755859375
2022-08-03,368.79998779296875
2022-08-04,369.1300048828125
2022-08-05,367.8500061035156
2022-08-08,366.57000732421875
2022-08-09,374.0299987792969
2022-08-10,374.239990234375
2022-08-11,374.1400146484375
2022-08-12,376.9100036621094
2022-08-15,382.8599853515625
2022-08-16,372.95001220703125
2022-08-17,382.6099853515625
2022-08-18,377.489990234375
2022-08-19,383.25
2022-08-22,387.8800048828125
2022-08-23,382.7799987792969
2022-08-24,391.3599853515625
2022-08-25,394.42999267578125
2022-08-26,384.1199951171875
2022-08-29,383.2900085449219
2022-08-30,381.04998779296875
2022-08-31,377.8699951171875
2022-09-01,377.260009765625
2022-09-02,375.29998779296875
2022-09-06,370.4700012207031
2022-09-07,380.6700134277344
2022-09-08,395.75
2022-09-09,391.260009765625
2022-09-12,388.3599853515625
2022-09-13,383.1199951171875
2022-09-14,383.32000732421875
2022-09-15,380.17999267578125
2022-09-16,373.260009765625
2022-09-19,365.0
2022-09-20,370.4599914550781
2022-09-21,361.0799865722656
2022-09-22,356.7099914550781
2022-09-23,343.20001220703125
2022-09-26,343.75
2022-09-27,351.010009765625
2022-09-28,357.5
2022-09-29,357.54998779296875
2022-09-30,353.04998779296875
2022-10-03,350.94000244140625
2022-10-04,369.45001220703125
2022-10-05,376.8699951171875
2022-10-06,368.7699890136719
2022-10-07,353.4700012207031
2022-10-10,346.0799865722656
2022-10-11,344.57000732421875
2022-10-12,345.8399963378906
2022-10-13,350.7699890136719
2022-10-14,351.42999267578125
2022-10-17,361.04998779296875
2022-10-18,375.44000244140625
2022-10-19,360.80999755859375
2022-10-20,361.94000244140625
2022-10-21,376.70001220703125
2022-10-24,382.0899963378906
2022-10-25,387.7900085449219
2022-10-26,383.6199951171875
2022-10-27,372.239990234375
2022-10-28,388.989990234375
2022-10-31,387.92999267578125
2022-11-01,379.57000732421875
2022-11-02,371.70001220703125
2022-11-03,375.8500061035156
2022-11-04,366.239990234375
2022-11-07,362.29998779296875
2022-11-08,359.7200012207031
2022-11-09,366.1400146484375
2022-11-10,367.5299987792969
2022-11-11,363.07000732421875
2022-11-14,361.7799987792969
2022-11-15,370.1499938964844
2022-11-16,365.1000061035156
2022-11-17,363.4800109863281
2022-11-18,363.9800109863281
2022-11-21,374.3500061035156
2022-11-22,371.75
2022-11-23,376.760009765625
2022-11-25,373.8299865722656
