Date,COOP
2022-02-28,50.83000183105469
2022-03-01,49.880001068115234
2022-03-02,51.060001373291016
2022-03-03,50.83000183105469
2022-03-04,49.529998779296875
2022-03-07,47.349998474121094
2022-03-08,46.75
2022-03-09,47.84000015258789
2022-03-10,47.59000015258789
2022-03-11,47.400001525878906
2022-03-14,47.7400016784668
2022-03-15,47.38999938964844
2022-03-16,48.4900016784668
2022-03-17,47.66999816894531
2022-03-18,47.43000030517578
2022-03-21,47.27000045776367
2022-03-22,48.09000015258789
2022-03-23,47.599998474121094
2022-03-24,47.33000183105469
2022-03-25,47.06999969482422
2022-03-28,46.68000030517578
2022-03-29,47.470001220703125
2022-03-30,46.66999816894531
2022-03-31,45.66999816894531
2022-04-01,45.47999954223633
2022-04-04,45.5
2022-04-05,43.65999984741211
2022-04-06,41.599998474121094
2022-04-07,40.18000030517578
2022-04-08,40.41999816894531
2022-04-11,39.75
2022-04-12,40.650001525878906
2022-04-13,42.310001373291016
2022-04-14,43.7400016784668
2022-04-18,45.060001373291016
2022-04-19,45.65999984741211
2022-04-20,46.29999923706055
2022-04-21,46.31999969482422
2022-04-22,44.869998931884766
2022-04-25,44.52000045776367
2022-04-26,42.599998474121094
2022-04-27,42.709999084472656
2022-04-28,45.459999084472656
2022-04-29,44.970001220703125
2022-05-02,44.2400016784668
2022-05-03,46.439998626708984
2022-05-04,46.869998931884766
2022-05-05,44.400001525878906
2022-05-06,45.15999984741211
2022-05-09,43.25
2022-05-10,42.040000915527344
2022-05-11,41.16999816894531
2022-05-12,40.439998626708984
2022-05-13,42.790000915527344
2022-05-16,42.790000915527344
2022-05-17,44.209999084472656
2022-05-18,43.7599983215332
2022-05-19,43.529998779296875
2022-05-20,42.869998931884766
2022-05-23,44.52000045776367
2022-05-24,43.20000076293945
2022-05-25,41.970001220703125
2022-05-26,43.720001220703125
2022-05-27,43.59000015258789
2022-05-31,43.36000061035156
2022-06-01,42.650001525878906
2022-06-02,43.709999084472656
2022-06-03,43.43000030517578
2022-06-06,43.849998474121094
2022-06-07,44.380001068115234
2022-06-08,44.4900016784668
2022-06-09,43.66999816894531
2022-06-10,41.84000015258789
2022-06-13,39.38999938964844
2022-06-14,39.529998779296875
2022-06-15,38.900001525878906
2022-06-16,36.81999969482422
2022-06-17,37.720001220703125
2022-06-21,38.11000061035156
2022-06-22,37.84000015258789
2022-06-23,37.15999984741211
2022-06-24,37.08000183105469
2022-06-27,37.68000030517578
2022-06-28,37.290000915527344
2022-06-29,37.22999954223633
2022-06-30,36.7400016784668
2022-07-01,37.689998626708984
2022-07-05,37.58000183105469
2022-07-06,36.70000076293945
2022-07-07,37.33000183105469
2022-07-08,37.349998474121094
2022-07-11,37.279998779296875
2022-07-12,38.34000015258789
2022-07-13,38.40999984741211
2022-07-14,37.279998779296875
2022-07-15,37.900001525878906
2022-07-18,38.61000061035156
2022-07-19,39.95000076293945
2022-07-20,40.650001525878906
2022-07-21,41.15999984741211
2022-07-22,40.380001068115234
2022-07-25,40.9900016784668
2022-07-26,40.45000076293945
2022-07-27,44.560001373291016
2022-07-28,45.439998626708984
2022-07-29,45.04999923706055
2022-08-01,44.97999954223633
2022-08-02,43.97999954223633
2022-08-03,44.5099983215332
2022-08-04,44.040000915527344
2022-08-05,44.470001220703125
2022-08-08,44.56999969482422
2022-08-09,44.65999984741211
2022-08-10,45.689998626708984
2022-08-11,45.97999954223633
2022-08-12,46.72999954223633
2022-08-15,46.63999938964844
2022-08-16,47.209999084472656
2022-08-17,46.2400016784668
2022-08-18,46.31999969482422
2022-08-19,44.880001068115234
2022-08-22,43.040000915527344
2022-08-23,44.25
2022-08-24,43.790000915527344
2022-08-25,45.16999816894531
2022-08-26,44.61000061035156
2022-08-29,43.52000045776367
2022-08-30,42.540000915527344
2022-08-31,42.29999923706055
2022-09-01,40.959999084472656
2022-09-02,41.29999923706055
2022-09-06,40.11000061035156
2022-09-07,41.18000030517578
2022-09-08,41.619998931884766
2022-09-09,43.86000061035156
2022-09-12,44.900001525878906
2022-09-13,43.56999969482422
2022-09-14,44.68000030517578
2022-09-15,44.34000015258789
2022-09-16,43.5
2022-09-19,44.06999969482422
2022-09-20,43.43000030517578
2022-09-21,43.22999954223633
2022-09-22,41.31999969482422
2022-09-23,40.689998626708984
2022-09-26,39.970001220703125
2022-09-27,40.11000061035156
2022-09-28,41.189998626708984
2022-09-29,39.97999954223633
2022-09-30,40.5
2022-10-03,41.689998626708984
2022-10-04,43.9900016784668
2022-10-05,43.5
2022-10-06,42.939998626708984
2022-10-07,42.54999923706055
2022-10-10,42.75
2022-10-11,42.849998474121094
2022-10-12,43.18000030517578
2022-10-13,43.650001525878906
2022-10-14,42.36000061035156
2022-10-17,42.95000076293945
2022-10-18,43.33000183105469
2022-10-19,42.52000045776367
2022-10-20,41.810001373291016
2022-10-21,42.59000015258789
2022-10-24,43.61000061035156
2022-10-25,44.650001525878906
2022-10-26,39.54999923706055
2022-10-27,38.880001068115234
2022-10-28,40.15999984741211
2022-10-31,39.4900016784668
2022-11-01,39.34000015258789
2022-11-02,38.93000030517578
2022-11-03,38.43000030517578
2022-11-04,40.0099983215332
2022-11-07,42.560001373291016
2022-11-08,43.310001373291016
2022-11-09,42.2599983215332
2022-11-10,43.150001525878906
2022-11-11,42.9900016784668
2022-11-14,42.439998626708984
2022-11-15,43.529998779296875
2022-11-16,43.06999969482422
2022-11-17,42.84000015258789
2022-11-18,43.25
2022-11-21,43.11000061035156
2022-11-22,43.5099983215332
2022-11-23,44.25
2022-11-25,45.02000045776367
