Date,NOVT
2022-02-28,136.6300048828125
2022-03-01,130.27999877929688
2022-03-02,135.2899932861328
2022-03-03,136.4199981689453
2022-03-04,133.88999938964844
2022-03-07,131.67999267578125
2022-03-08,130.14999389648438
2022-03-09,134.72000122070312
2022-03-10,130.99000549316406
2022-03-11,126.4800033569336
2022-03-14,123.73999786376953
2022-03-15,128.0399932861328
2022-03-16,137.1300048828125
2022-03-17,139.9199981689453
2022-03-18,144.1999969482422
2022-03-21,143.14999389648438
2022-03-22,145.1999969482422
2022-03-23,142.1999969482422
2022-03-24,145.24000549316406
2022-03-25,143.4600067138672
2022-03-28,140.9199981689453
2022-03-29,144.11000061035156
2022-03-30,142.50999450683594
2022-03-31,142.2899932861328
2022-04-01,141.24000549316406
2022-04-04,141.97000122070312
2022-04-05,137.80999755859375
2022-04-06,135.1699981689453
2022-04-07,135.55999755859375
2022-04-08,133.25
2022-04-11,131.58999633789062
2022-04-12,131.61000061035156
2022-04-13,133.02000427246094
2022-04-14,128.6199951171875
2022-04-18,127.38999938964844
2022-04-19,132.32000732421875
2022-04-20,133.50999450683594
2022-04-21,131.47000122070312
2022-04-22,127.26000213623047
2022-04-25,130.75
2022-04-26,127.66999816894531
2022-04-27,128.3300018310547
2022-04-28,129.77999877929688
2022-04-29,128.6999969482422
2022-05-02,131.0
2022-05-03,129.77999877929688
2022-05-04,133.6199951171875
2022-05-05,127.48999786376953
2022-05-06,124.12999725341797
2022-05-09,116.98999786376953
2022-05-10,120.30000305175781
2022-05-11,120.58999633789062
2022-05-12,123.9000015258789
2022-05-13,128.05999755859375
2022-05-16,126.19999694824219
2022-05-17,126.62999725341797
2022-05-18,121.0999984741211
2022-05-19,122.08000183105469
2022-05-20,122.5
2022-05-23,123.72000122070312
2022-05-24,122.16000366210938
2022-05-25,123.62000274658203
2022-05-26,125.06999969482422
2022-05-27,125.70999908447266
2022-05-31,122.95999908447266
2022-06-01,121.37000274658203
2022-06-02,126.5199966430664
2022-06-03,122.30000305175781
2022-06-06,122.5
2022-06-07,124.0999984741211
2022-06-08,123.94999694824219
2022-06-09,121.61000061035156
2022-06-10,119.7699966430664
2022-06-13,116.19000244140625
2022-06-14,114.55999755859375
2022-06-15,117.11000061035156
2022-06-16,111.52999877929688
2022-06-17,112.2699966430664
2022-06-21,114.88999938964844
2022-06-22,116.79000091552734
2022-06-23,122.9800033569336
2022-06-24,126.16000366210938
2022-06-27,127.62999725341797
2022-06-28,124.29000091552734
