Date,IBKR
2022-02-28,66.18000030517578
2022-03-01,62.27000045776367
2022-03-02,63.7599983215332
2022-03-03,61.22999954223633
2022-03-04,58.68000030517578
2022-03-07,57.130001068115234
2022-03-08,58.88999938964844
2022-03-09,61.540000915527344
2022-03-10,61.43000030517578
2022-03-11,60.91999816894531
2022-03-14,61.790000915527344
2022-03-15,61.720001220703125
2022-03-16,65.77999877929688
2022-03-17,64.72000122070312
2022-03-18,66.70999908447266
2022-03-21,65.41999816894531
2022-03-22,67.94999694824219
2022-03-23,65.88999938964844
2022-03-24,66.37000274658203
2022-03-25,66.0
2022-03-28,66.66999816894531
2022-03-29,67.95999908447266
2022-03-30,67.31999969482422
2022-03-31,65.91000366210938
2022-04-01,66.7699966430664
2022-04-04,67.2300033569336
2022-04-05,66.12999725341797
2022-04-06,64.38999938964844
2022-04-07,63.93000030517578
2022-04-08,64.87000274658203
2022-04-11,64.88999938964844
2022-04-12,65.02999877929688
2022-04-13,65.66999816894531
2022-04-14,65.29000091552734
2022-04-18,63.939998626708984
2022-04-19,65.47000122070312
2022-04-20,66.41999816894531
2022-04-21,63.79999923706055
2022-04-22,61.0
2022-04-25,62.59000015258789
2022-04-26,61.349998474121094
2022-04-27,61.15999984741211
2022-04-28,61.84000015258789
2022-04-29,59.560001373291016
2022-05-02,59.900001525878906
2022-05-03,58.720001220703125
2022-05-04,59.849998474121094
2022-05-05,57.41999816894531
2022-05-06,54.95000076293945
2022-05-09,52.619998931884766
2022-05-10,54.279998779296875
2022-05-11,53.939998626708984
2022-05-12,53.439998626708984
2022-05-13,55.119998931884766
2022-05-16,54.47999954223633
2022-05-17,55.97999954223633
2022-05-18,54.040000915527344
2022-05-19,54.970001220703125
2022-05-20,56.59000015258789
2022-05-23,57.54999923706055
2022-05-24,56.5099983215332
2022-05-25,57.400001525878906
2022-05-26,59.4900016784668
2022-05-27,61.189998626708984
2022-05-31,61.540000915527344
2022-06-01,60.040000915527344
2022-06-02,61.16999816894531
2022-06-03,60.119998931884766
2022-06-06,60.63999938964844
2022-06-07,60.58000183105469
2022-06-08,58.88999938964844
2022-06-09,57.849998474121094
2022-06-10,56.459999084472656
2022-06-13,54.43000030517578
2022-06-14,55.59000015258789
2022-06-15,56.54999923706055
2022-06-16,55.06999969482422
2022-06-17,55.88999938964844
2022-06-21,57.7400016784668
2022-06-22,56.970001220703125
2022-06-23,56.630001068115234
2022-06-24,58.310001373291016
2022-06-27,58.130001068115234
2022-06-28,57.5
2022-06-29,57.0099983215332
2022-06-30,55.0099983215332
2022-07-01,55.810001373291016
2022-07-05,56.7400016784668
2022-07-06,55.709999084472656
2022-07-07,56.880001068115234
2022-07-08,56.2599983215332
2022-07-11,54.09000015258789
2022-07-12,54.13999938964844
2022-07-13,54.31999969482422
2022-07-14,53.38999938964844
2022-07-15,54.810001373291016
2022-07-18,55.15999984741211
2022-07-19,57.2599983215332
2022-07-20,56.63999938964844
2022-07-21,56.84000015258789
2022-07-22,56.439998626708984
2022-07-25,57.08000183105469
2022-07-26,56.209999084472656
2022-07-27,57.470001220703125
2022-07-28,58.2400016784668
2022-07-29,58.689998626708984
2022-08-01,56.31999969482422
2022-08-02,57.72999954223633
2022-08-03,59.209999084472656
2022-08-04,60.95000076293945
2022-08-05,61.41999816894531
2022-08-08,61.22999954223633
2022-08-09,60.959999084472656
2022-08-10,62.13999938964844
2022-08-11,63.540000915527344
2022-08-12,65.19000244140625
2022-08-15,65.52999877929688
2022-08-16,65.80999755859375
2022-08-17,65.18000030517578
2022-08-18,63.95000076293945
2022-08-19,62.689998626708984
2022-08-22,62.459999084472656
2022-08-23,61.9900016784668
2022-08-24,62.59000015258789
2022-08-25,63.599998474121094
2022-08-26,61.61000061035156
2022-08-29,61.11000061035156
2022-08-30,60.7400016784668
2022-08-31,61.59000015258789
2022-09-01,62.88999938964844
2022-09-02,61.81999969482422
2022-09-06,64.87000274658203
2022-09-07,66.43000030517578
2022-09-08,67.19000244140625
2022-09-09,69.08999633789062
2022-09-12,69.79000091552734
2022-09-13,68.68000030517578
2022-09-14,70.23999786376953
2022-09-15,69.73999786376953
2022-09-16,67.72000122070312
2022-09-19,68.81999969482422
2022-09-20,67.38999938964844
2022-09-21,66.94000244140625
2022-09-22,65.9800033569336
2022-09-23,64.6500015258789
2022-09-26,63.81999969482422
2022-09-27,63.7400016784668
2022-09-28,65.26000213623047
2022-09-29,64.36000061035156
2022-09-30,63.90999984741211
2022-10-03,63.70000076293945
2022-10-04,67.41999816894531
2022-10-05,68.1500015258789
2022-10-06,70.20999908447266
2022-10-07,69.69000244140625
2022-10-10,69.44000244140625
2022-10-11,68.02999877929688
2022-10-12,68.68000030517578
2022-10-13,70.6500015258789
2022-10-14,68.41999816894531
2022-10-17,68.70999908447266
2022-10-18,71.16999816894531
2022-10-19,76.08999633789062
2022-10-20,75.79000091552734
2022-10-21,76.66999816894531
2022-10-24,76.16000366210938
2022-10-25,78.75
2022-10-26,78.0999984741211
2022-10-27,80.1500015258789
2022-10-28,80.12000274658203
2022-10-31,80.1500015258789
2022-11-01,80.30000305175781
2022-11-02,80.2300033569336
2022-11-03,80.66999816894531
2022-11-04,79.58999633789062
2022-11-07,79.91999816894531
2022-11-08,80.0999984741211
2022-11-09,78.13999938964844
2022-11-10,78.54000091552734
2022-11-11,73.55000305175781
2022-11-14,73.70999908447266
2022-11-15,76.25
2022-11-16,74.51000213623047
2022-11-17,74.98999786376953
2022-11-18,75.05999755859375
2022-11-21,75.13999938964844
2022-11-22,77.76000213623047
