Date,IAC
2022-02-28,114.76000213623047
2022-03-01,115.38999938964844
2022-03-02,115.37000274658203
2022-03-03,106.44999694824219
2022-03-04,101.22000122070312
2022-03-07,100.16000366210938
2022-03-08,101.9000015258789
2022-03-09,105.08000183105469
2022-03-10,103.80999755859375
2022-03-11,98.29000091552734
2022-03-14,94.5999984741211
2022-03-15,97.80999755859375
2022-03-16,100.38999938964844
2022-03-17,103.45999908447266
2022-03-18,105.05999755859375
2022-03-21,100.75
2022-03-22,103.30000305175781
2022-03-23,99.73999786376953
2022-03-24,100.33999633789062
2022-03-25,101.44999694824219
2022-03-28,101.33000183105469
2022-03-29,105.26000213623047
2022-03-30,102.36000061035156
2022-03-31,100.27999877929688
2022-04-01,101.2300033569336
2022-04-04,105.4800033569336
2022-04-05,102.55000305175781
2022-04-06,100.06999969482422
2022-04-07,101.36000061035156
2022-04-08,101.98999786376953
2022-04-11,98.5999984741211
2022-04-12,99.72000122070312
2022-04-13,100.12999725341797
2022-04-14,95.94999694824219
2022-04-18,95.4800033569336
2022-04-19,97.16999816894531
2022-04-20,92.98999786376953
2022-04-21,91.41999816894531
2022-04-22,87.25
2022-04-25,89.58000183105469
2022-04-26,86.5199966430664
2022-04-27,84.88999938964844
2022-04-28,87.05999755859375
2022-04-29,82.87999725341797
2022-05-02,84.05000305175781
2022-05-03,83.94000244140625
2022-05-04,86.8499984741211
2022-05-05,81.77999877929688
2022-05-06,77.16000366210938
2022-05-09,72.62999725341797
2022-05-10,79.08999633789062
2022-05-11,77.4800033569336
2022-05-12,76.83999633789062
2022-05-13,81.5
2022-05-16,80.02999877929688
2022-05-17,82.12999725341797
2022-05-18,79.27999877929688
2022-05-19,81.31999969482422
2022-05-20,82.94999694824219
2022-05-23,82.7300033569336
2022-05-24,79.69999694824219
2022-05-25,81.20999908447266
2022-05-26,84.06999969482422
2022-05-27,86.62000274658203
2022-05-31,85.30000305175781
2022-06-01,87.37000274658203
2022-06-02,90.11000061035156
2022-06-03,87.88999938964844
2022-06-06,87.9800033569336
2022-06-07,88.33999633789062
2022-06-08,88.36000061035156
2022-06-09,85.0
2022-06-10,82.9800033569336
2022-06-13,76.83999633789062
2022-06-14,78.83999633789062
2022-06-15,79.88999938964844
2022-06-16,75.73999786376953
2022-06-17,77.31999969482422
2022-06-21,77.26000213623047
2022-06-22,77.95999908447266
2022-06-23,80.55999755859375
2022-06-24,83.9000015258789
2022-06-27,81.5999984741211
2022-06-28,78.98999786376953
2022-06-29,78.37999725341797
2022-06-30,75.97000122070312
2022-07-01,76.73999786376953
2022-07-05,80.58999633789062
2022-07-06,79.81999969482422
2022-07-07,80.0
2022-07-08,78.80000305175781
2022-07-11,75.30000305175781
2022-07-12,74.80999755859375
2022-07-13,72.9000015258789
2022-07-14,68.19999694824219
2022-07-15,70.98999786376953
2022-07-18,69.98999786376953
2022-07-19,72.58999633789062
2022-07-20,75.0199966430664
2022-07-21,75.91000366210938
2022-07-22,74.31999969482422
2022-07-25,72.61000061035156
2022-07-26,67.05999755859375
2022-07-27,69.04000091552734
2022-07-28,68.56999969482422
2022-07-29,68.5
2022-08-01,70.4800033569336
2022-08-02,73.43000030517578
2022-08-03,74.62999725341797
2022-08-04,75.91999816894531
2022-08-05,77.33999633789062
2022-08-08,78.18000030517578
2022-08-09,78.04000091552734
2022-08-10,73.61000061035156
2022-08-11,75.12999725341797
2022-08-12,76.16999816894531
2022-08-15,76.97000122070312
2022-08-16,78.45999908447266
2022-08-17,74.13999938964844
2022-08-18,73.0
2022-08-19,69.31999969482422
2022-08-22,65.55999755859375
2022-08-23,65.06999969482422
2022-08-24,66.93000030517578
2022-08-25,67.8499984741211
2022-08-26,64.9000015258789
2022-08-29,64.55999755859375
2022-08-30,63.869998931884766
2022-08-31,64.2699966430664
2022-09-01,64.26000213623047
2022-09-02,63.66999816894531
2022-09-06,62.060001373291016
2022-09-07,63.79999923706055
2022-09-08,64.44000244140625
2022-09-09,69.01000213623047
