Date,BCPC
2022-02-28,138.33999633789062
2022-03-01,136.5
2022-03-02,138.57000732421875
2022-03-03,138.27999877929688
2022-03-04,140.8699951171875
2022-03-07,134.1300048828125
2022-03-08,131.2100067138672
2022-03-09,136.02999877929688
2022-03-10,136.0500030517578
2022-03-11,133.50999450683594
2022-03-14,133.1699981689453
2022-03-15,134.5
2022-03-16,136.17999267578125
2022-03-17,138.89999389648438
2022-03-18,140.1999969482422
2022-03-21,139.99000549316406
2022-03-22,139.85000610351562
2022-03-23,136.61000061035156
2022-03-24,137.0800018310547
2022-03-25,137.6999969482422
2022-03-28,137.67999267578125
2022-03-29,140.5399932861328
2022-03-30,137.64999389648438
2022-03-31,136.6999969482422
2022-04-01,139.82000732421875
2022-04-04,137.92999267578125
2022-04-05,136.3699951171875
2022-04-06,135.5500030517578
2022-04-07,136.55999755859375
2022-04-08,134.6999969482422
2022-04-11,133.69000244140625
2022-04-12,133.67999267578125
2022-04-13,135.0500030517578
2022-04-14,133.4199981689453
2022-04-18,130.82000732421875
2022-04-19,133.1199951171875
2022-04-20,133.57000732421875
2022-04-21,132.0399932861328
2022-04-22,129.64999389648438
2022-04-25,129.39999389648438
2022-04-26,125.36000061035156
2022-04-27,126.0199966430664
2022-04-28,127.58999633789062
2022-04-29,123.19999694824219
2022-05-02,122.13999938964844
2022-05-03,122.31999969482422
2022-05-04,125.38999938964844
2022-05-05,120.6500015258789
2022-05-06,119.29000091552734
2022-05-09,118.47000122070312
2022-05-10,118.02999877929688
2022-05-11,116.16999816894531
2022-05-12,117.7699966430664
2022-05-13,118.91000366210938
2022-05-16,118.22000122070312
2022-05-17,119.9000015258789
2022-05-18,118.0999984741211
2022-05-19,118.69999694824219
2022-05-20,120.5199966430664
2022-05-23,121.79000091552734
2022-05-24,122.81999969482422
2022-05-25,124.08999633789062
2022-05-26,126.52999877929688
2022-05-27,126.88999938964844
2022-05-31,124.43000030517578
2022-06-01,123.97000122070312
2022-06-02,128.52000427246094
2022-06-03,125.87000274658203
2022-06-06,126.86000061035156
2022-06-07,127.08000183105469
2022-06-08,124.98999786376953
2022-06-09,124.04000091552734
2022-06-10,118.97000122070312
2022-06-13,117.52999877929688
2022-06-14,116.54000091552734
2022-06-15,116.29000091552734
2022-06-16,113.5999984741211
2022-06-17,114.58999633789062
2022-06-21,116.66999816894531
2022-06-22,117.9800033569336
2022-06-23,121.33000183105469
2022-06-24,126.5999984741211
2022-06-27,125.58000183105469
2022-06-28,126.26000213623047
2022-06-29,127.9800033569336
2022-06-30,129.74000549316406
2022-07-01,130.3699951171875
2022-07-05,128.94000244140625
2022-07-06,131.8000030517578
2022-07-07,131.41000366210938
2022-07-08,130.36000061035156
2022-07-11,128.19000244140625
2022-07-12,126.70999908447266
2022-07-13,125.72000122070312
2022-07-14,128.1699981689453
2022-07-15,129.50999450683594
2022-07-18,126.36000061035156
2022-07-19,130.35000610351562
2022-07-20,130.89999389648438
2022-07-21,132.50999450683594
2022-07-22,133.1300048828125
2022-07-25,134.30999755859375
2022-07-26,133.77999877929688
2022-07-27,133.5
2022-07-28,134.85000610351562
2022-07-29,135.75999450683594
2022-08-01,127.86000061035156
2022-08-02,124.52999877929688
2022-08-03,125.91999816894531
2022-08-04,126.75
2022-08-05,127.51000213623047
2022-08-08,127.7699966430664
2022-08-09,125.20999908447266
2022-08-10,128.39999389648438
2022-08-11,129.47999572753906
2022-08-12,134.1699981689453
2022-08-15,135.5
2022-08-16,136.64999389648438
2022-08-17,136.9600067138672
2022-08-18,138.16000366210938
2022-08-19,138.0
2022-08-22,139.02000427246094
2022-08-23,136.30999755859375
2022-08-24,137.16000366210938
2022-08-25,141.47999572753906
2022-08-26,138.0
2022-08-29,136.3800048828125
2022-08-30,134.1199951171875
2022-08-31,131.82000732421875
2022-09-01,130.42999267578125
2022-09-02,129.1999969482422
2022-09-06,130.3699951171875
2022-09-07,134.35000610351562
2022-09-08,133.1300048828125
2022-09-09,133.4199981689453
2022-09-12,135.1999969482422
2022-09-13,131.75999450683594
2022-09-14,129.5399932861328
2022-09-15,125.70999908447266
2022-09-16,123.22000122070312
2022-09-19,125.95999908447266
2022-09-20,124.43000030517578
2022-09-21,123.08999633789062
2022-09-22,122.0
2022-09-23,121.0999984741211
2022-09-26,123.76000213623047
2022-09-27,119.69999694824219
2022-09-28,122.94000244140625
2022-09-29,121.7699966430664
2022-09-30,121.58000183105469
2022-10-03,126.0199966430664
2022-10-04,128.14999389648438
2022-10-05,126.33000183105469
2022-10-06,124.19000244140625
2022-10-07,121.94000244140625
2022-10-10,123.48999786376953
2022-10-11,123.41999816894531
2022-10-12,123.91000366210938
2022-10-13,126.91000366210938
2022-10-14,126.31999969482422
2022-10-17,129.2100067138672
2022-10-18,132.58999633789062
2022-10-19,131.86000061035156
2022-10-20,127.30000305175781
2022-10-21,130.33999633789062
2022-10-24,132.22000122070312
2022-10-25,134.88999938964844
2022-10-26,135.66000366210938
2022-10-27,136.42999267578125
2022-10-28,140.13999938964844
2022-10-31,139.8000030517578
2022-11-01,139.3000030517578
2022-11-02,134.8800048828125
2022-11-03,133.88999938964844
2022-11-04,137.1300048828125
2022-11-07,133.02000427246094
2022-11-08,133.55999755859375
2022-11-09,133.25
2022-11-10,141.6199951171875
2022-11-11,141.02999877929688
2022-11-14,142.11000061035156
2022-11-15,142.72999572753906
2022-11-16,141.5399932861328
2022-11-17,140.7100067138672
2022-11-18,141.66000366210938
2022-11-21,142.3000030517578
2022-11-22,141.4600067138672
2022-11-23,141.8800048828125
