Date,RGLD
2022-02-28,121.26000213623047
2022-03-01,126.91999816894531
2022-03-02,126.12999725341797
2022-03-03,126.69000244140625
2022-03-04,128.5500030517578
2022-03-07,129.49000549316406
2022-03-08,130.49000549316406
2022-03-09,131.3699951171875
2022-03-10,136.1999969482422
2022-03-11,137.17999267578125
2022-03-14,133.80999755859375
2022-03-15,136.14999389648438
2022-03-16,134.9499969482422
2022-03-17,136.61000061035156
2022-03-18,137.16000366210938
2022-03-21,139.22000122070312
2022-03-22,137.41000366210938
2022-03-23,140.7899932861328
2022-03-24,140.27999877929688
2022-03-25,140.3300018310547
2022-03-28,139.74000549316406
2022-03-29,141.0
2022-03-30,142.39999389648438
2022-03-31,141.27999877929688
2022-04-01,146.3300018310547
2022-04-04,144.9199981689453
2022-04-05,141.97000122070312
2022-04-06,143.16000366210938
2022-04-07,144.22999572753906
2022-04-08,145.0500030517578
2022-04-11,144.39999389648438
2022-04-12,143.6199951171875
2022-04-13,144.6199951171875
2022-04-14,144.92999267578125
2022-04-18,143.4199981689453
2022-04-19,142.11000061035156
2022-04-20,144.22999572753906
2022-04-21,140.0399932861328
2022-04-22,137.2899932861328
2022-04-25,134.9600067138672
2022-04-26,131.5
2022-04-27,130.30999755859375
2022-04-28,131.36000061035156
2022-04-29,130.47999572753906
2022-05-02,130.32000732421875
2022-05-03,131.22000122070312
2022-05-04,133.2100067138672
2022-05-05,132.5800018310547
2022-05-06,130.13999938964844
2022-05-09,123.58000183105469
2022-05-10,121.4800033569336
2022-05-11,122.16999816894531
2022-05-12,117.87999725341797
2022-05-13,118.0
2022-05-16,116.5999984741211
2022-05-17,116.43000030517578
2022-05-18,112.30000305175781
2022-05-19,115.91999816894531
2022-05-20,114.41000366210938
2022-05-23,113.87000274658203
2022-05-24,114.80000305175781
2022-05-25,114.83000183105469
2022-05-26,115.0199966430664
2022-05-27,115.33000183105469
2022-05-31,113.08000183105469
2022-06-01,114.44000244140625
2022-06-02,118.5999984741211
2022-06-03,116.05999755859375
2022-06-06,114.83999633789062
2022-06-07,116.4800033569336
2022-06-08,115.18000030517578
2022-06-09,111.0199966430664
2022-06-10,114.83999633789062
2022-06-13,109.04000091552734
2022-06-14,105.83000183105469
2022-06-15,107.06999969482422
2022-06-16,109.19000244140625
2022-06-17,108.93000030517578
2022-06-21,109.69000244140625
2022-06-22,109.19999694824219
2022-06-23,107.27999877929688
2022-06-24,109.68000030517578
2022-06-27,110.1500015258789
2022-06-28,110.29000091552734
2022-06-29,109.76000213623047
2022-06-30,106.77999877929688
2022-07-01,110.25
2022-07-05,107.69999694824219
2022-07-06,106.66000366210938
2022-07-07,108.04000091552734
2022-07-08,107.79000091552734
2022-07-11,108.70999908447266
2022-07-12,105.25
2022-07-13,106.61000061035156
2022-07-14,103.76000213623047
2022-07-15,103.4000015258789
2022-07-18,102.45999908447266
