Date,COKE
2022-02-28,496.92999267578125
2022-03-01,483.9100036621094
2022-03-02,494.4100036621094
2022-03-03,467.79998779296875
2022-03-04,457.2099914550781
2022-03-07,442.3999938964844
2022-03-08,459.1099853515625
2022-03-09,475.4200134277344
2022-03-10,468.79998779296875
2022-03-11,450.45001220703125
2022-03-14,451.2099914550781
2022-03-15,488.6700134277344
2022-03-16,496.05999755859375
2022-03-17,493.0
2022-03-18,513.1099853515625
2022-03-21,494.8699951171875
2022-03-22,495.04998779296875
2022-03-23,484.1099853515625
2022-03-24,479.3900146484375
2022-03-25,485.0
2022-03-28,483.70001220703125
2022-03-29,494.4599914550781
2022-03-30,491.67999267578125
2022-03-31,496.8500061035156
2022-04-01,513.5999755859375
2022-04-04,505.45001220703125
2022-04-05,498.3999938964844
2022-04-06,495.1300048828125
2022-04-07,492.29998779296875
2022-04-08,488.1400146484375
2022-04-11,485.2200012207031
2022-04-12,488.9800109863281
2022-04-13,494.25
2022-04-14,492.70001220703125
2022-04-18,475.0899963378906
2022-04-19,490.8800048828125
2022-04-20,493.0899963378906
2022-04-21,487.69000244140625
2022-04-22,474.79998779296875
2022-04-25,485.1400146484375
2022-04-26,473.45001220703125
2022-04-27,462.0
2022-04-28,461.0
2022-04-29,441.5
2022-05-02,448.7900085449219
2022-05-03,449.5299987792969
2022-05-04,496.010009765625
2022-05-05,469.7300109863281
2022-05-06,483.6499938964844
2022-05-09,497.1400146484375
2022-05-10,502.6099853515625
2022-05-11,498.0
2022-05-12,514.010009765625
2022-05-13,530.7999877929688
2022-05-16,529.6900024414062
2022-05-17,525.489990234375
2022-05-18,488.8599853515625
2022-05-19,492.04998779296875
2022-05-20,508.4100036621094
2022-05-23,543.25
2022-05-24,564.2000122070312
2022-05-25,582.510009765625
2022-05-26,557.530029296875
2022-05-27,565.3200073242188
2022-05-31,564.969970703125
2022-06-01,573.7899780273438
2022-06-02,602.280029296875
2022-06-03,603.0
2022-06-06,635.77001953125
2022-06-07,634.97998046875
2022-06-08,632.1199951171875
2022-06-09,589.5
2022-06-10,582.3499755859375
2022-06-13,551.97998046875
2022-06-14,569.9199829101562
2022-06-15,551.0
2022-06-16,533.5999755859375
2022-06-17,496.1600036621094
2022-06-21,516.2999877929688
2022-06-22,505.57000732421875
2022-06-23,521.4299926757812
2022-06-24,551.8200073242188
2022-06-27,562.9000244140625
2022-06-28,544.0
2022-06-29,551.8200073242188
2022-06-30,563.9000244140625
2022-07-01,575.0599975585938
2022-07-05,582.1900024414062
2022-07-06,582.5499877929688
2022-07-07,577.0
2022-07-08,583.72998046875
2022-07-11,573.0
2022-07-12,569.3599853515625
2022-07-13,579.280029296875
2022-07-14,514.3200073242188
2022-07-15,501.0
2022-07-18,495.489990234375
2022-07-19,506.0299987792969
2022-07-20,500.25
2022-07-21,501.1199951171875
2022-07-22,496.8699951171875
2022-07-25,494.1099853515625
2022-07-26,501.70001220703125
2022-07-27,507.1700134277344
2022-07-28,506.7900085449219
2022-07-29,513.0
2022-08-01,520.9500122070312
2022-08-02,512.7899780273438
2022-08-03,507.4800109863281
2022-08-04,501.3500061035156
2022-08-05,499.739990234375
2022-08-08,498.1300048828125
2022-08-09,497.5899963378906
2022-08-10,499.2300109863281
2022-08-11,499.69000244140625
2022-08-12,503.29998779296875
2022-08-15,506.7900085449219
2022-08-16,517.5999755859375
2022-08-17,520.0900268554688
2022-08-18,534.2000122070312
2022-08-19,527.1799926757812
2022-08-22,520.0999755859375
2022-08-23,514.8800048828125
2022-08-24,509.54998779296875
2022-08-25,507.3699951171875
2022-08-26,494.3900146484375
2022-08-29,495.70001220703125
2022-08-30,488.4700012207031
2022-08-31,474.3299865722656
2022-09-01,474.3500061035156
2022-09-02,465.5400085449219
2022-09-06,451.8299865722656
2022-09-07,457.69000244140625
2022-09-08,456.1000061035156
2022-09-09,459.44000244140625
2022-09-12,465.5400085449219
2022-09-13,434.69000244140625
2022-09-14,442.95001220703125
2022-09-15,430.25
2022-09-16,432.3999938964844
2022-09-19,435.67999267578125
2022-09-20,431.3599853515625
2022-09-21,427.9599914550781
2022-09-22,421.8299865722656
2022-09-23,413.5199890136719
2022-09-26,413.6099853515625
2022-09-27,409.75
2022-09-28,423.0
2022-09-29,418.94000244140625
2022-09-30,411.7300109863281
2022-10-03,429.0
2022-10-04,439.92999267578125
2022-10-05,440.94000244140625
2022-10-06,439.7200012207031
2022-10-07,439.3999938964844
2022-10-10,448.19000244140625
2022-10-11,443.8299865722656
2022-10-12,440.4200134277344
2022-10-13,457.0
2022-10-14,433.3399963378906
2022-10-17,441.0199890136719
2022-10-18,444.69000244140625
2022-10-19,441.5400085449219
2022-10-20,430.7799987792969
2022-10-21,444.3599853515625
2022-10-24,452.6600036621094
2022-10-25,469.6499938964844
2022-10-26,468.7699890136719
2022-10-27,480.5799865722656
2022-10-28,492.04998779296875
2022-10-31,487.010009765625
2022-11-01,476.0
2022-11-02,457.6000061035156
2022-11-03,485.44000244140625
2022-11-04,491.6400146484375
2022-11-07,479.4100036621094
2022-11-08,476.07000732421875
2022-11-09,464.3399963378906
2022-11-10,478.67999267578125
2022-11-11,468.9800109863281
2022-11-14,455.489990234375
2022-11-15,465.95001220703125
2022-11-16,461.70001220703125
2022-11-17,462.92999267578125
2022-11-18,466.44000244140625
2022-11-21,476.6199951171875
2022-11-22,482.42999267578125
2022-11-23,478.92999267578125
2022-11-25,479.989990234375
2022-11-28,483.17999267578125
2022-11-29,479.0
2022-11-30,491.79998779296875
2022-12-01,500.5
2022-12-02,508.07000732421875
