Date,NBIX
2022-02-28,89.87000274658203
2022-03-01,91.88999938964844
2022-03-02,91.86000061035156
2022-03-03,87.62000274658203
2022-03-04,88.19000244140625
2022-03-07,87.94999694824219
2022-03-08,87.9800033569336
2022-03-09,89.87999725341797
2022-03-10,90.91000366210938
2022-03-11,89.29000091552734
2022-03-14,90.0
2022-03-15,91.05999755859375
2022-03-16,92.16000366210938
2022-03-17,93.68000030517578
2022-03-18,93.12999725341797
2022-03-21,94.16000366210938
2022-03-22,94.80999755859375
2022-03-23,92.69999694824219
2022-03-24,94.05000305175781
2022-03-25,93.72000122070312
2022-03-28,93.58999633789062
2022-03-29,92.86000061035156
2022-03-30,92.44999694824219
2022-03-31,93.75
2022-04-01,95.56999969482422
2022-04-04,97.5
2022-04-05,97.05000305175781
2022-04-06,98.54000091552734
2022-04-07,98.48999786376953
2022-04-08,100.06999969482422
2022-04-11,98.47000122070312
2022-04-12,98.01000213623047
2022-04-13,98.95999908447266
2022-04-14,99.2699966430664
2022-04-18,97.30000305175781
2022-04-19,97.77999877929688
2022-04-20,98.12000274658203
2022-04-21,95.76000213623047
2022-04-22,93.62000274658203
2022-04-25,93.76000213623047
2022-04-26,91.80000305175781
2022-04-27,91.52999877929688
2022-04-28,91.68000030517578
2022-04-29,90.02999877929688
2022-05-02,91.22000122070312
2022-05-03,88.69999694824219
2022-05-04,88.4000015258789
2022-05-05,85.27999877929688
2022-05-06,79.55000305175781
2022-05-09,75.79000091552734
2022-05-10,82.22000122070312
2022-05-11,81.9000015258789
2022-05-12,82.83000183105469
2022-05-13,84.12000274658203
2022-05-16,84.87999725341797
2022-05-17,85.80000305175781
2022-05-18,84.94999694824219
2022-05-19,85.37000274658203
2022-05-20,86.18000030517578
2022-05-23,86.48999786376953
2022-05-24,84.5999984741211
2022-05-25,88.37999725341797
2022-05-26,89.83999633789062
2022-05-27,93.0999984741211
2022-05-31,93.48999786376953
2022-06-01,92.75
2022-06-02,94.41999816894531
2022-06-03,95.54000091552734
2022-06-06,94.16000366210938
2022-06-07,95.47000122070312
2022-06-08,97.86000061035156
2022-06-09,97.30000305175781
2022-06-10,94.30999755859375
2022-06-13,91.44000244140625
2022-06-14,91.22000122070312
2022-06-15,93.1500015258789
2022-06-16,88.93000030517578
2022-06-17,93.27999877929688
2022-06-21,93.37000274658203
2022-06-22,94.20999908447266
2022-06-23,97.4000015258789
2022-06-24,98.23999786376953
2022-06-27,99.93000030517578
2022-06-28,96.93000030517578
2022-06-29,98.45999908447266
2022-06-30,97.4800033569336
2022-07-01,99.25
2022-07-05,98.30000305175781
2022-07-06,95.19999694824219
2022-07-07,96.45999908447266
2022-07-08,95.56999969482422
2022-07-11,95.88999938964844
2022-07-12,95.30000305175781
2022-07-13,94.8499984741211
2022-07-14,94.23999786376953
2022-07-15,95.16999816894531
2022-07-18,93.9000015258789
2022-07-19,96.41000366210938
2022-07-20,97.29000091552734
2022-07-21,97.5999984741211
2022-07-22,95.29000091552734
2022-07-25,95.25
2022-07-26,94.5999984741211
2022-07-27,95.55000305175781
2022-07-28,93.9000015258789
2022-07-29,94.12999725341797
2022-08-01,92.02999877929688
2022-08-02,92.68000030517578
2022-08-03,94.05999755859375
2022-08-04,95.93000030517578
2022-08-05,104.04000091552734
2022-08-08,104.58999633789062
2022-08-09,107.66000366210938
2022-08-10,106.79000091552734
2022-08-11,104.87999725341797
2022-08-12,105.62999725341797
2022-08-15,107.38999938964844
2022-08-16,106.11000061035156
2022-08-17,104.94000244140625
2022-08-18,106.76000213623047
2022-08-19,107.0
2022-08-22,106.20999908447266
2022-08-23,105.62000274658203
2022-08-24,106.58999633789062
2022-08-25,104.30000305175781
2022-08-26,104.87000274658203
2022-08-29,105.31999969482422
2022-08-30,103.30000305175781
2022-08-31,104.62999725341797
2022-09-01,105.62999725341797
2022-09-02,103.01000213623047
2022-09-06,103.0199966430664
2022-09-07,105.56999969482422
2022-09-08,106.68000030517578
2022-09-09,106.51000213623047
2022-09-12,106.66000366210938
2022-09-13,102.75
2022-09-14,104.31999969482422
2022-09-15,106.93000030517578
2022-09-16,106.08999633789062
2022-09-19,107.80999755859375
2022-09-20,107.08999633789062
