Date,QXO
2022-02-28,28.639999389648438
2022-03-01,29.360000610351562
2022-03-02,28.0
2022-03-03,26.479999542236328
2022-03-04,26.8799991607666
2022-03-07,25.760000228881836
2022-03-08,34.560001373291016
2022-03-09,29.600000381469727
2022-03-10,29.280000686645508
2022-03-11,27.600000381469727
2022-03-14,26.15999984741211
2022-03-15,26.15999984741211
2022-03-16,27.280000686645508
2022-03-17,28.479999542236328
2022-03-18,29.520000457763672
2022-03-21,29.520000457763672
2022-03-22,29.360000610351562
2022-03-23,30.719999313354492
2022-03-24,29.200000762939453
2022-03-25,27.1200008392334
2022-03-28,26.8799991607666
2022-03-29,27.1200008392334
2022-03-30,26.399999618530273
2022-03-31,26.079999923706055
2022-04-01,25.760000228881836
2022-04-04,26.079999923706055
2022-04-05,25.360000610351562
2022-04-06,24.559999465942383
2022-04-07,24.31999969482422
2022-04-08,23.360000610351562
2022-04-11,23.760000228881836
2022-04-12,23.84000015258789
2022-04-13,24.15999984741211
2022-04-14,23.520000457763672
2022-04-18,23.040000915527344
2022-04-19,23.360000610351562
2022-04-20,24.079999923706055
2022-04-21,22.639999389648438
2022-04-22,22.959999084472656
2022-04-25,21.68000030517578
2022-04-26,21.1200008392334
2022-04-27,20.799999237060547
2022-04-28,21.040000915527344
2022-04-29,21.200000762939453
2022-05-02,21.360000610351562
2022-05-03,21.520000457763672
2022-05-04,22.479999542236328
2022-05-05,20.8799991607666
2022-05-06,20.719999313354492
2022-05-09,20.079999923706055
2022-05-10,19.84000015258789
2022-05-11,18.239999771118164
2022-05-12,18.8799991607666
2022-05-13,20.0
2022-05-16,19.84000015258789
2022-05-17,21.200000762939453
2022-05-18,20.799999237060547
2022-05-19,20.479999542236328
2022-05-20,20.399999618530273
2022-05-23,20.959999084472656
2022-05-24,20.959999084472656
2022-05-25,21.600000381469727
2022-05-26,22.959999084472656
2022-05-27,23.200000762939453
2022-05-31,23.600000381469727
2022-06-01,22.31999969482422
2022-06-02,22.399999618530273
2022-06-03,22.719999313354492
2022-06-06,22.0
2022-06-07,21.600000381469727
2022-06-08,21.040000915527344
2022-06-09,20.239999771118164
2022-06-10,19.920000076293945
2022-06-13,19.920000076293945
2022-06-14,19.600000381469727
2022-06-15,19.84000015258789
2022-06-16,19.280000686645508
2022-06-17,19.600000381469727
2022-06-21,20.15999984741211
