Date,LEGN
2022-02-28,39.59000015258789
2022-03-01,38.04999923706055
2022-03-02,37.61000061035156
2022-03-03,36.130001068115234
2022-03-04,35.279998779296875
2022-03-07,34.25
2022-03-08,36.54999923706055
2022-03-09,38.40999984741211
2022-03-10,37.0
2022-03-11,35.970001220703125
2022-03-14,31.020000457763672
2022-03-15,35.630001068115234
2022-03-16,39.04999923706055
2022-03-17,39.0
2022-03-18,38.529998779296875
2022-03-21,38.22999954223633
2022-03-22,38.70000076293945
2022-03-23,37.34000015258789
2022-03-24,38.849998474121094
2022-03-25,36.880001068115234
2022-03-28,35.869998931884766
2022-03-29,37.02000045776367
2022-03-30,36.95000076293945
2022-03-31,36.34000015258789
2022-04-01,39.099998474121094
2022-04-04,39.47999954223633
2022-04-05,38.40999984741211
2022-04-06,39.4900016784668
2022-04-07,40.5
2022-04-08,41.560001373291016
2022-04-11,40.68000030517578
2022-04-12,40.150001525878906
2022-04-13,42.380001068115234
2022-04-14,40.63999938964844
2022-04-18,38.9900016784668
2022-04-19,38.25
2022-04-20,40.7400016784668
2022-04-21,39.09000015258789
2022-04-22,38.75
2022-04-25,39.08000183105469
2022-04-26,37.91999816894531
2022-04-27,39.220001220703125
2022-04-28,39.650001525878906
2022-04-29,40.150001525878906
2022-05-02,41.93000030517578
2022-05-03,40.97999954223633
2022-05-04,40.380001068115234
2022-05-05,38.529998779296875
2022-05-06,36.119998931884766
2022-05-09,33.540000915527344
2022-05-10,35.16999816894531
2022-05-11,34.0099983215332
2022-05-12,35.16999816894531
2022-05-13,39.36000061035156
2022-05-16,40.630001068115234
2022-05-17,41.88999938964844
2022-05-18,40.68000030517578
2022-05-19,41.52000045776367
2022-05-20,42.61000061035156
2022-05-23,39.95000076293945
2022-05-24,39.029998779296875
2022-05-25,39.15999984741211
2022-05-26,39.349998474121094
2022-05-27,42.72999954223633
2022-05-31,42.290000915527344
2022-06-01,42.650001525878906
2022-06-02,43.25
2022-06-03,46.0
2022-06-06,46.0
2022-06-07,47.540000915527344
2022-06-08,49.54999923706055
2022-06-09,45.75
2022-06-10,44.5099983215332
2022-06-13,43.0099983215332
2022-06-14,44.0
2022-06-15,43.560001373291016
2022-06-16,42.959999084472656
2022-06-17,46.22999954223633
2022-06-21,47.58000183105469
2022-06-22,47.77000045776367
2022-06-23,51.099998474121094
2022-06-24,52.86000061035156
2022-06-27,52.540000915527344
2022-06-28,52.61000061035156
2022-06-29,54.439998626708984
2022-06-30,55.0
2022-07-01,55.84000015258789
2022-07-05,57.099998474121094
2022-07-06,56.849998474121094
2022-07-07,56.08000183105469
2022-07-08,56.04999923706055
2022-07-11,54.58000183105469
2022-07-12,55.36000061035156
2022-07-13,55.04999923706055
2022-07-14,53.65999984741211
2022-07-15,53.45000076293945
2022-07-18,50.060001373291016
2022-07-19,51.880001068115234
2022-07-20,48.11000061035156
2022-07-21,49.5
2022-07-22,49.599998474121094
2022-07-25,50.5
2022-07-26,43.4900016784668
2022-07-27,48.209999084472656
2022-07-28,48.90999984741211
2022-07-29,47.2400016784668
2022-08-01,45.099998474121094
2022-08-02,46.540000915527344
2022-08-03,48.119998931884766
2022-08-04,50.02000045776367
2022-08-05,49.849998474121094
2022-08-08,49.529998779296875
2022-08-09,48.5099983215332
2022-08-10,48.880001068115234
2022-08-11,46.09000015258789
2022-08-12,46.97999954223633
2022-08-15,46.720001220703125
2022-08-16,45.95000076293945
2022-08-17,45.0
2022-08-18,45.060001373291016
2022-08-19,45.43000030517578
2022-08-22,45.29999923706055
2022-08-23,46.060001373291016
2022-08-24,47.959999084472656
2022-08-25,47.290000915527344
2022-08-26,45.5
2022-08-29,45.220001220703125
2022-08-30,44.439998626708984
2022-08-31,46.4900016784668
2022-09-01,46.77000045776367
2022-09-02,46.130001068115234
2022-09-06,43.97999954223633
2022-09-07,43.880001068115234
2022-09-08,43.619998931884766
2022-09-09,44.5099983215332
2022-09-12,44.380001068115234
2022-09-13,43.09000015258789
2022-09-14,43.4900016784668
2022-09-15,43.5
2022-09-16,42.790000915527344
2022-09-19,42.0
2022-09-20,41.38999938964844
2022-09-21,39.939998626708984
2022-09-22,39.77000045776367
2022-09-23,38.79999923706055
2022-09-26,38.75
2022-09-27,38.349998474121094
2022-09-28,40.36000061035156
2022-09-29,40.11000061035156
2022-09-30,40.79999923706055
2022-10-03,40.279998779296875
2022-10-04,41.09000015258789
2022-10-05,41.0099983215332
2022-10-06,40.90999984741211
2022-10-07,40.08000183105469
2022-10-10,39.0
2022-10-11,38.79999923706055
2022-10-12,38.5
2022-10-13,38.81999969482422
2022-10-14,39.75
2022-10-17,40.20000076293945
2022-10-18,45.90999984741211
2022-10-19,45.0099983215332
2022-10-20,45.0
2022-10-21,47.630001068115234
2022-10-24,46.970001220703125
2022-10-25,48.5
2022-10-26,48.83000183105469
2022-10-27,47.15999984741211
2022-10-28,49.560001373291016
2022-10-31,49.81999969482422
2022-11-01,51.0099983215332
2022-11-02,50.529998779296875
2022-11-03,51.36000061035156
2022-11-04,51.369998931884766
2022-11-07,50.560001373291016
2022-11-08,51.02000045776367
2022-11-09,51.5
2022-11-10,52.0
2022-11-11,52.5
2022-11-14,52.29999923706055
2022-11-15,52.5
2022-11-16,51.650001525878906
2022-11-17,51.099998474121094
2022-11-18,52.11000061035156
2022-11-21,51.0099983215332
2022-11-22,48.77000045776367
2022-11-23,48.650001525878906
2022-11-25,48.11000061035156
2022-11-28,48.150001525878906
2022-11-29,48.5099983215332
2022-11-30,51.5099983215332
2022-12-01,49.77000045776367
