Date,TTWO
2022-02-28,162.0
2022-03-01,159.8000030517578
2022-03-02,160.86000061035156
2022-03-03,158.1999969482422
2022-03-04,158.00999450683594
2022-03-07,158.0
2022-03-08,156.10000610351562
2022-03-09,158.32000732421875
2022-03-10,158.2899932861328
2022-03-11,153.49000549316406
2022-03-14,141.82000732421875
2022-03-15,142.8800048828125
2022-03-16,148.7899932861328
2022-03-17,149.50999450683594
2022-03-18,151.3699951171875
2022-03-21,151.22000122070312
2022-03-22,152.2899932861328
2022-03-23,149.39999389648438
2022-03-24,150.5
2022-03-25,154.5
2022-03-28,156.5
2022-03-29,158.57000732421875
2022-03-30,156.05999755859375
2022-03-31,153.74000549316406
2022-04-01,151.8800048828125
2022-04-04,154.42999267578125
2022-04-05,151.89999389648438
2022-04-06,147.1999969482422
2022-04-07,143.39999389648438
2022-04-08,141.30999755859375
2022-04-11,140.52999877929688
2022-04-12,138.36000061035156
2022-04-13,138.99000549316406
2022-04-14,137.9600067138672
2022-04-18,135.6999969482422
2022-04-19,140.3699951171875
2022-04-20,137.33999633789062
2022-04-21,131.52999877929688
2022-04-22,136.41000366210938
2022-04-25,132.9600067138672
2022-04-26,125.01000213623047
2022-04-27,121.6500015258789
2022-04-28,123.2300033569336
2022-04-29,119.51000213623047
2022-05-02,121.94000244140625
2022-05-03,121.3499984741211
2022-05-04,124.76000213623047
2022-05-05,120.2300033569336
2022-05-06,114.2699966430664
2022-05-09,106.1500015258789
2022-05-10,103.58999633789062
2022-05-11,105.26000213623047
2022-05-12,106.20999908447266
2022-05-13,109.93000030517578
2022-05-16,110.11000061035156
2022-05-17,123.08000183105469
2022-05-18,123.05000305175781
2022-05-19,119.76000213623047
2022-05-20,116.12000274658203
2022-05-23,123.62000274658203
2022-05-24,122.69000244140625
2022-05-25,122.08000183105469
2022-05-26,123.27999877929688
2022-05-27,125.77999877929688
2022-05-31,124.52999877929688
2022-06-01,124.62999725341797
2022-06-02,129.0500030517578
2022-06-03,126.97000122070312
2022-06-06,126.98999786376953
2022-06-07,131.64999389648438
2022-06-08,131.39999389648438
2022-06-09,129.22999572753906
2022-06-10,127.94999694824219
2022-06-13,123.19000244140625
2022-06-14,121.41000366210938
2022-06-15,126.16000366210938
2022-06-16,124.9000015258789
2022-06-17,125.80999755859375
2022-06-21,128.77999877929688
2022-06-22,128.60000610351562
2022-06-23,130.0500030517578
2022-06-24,133.6199951171875
2022-06-27,129.2100067138672
2022-06-28,126.18000030517578
2022-06-29,125.52999877929688
2022-06-30,122.52999877929688
2022-07-01,124.86000061035156
2022-07-05,127.04000091552734
2022-07-06,125.62000274658203
2022-07-07,126.81999969482422
2022-07-08,124.93000030517578
2022-07-11,122.69999694824219
2022-07-12,121.98999786376953
2022-07-13,121.13999938964844
2022-07-14,122.73999786376953
2022-07-15,123.8499984741211
2022-07-18,123.6500015258789
2022-07-19,126.97000122070312
2022-07-20,130.00999450683594
2022-07-21,132.27000427246094
2022-07-22,130.41000366210938
2022-07-25,130.77000427246094
2022-07-26,131.10000610351562
2022-07-27,130.5800018310547
2022-07-28,130.35000610351562
2022-07-29,132.72999572753906
2022-08-01,127.55999755859375
2022-08-02,126.66000366210938
2022-08-03,129.80999755859375
2022-08-04,127.38999938964844
2022-08-05,127.16000366210938
2022-08-08,125.51000213623047
2022-08-09,120.76000213623047
2022-08-10,123.79000091552734
2022-08-11,120.66999816894531
2022-08-12,123.13999938964844
2022-08-15,127.38999938964844
2022-08-16,136.58999633789062
2022-08-17,133.0
2022-08-18,130.47000122070312
2022-08-19,127.73999786376953
2022-08-22,125.31999969482422
2022-08-23,124.36000061035156
2022-08-24,123.30000305175781
2022-08-25,125.4800033569336
2022-08-26,127.47000122070312
2022-08-29,122.9000015258789
2022-08-30,123.04000091552734
2022-08-31,122.55999755859375
2022-09-01,120.72000122070312
2022-09-02,118.62999725341797
2022-09-06,119.52999877929688
2022-09-07,120.58000183105469
2022-09-08,120.58000183105469
2022-09-09,127.77999877929688
2022-09-12,129.5399932861328
2022-09-13,127.0199966430664
2022-09-14,128.16000366210938
2022-09-15,128.42999267578125
2022-09-16,124.19000244140625
2022-09-19,125.08000183105469
2022-09-20,121.69000244140625
2022-09-21,117.91999816894531
2022-09-22,114.73999786376953
2022-09-23,110.36000061035156
2022-09-26,109.56999969482422
2022-09-27,109.9000015258789
2022-09-28,114.19000244140625
2022-09-29,108.58000183105469
2022-09-30,109.0
2022-10-03,113.36000061035156
2022-10-04,116.58999633789062
2022-10-05,117.30000305175781
2022-10-06,121.37999725341797
2022-10-07,120.7300033569336
2022-10-10,117.93000030517578
2022-10-11,115.08999633789062
2022-10-12,116.55000305175781
2022-10-13,118.86000061035156
2022-10-14,117.81999969482422
2022-10-17,117.88999938964844
2022-10-18,121.29000091552734
2022-10-19,122.5
2022-10-20,123.88999938964844
2022-10-21,125.55000305175781
2022-10-24,123.11000061035156
2022-10-25,125.02999877929688
2022-10-26,123.62000274658203
2022-10-27,122.73999786376953
2022-10-28,124.0199966430664
2022-10-31,118.4800033569336
2022-11-01,116.30999755859375
2022-11-02,113.55000305175781
2022-11-03,111.30000305175781
2022-11-04,108.52999877929688
2022-11-07,108.4000015258789
2022-11-08,93.56999969482422
2022-11-09,94.08999633789062
2022-11-10,98.56999969482422
2022-11-11,102.25
2022-11-14,99.87999725341797
2022-11-15,101.02999877929688
2022-11-16,100.80999755859375
2022-11-17,99.66000366210938
2022-11-18,98.7699966430664
2022-11-21,97.43000030517578
2022-11-22,100.29000091552734
2022-11-23,103.1500015258789
