Date,HALO
2022-02-28,35.470001220703125
2022-03-01,35.630001068115234
2022-03-02,36.0
2022-03-03,35.619998931884766
2022-03-04,35.11000061035156
2022-03-07,34.75
2022-03-08,34.27000045776367
2022-03-09,35.720001220703125
2022-03-10,35.869998931884766
2022-03-11,34.720001220703125
2022-03-14,34.56999969482422
2022-03-15,35.36000061035156
2022-03-16,36.06999969482422
2022-03-17,36.779998779296875
2022-03-18,37.310001373291016
2022-03-21,37.20000076293945
2022-03-22,37.630001068115234
2022-03-23,37.58000183105469
2022-03-24,38.720001220703125
2022-03-25,38.08000183105469
2022-03-28,39.16999816894531
2022-03-29,40.31999969482422
2022-03-30,40.220001220703125
2022-03-31,39.880001068115234
2022-04-01,41.61000061035156
2022-04-04,41.83000183105469
2022-04-05,41.459999084472656
2022-04-06,42.310001373291016
2022-04-07,41.869998931884766
2022-04-08,41.93000030517578
2022-04-11,41.380001068115234
2022-04-12,41.619998931884766
2022-04-13,41.459999084472656
2022-04-14,42.27000045776367
2022-04-18,41.7400016784668
2022-04-19,42.5099983215332
2022-04-20,43.310001373291016
2022-04-21,43.56999969482422
2022-04-22,43.529998779296875
2022-04-25,44.61000061035156
2022-04-26,42.97999954223633
2022-04-27,41.9900016784668
2022-04-28,41.5
2022-04-29,39.900001525878906
2022-05-02,40.849998474121094
2022-05-03,40.939998626708984
2022-05-04,41.40999984741211
2022-05-05,40.290000915527344
2022-05-06,39.2400016784668
2022-05-09,37.349998474121094
2022-05-10,38.20000076293945
2022-05-11,38.58000183105469
2022-05-12,39.040000915527344
2022-05-13,40.41999816894531
2022-05-16,41.689998626708984
2022-05-17,44.459999084472656
2022-05-18,43.0
2022-05-19,43.84000015258789
2022-05-20,44.31999969482422
2022-05-23,44.33000183105469
2022-05-24,44.81999969482422
2022-05-25,46.290000915527344
2022-05-26,46.599998474121094
2022-05-27,48.29999923706055
2022-05-31,45.97999954223633
2022-06-01,45.400001525878906
2022-06-02,45.66999816894531
2022-06-03,45.619998931884766
2022-06-06,44.45000076293945
2022-06-07,46.0099983215332
2022-06-08,46.20000076293945
2022-06-09,44.97999954223633
2022-06-10,43.790000915527344
2022-06-13,43.099998474121094
2022-06-14,43.59000015258789
2022-06-15,44.630001068115234
2022-06-16,43.11000061035156
2022-06-17,44.13999938964844
2022-06-21,45.7599983215332
2022-06-22,45.900001525878906
2022-06-23,46.79999923706055
2022-06-24,46.900001525878906
2022-06-27,47.040000915527344
2022-06-28,45.779998779296875
2022-06-29,45.279998779296875
2022-06-30,44.0
2022-07-01,44.47999954223633
2022-07-05,46.33000183105469
2022-07-06,46.75
2022-07-07,50.16999816894531
2022-07-08,51.779998779296875
2022-07-11,50.0
2022-07-12,49.45000076293945
2022-07-13,48.38999938964844
2022-07-14,47.15999984741211
2022-07-15,49.15999984741211
2022-07-18,48.20000076293945
2022-07-19,50.060001373291016
2022-07-20,50.529998779296875
2022-07-21,50.189998626708984
2022-07-22,49.5
2022-07-25,50.470001220703125
2022-07-26,50.91999816894531
2022-07-27,51.70000076293945
2022-07-28,50.52000045776367
2022-07-29,48.900001525878906
2022-08-01,48.529998779296875
2022-08-02,47.93000030517578
2022-08-03,47.47999954223633
2022-08-04,45.38999938964844
2022-08-05,45.130001068115234
2022-08-08,45.040000915527344
2022-08-09,43.33000183105469
2022-08-10,44.099998474121094
2022-08-11,43.36000061035156
2022-08-12,43.13999938964844
2022-08-15,43.09000015258789
2022-08-16,44.47999954223633
2022-08-17,43.40999984741211
2022-08-18,43.11000061035156
2022-08-19,42.2599983215332
2022-08-22,41.900001525878906
2022-08-23,42.439998626708984
2022-08-24,42.38999938964844
2022-08-25,42.310001373291016
2022-08-26,40.290000915527344
2022-08-29,40.529998779296875
2022-08-30,40.72999954223633
2022-08-31,40.72999954223633
2022-09-01,40.58000183105469
2022-09-02,38.91999816894531
2022-09-06,38.529998779296875
2022-09-07,39.40999984741211
2022-09-08,39.66999816894531
2022-09-09,41.400001525878906
2022-09-12,42.0
2022-09-13,41.29999923706055
2022-09-14,42.5099983215332
2022-09-15,42.33000183105469
2022-09-16,41.970001220703125
2022-09-19,40.90999984741211
2022-09-20,40.279998779296875
2022-09-21,39.209999084472656
2022-09-22,38.7400016784668
2022-09-23,38.81999969482422
2022-09-26,38.58000183105469
2022-09-27,38.63999938964844
2022-09-28,40.25
2022-09-29,39.52000045776367
2022-09-30,39.540000915527344
2022-10-03,40.060001373291016
2022-10-04,41.54999923706055
2022-10-05,41.65999984741211
2022-10-06,41.81999969482422
2022-10-07,41.5
2022-10-10,41.2599983215332
2022-10-11,42.20000076293945
2022-10-12,42.599998474121094
2022-10-13,43.220001220703125
2022-10-14,44.16999816894531
2022-10-17,44.689998626708984
2022-10-18,46.0099983215332
2022-10-19,43.95000076293945
2022-10-20,43.900001525878906
2022-10-21,46.060001373291016
2022-10-24,46.560001373291016
2022-10-25,46.91999816894531
2022-10-26,46.90999984741211
2022-10-27,47.0
2022-10-28,48.2400016784668
2022-10-31,47.810001373291016
2022-11-01,48.279998779296875
2022-11-02,47.380001068115234
2022-11-03,47.040000915527344
2022-11-04,46.59000015258789
2022-11-07,46.279998779296875
2022-11-08,45.83000183105469
2022-11-09,49.709999084472656
2022-11-10,53.33000183105469
2022-11-11,53.970001220703125
2022-11-14,53.90999984741211
2022-11-15,54.02000045776367
2022-11-16,53.27000045776367
2022-11-17,52.7599983215332
2022-11-18,52.939998626708984
2022-11-21,53.290000915527344
2022-11-22,53.630001068115234
2022-11-23,54.349998474121094
2022-11-25,54.66999816894531
