Date,GGAL
2022-02-28,9.470000267028809
2022-03-01,9.649999618530273
2022-03-02,9.890000343322754
2022-03-03,9.989999771118164
2022-03-04,9.59000015258789
2022-03-07,9.109999656677246
2022-03-08,9.380000114440918
2022-03-09,9.949999809265137
2022-03-10,10.300000190734863
2022-03-11,10.140000343322754
2022-03-14,9.920000076293945
2022-03-15,9.930000305175781
2022-03-16,10.149999618530273
2022-03-17,10.460000038146973
2022-03-18,10.260000228881836
2022-03-21,10.4399995803833
2022-03-22,10.420000076293945
2022-03-23,10.270000457763672
2022-03-24,10.850000381469727
2022-03-25,10.699999809265137
2022-03-28,10.6899995803833
2022-03-29,10.6899995803833
2022-03-30,10.829999923706055
2022-03-31,10.800000190734863
2022-04-01,11.100000381469727
2022-04-04,11.010000228881836
2022-04-05,10.619999885559082
2022-04-06,10.510000228881836
2022-04-07,10.3100004196167
2022-04-08,10.300000190734863
2022-04-11,9.979999542236328
2022-04-12,9.930000305175781
2022-04-13,9.970000267028809
2022-04-14,10.0
2022-04-18,10.130000114440918
2022-04-19,10.119999885559082
2022-04-20,10.039999961853027
2022-04-21,9.510000228881836
2022-04-22,9.260000228881836
2022-04-25,9.300000190734863
2022-04-26,8.869999885559082
2022-04-27,9.140000343322754
2022-04-28,9.279999732971191
2022-04-29,9.09000015258789
2022-05-02,8.789999961853027
2022-05-03,9.15999984741211
2022-05-04,9.289999961853027
2022-05-05,8.920000076293945
2022-05-06,8.920000076293945
2022-05-09,8.680000305175781
2022-05-10,8.859999656677246
2022-05-11,9.069999694824219
2022-05-12,9.079999923706055
2022-05-13,9.069999694824219
2022-05-16,9.279999732971191
2022-05-17,9.489999771118164
2022-05-18,9.25
2022-05-19,9.260000228881836
2022-05-20,9.069999694824219
2022-05-23,9.350000381469727
2022-05-24,9.350000381469727
2022-05-25,9.369999885559082
2022-05-26,9.390000343322754
2022-05-27,9.380000114440918
2022-05-31,9.210000038146973
2022-06-01,9.0
2022-06-02,9.1899995803833
2022-06-03,9.109999656677246
2022-06-06,8.920000076293945
2022-06-07,8.859999656677246
2022-06-08,8.609999656677246
2022-06-09,7.909999847412109
2022-06-10,7.840000152587891
2022-06-13,7.21999979019165
2022-06-14,7.300000190734863
2022-06-15,7.510000228881836
2022-06-16,7.360000133514404
2022-06-17,7.449999809265137
2022-06-21,7.380000114440918
2022-06-22,7.449999809265137
2022-06-23,7.300000190734863
