Date,LNTH
2022-02-28,47.81999969482422
2022-03-01,49.150001525878906
2022-03-02,52.400001525878906
2022-03-03,49.93000030517578
2022-03-04,52.29999923706055
2022-03-07,51.77000045776367
2022-03-08,50.810001373291016
2022-03-09,52.5099983215332
2022-03-10,51.93000030517578
2022-03-11,51.81999969482422
2022-03-14,49.869998931884766
2022-03-15,52.56999969482422
2022-03-16,54.97999954223633
2022-03-17,54.95000076293945
2022-03-18,54.970001220703125
2022-03-21,55.2400016784668
2022-03-22,55.689998626708984
2022-03-23,55.5
2022-03-24,50.93000030517578
2022-03-25,49.900001525878906
2022-03-28,52.25
2022-03-29,56.63999938964844
2022-03-30,55.900001525878906
2022-03-31,55.310001373291016
2022-04-01,58.36000061035156
2022-04-04,56.709999084472656
2022-04-05,57.34000015258789
2022-04-06,58.560001373291016
2022-04-07,59.599998474121094
2022-04-08,60.189998626708984
2022-04-11,58.720001220703125
2022-04-12,57.900001525878906
2022-04-13,59.47999954223633
2022-04-14,60.279998779296875
2022-04-18,60.779998779296875
2022-04-19,61.43000030517578
2022-04-20,63.7599983215332
2022-04-21,59.33000183105469
2022-04-22,58.33000183105469
2022-04-25,59.09000015258789
2022-04-26,57.9900016784668
2022-04-27,58.16999816894531
2022-04-28,59.119998931884766
2022-04-29,66.41000366210938
2022-05-02,65.95999908447266
2022-05-03,65.6500015258789
2022-05-04,66.6500015258789
2022-05-05,64.1500015258789
2022-05-06,64.19999694824219
2022-05-09,55.540000915527344
2022-05-10,58.189998626708984
2022-05-11,58.66999816894531
2022-05-12,59.599998474121094
2022-05-13,64.0
2022-05-16,66.88999938964844
2022-05-17,66.19999694824219
2022-05-18,62.86000061035156
2022-05-19,63.290000915527344
2022-05-20,62.290000915527344
2022-05-23,66.43000030517578
2022-05-24,63.7599983215332
2022-05-25,65.18000030517578
2022-05-26,66.1500015258789
2022-05-27,70.33999633789062
2022-05-31,68.5199966430664
2022-06-01,68.76000213623047
2022-06-02,70.83999633789062
2022-06-03,71.88999938964844
2022-06-06,70.08000183105469
2022-06-07,72.6500015258789
2022-06-08,72.08999633789062
2022-06-09,67.12999725341797
2022-06-10,63.849998474121094
2022-06-13,61.880001068115234
2022-06-14,62.58000183105469
2022-06-15,64.36000061035156
