Date,SANM
2022-02-28,39.779998779296875
2022-03-01,39.34000015258789
2022-03-02,40.29999923706055
2022-03-03,40.43000030517578
2022-03-04,39.880001068115234
2022-03-07,39.060001373291016
2022-03-08,38.97999954223633
2022-03-09,40.0099983215332
2022-03-10,40.029998779296875
2022-03-11,39.93000030517578
2022-03-14,39.689998626708984
2022-03-15,40.0
2022-03-16,41.310001373291016
2022-03-17,41.63999938964844
2022-03-18,41.939998626708984
2022-03-21,42.75
2022-03-22,41.88999938964844
2022-03-23,41.380001068115234
2022-03-24,41.68000030517578
2022-03-25,41.95000076293945
2022-03-28,41.25
2022-03-29,41.65999984741211
2022-03-30,40.61000061035156
2022-03-31,40.41999816894531
2022-04-01,40.810001373291016
2022-04-04,40.40999984741211
2022-04-05,39.47999954223633
2022-04-06,38.58000183105469
2022-04-07,38.5
2022-04-08,38.369998931884766
2022-04-11,38.20000076293945
2022-04-12,38.81999969482422
2022-04-13,39.59000015258789
2022-04-14,39.20000076293945
2022-04-18,39.59000015258789
2022-04-19,40.349998474121094
2022-04-20,40.83000183105469
2022-04-21,40.470001220703125
2022-04-22,39.630001068115234
2022-04-25,40.189998626708984
2022-04-26,39.68000030517578
2022-04-27,39.939998626708984
2022-04-28,41.63999938964844
2022-04-29,40.88999938964844
2022-05-02,40.959999084472656
2022-05-03,43.25
2022-05-04,43.22999954223633
2022-05-05,41.470001220703125
2022-05-06,40.790000915527344
2022-05-09,40.45000076293945
2022-05-10,39.900001525878906
2022-05-11,39.4900016784668
2022-05-12,38.84000015258789
2022-05-13,40.36000061035156
2022-05-16,40.709999084472656
2022-05-17,43.56999969482422
2022-05-18,43.5
2022-05-19,42.79999923706055
2022-05-20,41.18000030517578
2022-05-23,41.86000061035156
2022-05-24,41.529998779296875
2022-05-25,42.119998931884766
2022-05-26,42.95000076293945
2022-05-27,43.90999984741211
2022-05-31,43.88999938964844
2022-06-01,43.70000076293945
2022-06-02,43.95000076293945
2022-06-03,44.709999084472656
2022-06-06,45.20000076293945
2022-06-07,45.439998626708984
2022-06-08,44.470001220703125
2022-06-09,43.959999084472656
