Date,CRVL
2022-02-28,159.05999755859375
2022-03-01,164.9499969482422
2022-03-02,166.7899932861328
2022-03-03,166.0500030517578
2022-03-04,163.94000244140625
2022-03-07,162.7899932861328
2022-03-08,156.75
2022-03-09,161.4499969482422
2022-03-10,157.3000030517578
2022-03-11,156.6699981689453
2022-03-14,156.22999572753906
2022-03-15,159.3000030517578
2022-03-16,165.50999450683594
2022-03-17,169.3699951171875
2022-03-18,172.3000030517578
2022-03-21,168.0399932861328
2022-03-22,169.83999633789062
2022-03-23,165.25
2022-03-24,168.02999877929688
2022-03-25,163.50999450683594
2022-03-28,164.60000610351562
2022-03-29,169.7899932861328
2022-03-30,168.3699951171875
2022-03-31,168.44000244140625
2022-04-01,173.8699951171875
2022-04-04,169.27000427246094
2022-04-05,170.02000427246094
2022-04-06,168.89999389648438
2022-04-07,174.83999633789062
2022-04-08,173.8300018310547
2022-04-11,174.00999450683594
2022-04-12,178.0
2022-04-13,179.72999572753906
2022-04-14,178.82000732421875
2022-04-18,175.41000366210938
2022-04-19,178.0500030517578
2022-04-20,181.6999969482422
2022-04-21,175.25999450683594
2022-04-22,165.4199981689453
2022-04-25,167.0500030517578
2022-04-26,160.13999938964844
2022-04-27,155.97999572753906
2022-04-28,160.00999450683594
2022-04-29,155.0800018310547
2022-05-02,155.58999633789062
2022-05-03,156.0800018310547
2022-05-04,156.6300048828125
2022-05-05,151.0800018310547
2022-05-06,151.94000244140625
2022-05-09,151.35000610351562
2022-05-10,150.2100067138672
2022-05-11,147.1699981689453
2022-05-12,148.88999938964844
2022-05-13,153.08999633789062
2022-05-16,151.75999450683594
2022-05-17,156.83999633789062
2022-05-18,149.61000061035156
2022-05-19,149.44000244140625
2022-05-20,150.2899932861328
2022-05-23,147.74000549316406
2022-05-24,148.42999267578125
2022-05-25,149.66000366210938
2022-05-26,151.24000549316406
2022-05-27,152.1300048828125
2022-05-31,149.16000366210938
2022-06-01,148.0399932861328
2022-06-02,150.38999938964844
2022-06-03,145.3699951171875
2022-06-06,141.69000244140625
2022-06-07,143.0500030517578
2022-06-08,140.94000244140625
2022-06-09,140.1999969482422
2022-06-10,140.42999267578125
2022-06-13,139.1999969482422
2022-06-14,133.50999450683594
2022-06-15,135.33999633789062
2022-06-16,131.9600067138672
2022-06-17,135.89999389648438
2022-06-21,137.3300018310547
2022-06-22,140.6999969482422
2022-06-23,146.64999389648438
2022-06-24,148.05999755859375
2022-06-27,146.44000244140625
2022-06-28,144.85000610351562
2022-06-29,146.9199981689453
2022-06-30,147.27000427246094
2022-07-01,151.30999755859375
2022-07-05,152.36000061035156
2022-07-06,150.4499969482422
2022-07-07,152.5
2022-07-08,149.58999633789062
2022-07-11,150.2899932861328
2022-07-12,144.89999389648438
2022-07-13,144.5500030517578
2022-07-14,147.16000366210938
2022-07-15,152.05999755859375
2022-07-18,148.64999389648438
2022-07-19,153.60000610351562
2022-07-20,154.5500030517578
2022-07-21,157.07000732421875
2022-07-22,154.8000030517578
2022-07-25,157.32000732421875
2022-07-26,158.57000732421875
2022-07-27,160.92999267578125
2022-07-28,163.97999572753906
2022-07-29,164.88999938964844
2022-08-01,165.5
2022-08-02,168.11000061035156
2022-08-03,168.0800018310547
2022-08-04,163.61000061035156
2022-08-05,157.4600067138672
2022-08-08,158.94000244140625
2022-08-09,157.07000732421875
2022-08-10,160.47999572753906
2022-08-11,159.86000061035156
2022-08-12,163.07000732421875
2022-08-15,167.25
2022-08-16,168.75
2022-08-17,170.2899932861328
2022-08-18,171.41000366210938
2022-08-19,171.47999572753906
2022-08-22,171.0
2022-08-23,162.4600067138672
2022-08-24,163.42999267578125
2022-08-25,164.3800048828125
2022-08-26,158.4499969482422
2022-08-29,160.57000732421875
2022-08-30,155.75
2022-08-31,155.3800048828125
2022-09-01,154.2100067138672
2022-09-02,151.35000610351562
2022-09-06,152.39999389648438
2022-09-07,157.1199951171875
2022-09-08,155.8699951171875
2022-09-09,158.22999572753906
2022-09-12,157.9499969482422
2022-09-13,152.85000610351562
2022-09-14,152.16000366210938
2022-09-15,152.16000366210938
2022-09-16,151.49000549316406
2022-09-19,151.75999450683594
2022-09-20,149.19000244140625
2022-09-21,146.72000122070312
2022-09-22,145.35000610351562
2022-09-23,141.5800018310547
2022-09-26,142.75
2022-09-27,137.27999877929688
2022-09-28,140.16000366210938
2022-09-29,139.66000366210938
2022-09-30,138.42999267578125
2022-10-03,141.74000549316406
2022-10-04,145.6999969482422
2022-10-05,143.83999633789062
2022-10-06,139.7899932861328
2022-10-07,139.25
2022-10-10,142.83999633789062
2022-10-11,145.8699951171875
2022-10-12,145.47000122070312
2022-10-13,149.5500030517578
2022-10-14,145.36000061035156
2022-10-17,149.85000610351562
2022-10-18,152.52999877929688
2022-10-19,153.08999633789062
2022-10-20,151.6999969482422
2022-10-21,154.60000610351562
2022-10-24,156.52999877929688
2022-10-25,160.2100067138672
2022-10-26,161.3300018310547
2022-10-27,158.8800048828125
2022-10-28,162.22999572753906
2022-10-31,164.2100067138672
2022-11-01,159.1300048828125
2022-11-02,156.25999450683594
2022-11-03,155.99000549316406
2022-11-04,157.1999969482422
2022-11-07,155.33999633789062
