Date,HQY
2022-02-28,53.709999084472656
2022-03-01,52.459999084472656
2022-03-02,53.61000061035156
2022-03-03,51.75
2022-03-04,52.34000015258789
2022-03-07,51.08000183105469
2022-03-08,52.279998779296875
2022-03-09,54.02000045776367
2022-03-10,53.66999816894531
2022-03-11,51.86000061035156
2022-03-14,52.0
2022-03-15,54.08000183105469
2022-03-16,56.630001068115234
2022-03-17,56.7400016784668
2022-03-18,58.45000076293945
2022-03-21,57.810001373291016
2022-03-22,58.529998779296875
2022-03-23,59.20000076293945
2022-03-24,63.029998779296875
2022-03-25,64.33000183105469
2022-03-28,65.26000213623047
2022-03-29,66.91999816894531
2022-03-30,67.25
2022-03-31,67.44000244140625
2022-04-01,67.3499984741211
2022-04-04,66.98999786376953
2022-04-05,67.20999908447266
2022-04-06,67.5
2022-04-07,67.22000122070312
2022-04-08,67.29000091552734
2022-04-11,67.95999908447266
2022-04-12,68.69000244140625
2022-04-13,68.69000244140625
2022-04-14,70.01000213623047
2022-04-18,68.88999938964844
2022-04-19,71.29000091552734
2022-04-20,71.62000274658203
2022-04-21,69.55000305175781
2022-04-22,66.7300033569336
2022-04-25,67.36000061035156
2022-04-26,64.38999938964844
2022-04-27,64.86000061035156
2022-04-28,64.05000305175781
2022-04-29,62.31999969482422
2022-05-02,63.91999816894531
2022-05-03,62.06999969482422
2022-05-04,63.20000076293945
2022-05-05,60.38999938964844
2022-05-06,58.79999923706055
2022-05-09,56.79999923706055
2022-05-10,55.9900016784668
2022-05-11,54.13999938964844
2022-05-12,54.7599983215332
2022-05-13,57.68000030517578
2022-05-16,57.2400016784668
2022-05-17,60.41999816894531
2022-05-18,58.56999969482422
2022-05-19,59.0099983215332
2022-05-20,59.22999954223633
2022-05-23,60.029998779296875
2022-05-24,59.2599983215332
2022-05-25,60.279998779296875
2022-05-26,60.97999954223633
2022-05-27,62.79999923706055
2022-05-31,62.58000183105469
2022-06-01,62.16999816894531
2022-06-02,63.72999954223633
2022-06-03,64.05999755859375
2022-06-06,62.45000076293945
2022-06-07,65.36000061035156
2022-06-08,63.849998474121094
2022-06-09,63.099998474121094
2022-06-10,64.05000305175781
2022-06-13,64.62999725341797
2022-06-14,68.41999816894531
2022-06-15,68.22000122070312
2022-06-16,67.9000015258789
2022-06-17,68.52999877929688
2022-06-21,69.01000213623047
2022-06-22,67.13999938964844
2022-06-23,66.75
2022-06-24,66.80999755859375
2022-06-27,66.75
2022-06-28,65.12000274658203
2022-06-29,63.529998779296875
2022-06-30,61.38999938964844
2022-07-01,57.66999816894531
2022-07-05,58.83000183105469
