Date,STEP
2022-02-28,34.529998779296875
2022-03-01,33.2599983215332
2022-03-02,34.7599983215332
2022-03-03,33.2599983215332
2022-03-04,32.31999969482422
2022-03-07,30.06999969482422
2022-03-08,30.209999084472656
2022-03-09,32.439998626708984
2022-03-10,31.90999984741211
2022-03-11,31.860000610351562
2022-03-14,31.010000228881836
2022-03-15,31.40999984741211
2022-03-16,32.9900016784668
2022-03-17,33.58000183105469
2022-03-18,33.939998626708984
2022-03-21,33.560001373291016
2022-03-22,34.47999954223633
2022-03-23,33.720001220703125
2022-03-24,34.06999969482422
2022-03-25,32.90999984741211
2022-03-28,32.689998626708984
2022-03-29,34.36000061035156
2022-03-30,32.84000015258789
2022-03-31,33.060001373291016
2022-04-01,33.709999084472656
2022-04-04,33.7599983215332
2022-04-05,32.43000030517578
2022-04-06,31.110000610351562
2022-04-07,30.510000228881836
2022-04-08,30.059999465942383
2022-04-11,29.610000610351562
2022-04-12,29.209999084472656
2022-04-13,29.43000030517578
2022-04-14,28.299999237060547
2022-04-18,27.329999923706055
2022-04-19,28.68000030517578
2022-04-20,28.389999389648438
2022-04-21,27.18000030517578
2022-04-22,26.739999771118164
2022-04-25,27.530000686645508
2022-04-26,26.790000915527344
2022-04-27,26.200000762939453
2022-04-28,26.639999389648438
2022-04-29,25.6200008392334
2022-05-02,26.5
2022-05-03,26.40999984741211
2022-05-04,26.780000686645508
2022-05-05,25.649999618530273
2022-05-06,25.020000457763672
2022-05-09,24.610000610351562
2022-05-10,24.3799991607666
2022-05-11,23.15999984741211
2022-05-12,23.760000228881836
2022-05-13,25.299999237060547
2022-05-16,24.65999984741211
2022-05-17,26.34000015258789
2022-05-18,25.459999084472656
2022-05-19,25.420000076293945
2022-05-20,25.690000534057617
2022-05-23,27.209999084472656
2022-05-24,26.639999389648438
2022-05-25,27.31999969482422
2022-05-26,27.6299991607666
2022-05-27,27.920000076293945
2022-05-31,27.260000228881836
2022-06-01,26.219999313354492
2022-06-02,26.90999984741211
2022-06-03,27.399999618530273
2022-06-06,28.110000610351562
2022-06-07,28.520000457763672
2022-06-08,28.110000610351562
2022-06-09,28.100000381469727
2022-06-10,27.25
2022-06-13,26.0
2022-06-14,25.989999771118164
2022-06-15,26.25
2022-06-16,25.5
2022-06-17,26.100000381469727
2022-06-21,26.299999237060547
2022-06-22,26.290000915527344
2022-06-23,26.5
2022-06-24,27.979999542236328
2022-06-27,27.799999237060547
2022-06-28,27.600000381469727
2022-06-29,26.299999237060547
2022-06-30,26.030000686645508
2022-07-01,26.780000686645508
2022-07-05,27.399999618530273
2022-07-06,27.09000015258789
2022-07-07,27.700000762939453
2022-07-08,27.520000457763672
2022-07-11,25.770000457763672
2022-07-12,25.200000762939453
2022-07-13,24.31999969482422
2022-07-14,23.5
2022-07-15,24.299999237060547
2022-07-18,24.020000457763672
2022-07-19,24.15999984741211
2022-07-20,25.170000076293945
2022-07-21,25.1200008392334
2022-07-22,24.610000610351562
2022-07-25,24.790000915527344
2022-07-26,24.1299991607666
2022-07-27,24.75
2022-07-28,25.920000076293945
2022-07-29,26.639999389648438
2022-08-01,26.950000762939453
2022-08-02,27.079999923706055
2022-08-03,28.110000610351562
2022-08-04,28.649999618530273
2022-08-05,27.969999313354492
2022-08-08,27.65999984741211
2022-08-09,27.530000686645508
2022-08-10,28.829999923706055
2022-08-11,29.030000686645508
2022-08-12,29.790000915527344
2022-08-15,30.309999465942383
2022-08-16,30.399999618530273
2022-08-17,30.530000686645508
2022-08-18,30.65999984741211
2022-08-19,29.510000228881836
2022-08-22,29.299999237060547
2022-08-23,29.010000228881836
2022-08-24,29.219999313354492
2022-08-25,29.3799991607666
2022-08-26,27.940000534057617
2022-08-29,27.469999313354492
2022-08-30,27.229999542236328
2022-08-31,27.290000915527344
2022-09-01,26.700000762939453
2022-09-02,26.670000076293945
2022-09-06,27.059999465942383
2022-09-07,28.3700008392334
2022-09-08,29.040000915527344
2022-09-09,30.110000610351562
2022-09-12,30.540000915527344
2022-09-13,28.639999389648438
2022-09-14,28.90999984741211
2022-09-15,28.59000015258789
2022-09-16,27.899999618530273
2022-09-19,28.709999084472656
2022-09-20,27.889999389648438
2022-09-21,27.709999084472656
2022-09-22,26.5
2022-09-23,25.889999389648438
2022-09-26,25.479999542236328
2022-09-27,24.93000030517578
2022-09-28,25.270000457763672
2022-09-29,24.969999313354492
2022-09-30,24.510000228881836
2022-10-03,25.979999542236328
2022-10-04,26.889999389648438
2022-10-05,26.989999771118164
2022-10-06,26.889999389648438
2022-10-07,25.739999771118164
2022-10-10,25.59000015258789
2022-10-11,25.010000228881836
2022-10-12,24.709999084472656
2022-10-13,25.59000015258789
2022-10-14,24.84000015258789
2022-10-17,25.90999984741211
2022-10-18,25.989999771118164
2022-10-19,24.979999542236328
2022-10-20,24.40999984741211
2022-10-21,25.780000686645508
2022-10-24,26.239999771118164
2022-10-25,27.780000686645508
2022-10-26,28.40999984741211
2022-10-27,28.65999984741211
2022-10-28,29.979999542236328
2022-10-31,29.520000457763672
2022-11-01,29.979999542236328
2022-11-02,29.280000686645508
2022-11-03,28.65999984741211
2022-11-04,29.56999969482422
2022-11-07,29.860000610351562
2022-11-08,29.3700008392334
2022-11-09,28.950000762939453
2022-11-10,30.280000686645508
2022-11-11,31.979999542236328
2022-11-14,30.739999771118164
2022-11-15,31.329999923706055
2022-11-16,30.540000915527344
2022-11-17,29.600000381469727
2022-11-18,29.670000076293945
2022-11-21,29.959999084472656
2022-11-22,30.65999984741211
2022-11-23,30.719999313354492
