Date,MKTX
2022-02-28,381.42999267578125
2022-03-01,379.8900146484375
2022-03-02,378.55999755859375
2022-03-03,360.67999267578125
2022-03-04,368.3299865722656
2022-03-07,353.989990234375
2022-03-08,340.9599914550781
2022-03-09,348.44000244140625
2022-03-10,342.79998779296875
2022-03-11,342.5899963378906
2022-03-14,343.8399963378906
2022-03-15,347.510009765625
2022-03-16,354.4100036621094
2022-03-17,354.3399963378906
2022-03-18,353.8399963378906
2022-03-21,348.67999267578125
2022-03-22,352.45001220703125
2022-03-23,346.6099853515625
2022-03-24,353.6000061035156
2022-03-25,351.8900146484375
2022-03-28,359.739990234375
2022-03-29,357.30999755859375
2022-03-30,346.9100036621094
2022-03-31,340.20001220703125
2022-04-01,339.44000244140625
2022-04-04,345.510009765625
2022-04-05,307.6000061035156
2022-04-06,287.8299865722656
2022-04-07,287.239990234375
2022-04-08,281.05999755859375
2022-04-11,280.8399963378906
2022-04-12,273.95001220703125
2022-04-13,271.5799865722656
2022-04-14,265.45001220703125
2022-04-18,257.1199951171875
2022-04-19,263.7099914550781
2022-04-20,273.92999267578125
2022-04-21,272.8800048828125
2022-04-22,265.92999267578125
2022-04-25,267.95001220703125
2022-04-26,260.80999755859375
2022-04-27,261.2699890136719
2022-04-28,271.5299987792969
2022-04-29,263.6099853515625
2022-05-02,261.45001220703125
2022-05-03,265.0799865722656
2022-05-04,280.739990234375
2022-05-05,275.9700012207031
2022-05-06,265.0400085449219
2022-05-09,257.010009765625
2022-05-10,255.52000427246094
2022-05-11,252.97000122070312
2022-05-12,257.260009765625
2022-05-13,263.3800048828125
2022-05-16,257.8999938964844
2022-05-17,260.30999755859375
2022-05-18,250.17999267578125
2022-05-19,267.94000244140625
2022-05-20,279.30999755859375
2022-05-23,282.8500061035156
2022-05-24,279.0199890136719
2022-05-25,276.5400085449219
2022-05-26,282.1199951171875
2022-05-27,287.8900146484375
2022-05-31,281.67999267578125
2022-06-01,276.9100036621094
2022-06-02,287.3900146484375
2022-06-03,278.4800109863281
2022-06-06,281.42999267578125
2022-06-07,284.489990234375
2022-06-08,281.010009765625
2022-06-09,274.010009765625
2022-06-10,273.8900146484375
2022-06-13,267.7799987792969
2022-06-14,268.4800109863281
2022-06-15,270.0400085449219
2022-06-16,269.1199951171875
2022-06-17,264.2099914550781
2022-06-21,265.739990234375
2022-06-22,269.0400085449219
2022-06-23,272.7300109863281
2022-06-24,277.6400146484375
2022-06-27,272.0
2022-06-28,265.6300048828125
2022-06-29,260.489990234375
2022-06-30,256.010009765625
2022-07-01,257.7699890136719
2022-07-05,264.7699890136719
2022-07-06,259.6300048828125
2022-07-07,267.5799865722656
2022-07-08,266.1099853515625
2022-07-11,261.8599853515625
2022-07-12,256.6700134277344
2022-07-13,259.4599914550781
2022-07-14,260.29998779296875
2022-07-15,266.57000732421875
2022-07-18,266.9200134277344
2022-07-19,274.739990234375
2022-07-20,267.4100036621094
2022-07-21,270.6700134277344
2022-07-22,270.8399963378906
2022-07-25,264.7099914550781
2022-07-26,256.3699951171875
2022-07-27,258.2300109863281
2022-07-28,267.3900146484375
2022-07-29,270.7799987792969
2022-08-01,269.3999938964844
2022-08-02,271.7900085449219
2022-08-03,266.3900146484375
2022-08-04,269.42999267578125
2022-08-05,264.2300109863281
2022-08-08,268.9100036621094
2022-08-09,265.2300109863281
2022-08-10,269.7300109863281
2022-08-11,265.989990234375
2022-08-12,270.8599853515625
2022-08-15,276.5799865722656
2022-08-16,277.5199890136719
2022-08-17,274.25
2022-08-18,272.5299987792969
2022-08-19,262.30999755859375
2022-08-22,258.07000732421875
2022-08-23,251.75
2022-08-24,254.02999877929688
2022-08-25,255.99000549316406
2022-08-26,244.9499969482422
2022-08-29,242.47999572753906
2022-08-30,244.0
2022-08-31,248.58999633789062
2022-09-01,251.32000732421875
2022-09-02,249.91000366210938
2022-09-06,242.5800018310547
2022-09-07,247.72000122070312
2022-09-08,256.94000244140625
2022-09-09,265.92999267578125
2022-09-12,264.0299987792969
2022-09-13,261.5400085449219
2022-09-14,262.92999267578125
2022-09-15,256.80999755859375
2022-09-16,252.10000610351562
2022-09-19,238.52999877929688
2022-09-20,235.8000030517578
2022-09-21,234.38999938964844
2022-09-22,227.89999389648438
2022-09-23,227.47999572753906
2022-09-26,225.38999938964844
2022-09-27,219.05999755859375
2022-09-28,223.16000366210938
2022-09-29,224.60000610351562
2022-09-30,222.49000549316406
2022-10-03,231.58999633789062
2022-10-04,236.13999938964844
2022-10-05,239.5399932861328
2022-10-06,238.25
2022-10-07,235.6199951171875
2022-10-10,232.80999755859375
2022-10-11,231.60000610351562
2022-10-12,237.14999389648438
2022-10-13,238.89999389648438
2022-10-14,229.77000427246094
2022-10-17,235.86000061035156
2022-10-18,241.16000366210938
2022-10-19,233.47000122070312
2022-10-20,231.47999572753906
2022-10-21,243.02000427246094
2022-10-24,241.8699951171875
2022-10-25,246.77000427246094
2022-10-26,238.3000030517578
2022-10-27,237.8000030517578
2022-10-28,244.57000732421875
2022-10-31,244.0399932861328
2022-11-01,238.57000732421875
2022-11-02,232.08999633789062
2022-11-03,228.8699951171875
2022-11-04,233.99000549316406
2022-11-07,238.19000244140625
2022-11-08,246.88999938964844
2022-11-09,251.9199981689453
2022-11-10,277.4700012207031
2022-11-11,283.29998779296875
2022-11-14,266.5899963378906
2022-11-15,264.70001220703125
2022-11-16,262.239990234375
2022-11-17,256.510009765625
2022-11-18,259.7900085449219
2022-11-21,255.8800048828125
2022-11-22,256.2799987792969
2022-11-23,256.80999755859375
2022-11-25,256.8399963378906
2022-11-28,254.6199951171875
2022-11-29,256.0799865722656
2022-11-30,267.9200134277344
2022-12-01,273.2699890136719
2022-12-02,281.1600036621094
2022-12-05,284.7799987792969
2022-12-06,285.04998779296875
2022-12-07,275.1400146484375
2022-12-08,283.1600036621094
2022-12-09,280.92999267578125
2022-12-12,286.75
2022-12-13,289.44000244140625
2022-12-14,285.5299987792969
