Date,WIX
2022-02-28,91.58000183105469
2022-03-01,85.70999908447266
2022-03-02,84.33000183105469
2022-03-03,78.76000213623047
2022-03-04,73.51000213623047
2022-03-07,74.72000122070312
2022-03-08,74.6500015258789
2022-03-09,80.33999633789062
2022-03-10,79.2699966430664
2022-03-11,77.08999633789062
2022-03-14,75.02999877929688
2022-03-15,77.97000122070312
2022-03-16,84.79000091552734
2022-03-17,86.33000183105469
2022-03-18,88.7300033569336
2022-03-21,89.97000122070312
2022-03-22,93.9800033569336
2022-03-23,95.0999984741211
2022-03-24,99.83999633789062
2022-03-25,95.70999908447266
2022-03-28,97.04000091552734
2022-03-29,105.62999725341797
2022-03-30,104.12999725341797
2022-03-31,104.45999908447266
2022-04-01,107.11000061035156
2022-04-04,109.48999786376953
2022-04-05,104.8499984741211
2022-04-06,99.0999984741211
2022-04-07,96.54000091552734
2022-04-08,93.9000015258789
2022-04-11,96.43000030517578
2022-04-12,93.94000244140625
2022-04-13,96.2699966430664
2022-04-14,89.7300033569336
2022-04-18,88.31999969482422
2022-04-19,94.1500015258789
2022-04-20,85.9000015258789
2022-04-21,83.87000274658203
2022-04-22,82.9800033569336
2022-04-25,82.83000183105469
2022-04-26,76.11000061035156
2022-04-27,75.79000091552734
2022-04-28,80.81999969482422
2022-04-29,75.45999908447266
2022-05-02,79.87999725341797
2022-05-03,79.55999755859375
2022-05-04,82.0
2022-05-05,74.08999633789062
2022-05-06,71.94999694824219
2022-05-09,64.62999725341797
2022-05-10,64.56999969482422
2022-05-11,58.349998474121094
2022-05-12,63.279998779296875
2022-05-13,71.19000244140625
2022-05-16,66.68000030517578
2022-05-17,68.12000274658203
2022-05-18,62.79999923706055
2022-05-19,68.66000366210938
2022-05-20,67.3499984741211
2022-05-23,66.93000030517578
2022-05-24,62.13999938964844
2022-05-25,63.459999084472656
2022-05-26,64.51000213623047
2022-05-27,66.80999755859375
2022-05-31,63.0099983215332
2022-06-01,61.380001068115234
2022-06-02,65.23999786376953
2022-06-03,59.13999938964844
2022-06-06,58.5
2022-06-07,60.060001373291016
2022-06-08,63.13999938964844
2022-06-09,60.400001525878906
2022-06-10,57.630001068115234
2022-06-13,54.529998779296875
2022-06-14,55.59000015258789
