Date,IDXX
2022-02-28,532.3499755859375
2022-03-01,535.1400146484375
2022-03-02,539.969970703125
2022-03-03,538.52001953125
2022-03-04,535.7100219726562
2022-03-07,517.280029296875
2022-03-08,507.7799987792969
2022-03-09,529.9199829101562
2022-03-10,524.4400024414062
2022-03-11,498.0799865722656
2022-03-14,486.3299865722656
2022-03-15,502.92999267578125
2022-03-16,520.1900024414062
2022-03-17,527.0900268554688
2022-03-18,542.4600219726562
2022-03-21,539.5900268554688
2022-03-22,552.4600219726562
2022-03-23,536.0599975585938
2022-03-24,540.3900146484375
2022-03-25,538.9299926757812
2022-03-28,539.5399780273438
2022-03-29,551.760009765625
2022-03-30,548.6799926757812
2022-03-31,547.0599975585938
2022-04-01,553.4400024414062
2022-04-04,548.0800170898438
2022-04-05,545.0399780273438
2022-04-06,534.9199829101562
2022-04-07,551.260009765625
2022-04-08,547.1199951171875
2022-04-11,514.47998046875
2022-04-12,497.239990234375
2022-04-13,508.6099853515625
2022-04-14,496.7799987792969
2022-04-18,486.80999755859375
2022-04-19,500.8500061035156
2022-04-20,513.3900146484375
2022-04-21,492.5199890136719
2022-04-22,473.6400146484375
2022-04-25,472.2699890136719
2022-04-26,455.55999755859375
2022-04-27,447.17999267578125
2022-04-28,448.3500061035156
2022-04-29,430.4800109863281
2022-05-02,432.4599914550781
2022-05-03,435.9599914550781
2022-05-04,411.30999755859375
2022-05-05,385.1099853515625
2022-05-06,366.6400146484375
2022-05-09,345.0199890136719
2022-05-10,340.17999267578125
2022-05-11,333.8999938964844
2022-05-12,347.95001220703125
2022-05-13,362.17999267578125
2022-05-16,360.20001220703125
2022-05-17,366.3599853515625
2022-05-18,357.3299865722656
2022-05-19,364.8299865722656
2022-05-20,372.2300109863281
2022-05-23,368.3299865722656
2022-05-24,362.1600036621094
2022-05-25,367.8599853515625
2022-05-26,384.9200134277344
2022-05-27,398.6099853515625
2022-05-31,391.6199951171875
2022-06-01,369.6300048828125
2022-06-02,386.3399963378906
2022-06-03,372.6300048828125
2022-06-06,372.2200012207031
2022-06-07,376.7900085449219
2022-06-08,371.9700012207031
2022-06-09,359.70001220703125
2022-06-10,345.8900146484375
2022-06-13,336.20001220703125
2022-06-14,328.989990234375
2022-06-15,333.94000244140625
2022-06-16,327.3699951171875
2022-06-17,328.04998779296875
2022-06-21,332.0299987792969
2022-06-22,333.1099853515625
2022-06-23,355.6199951171875
2022-06-24,361.4800109863281
2022-06-27,359.0299987792969
2022-06-28,349.2099914550781
2022-06-29,358.2200012207031
2022-06-30,350.7300109863281
2022-07-01,358.44000244140625
2022-07-05,366.8699951171875
2022-07-06,375.2200012207031
2022-07-07,382.5199890136719
2022-07-08,378.45001220703125
2022-07-11,369.6600036621094
2022-07-12,362.4599914550781
2022-07-13,363.3299865722656
2022-07-14,366.05999755859375
2022-07-15,370.1400146484375
2022-07-18,360.6000061035156
2022-07-19,377.1000061035156
2022-07-20,383.80999755859375
2022-07-21,398.3500061035156
2022-07-22,393.510009765625
2022-07-25,375.55999755859375
2022-07-26,377.0
2022-07-27,385.9599914550781
2022-07-28,398.55999755859375
2022-07-29,399.17999267578125
2022-08-01,398.1300048828125
2022-08-02,398.92999267578125
2022-08-03,406.8699951171875
2022-08-04,405.0199890136719
2022-08-05,407.7799987792969
2022-08-08,407.0
2022-08-09,388.6000061035156
2022-08-10,400.2900085449219
2022-08-11,396.67999267578125
2022-08-12,396.42999267578125
2022-08-15,390.8500061035156
2022-08-16,382.239990234375
2022-08-17,374.010009765625
2022-08-18,374.75
2022-08-19,373.739990234375
2022-08-22,358.3999938964844
2022-08-23,356.9100036621094
2022-08-24,360.54998779296875
2022-08-25,371.2099914550781
2022-08-26,349.8999938964844
2022-08-29,349.04998779296875
2022-08-30,348.8399963378906
2022-08-31,347.6199951171875
2022-09-01,349.92999267578125
2022-09-02,343.8299865722656
2022-09-06,341.7300109863281
2022-09-07,354.67999267578125
2022-09-08,364.95001220703125
2022-09-09,374.1300048828125
2022-09-12,376.5899963378906
2022-09-13,350.42999267578125
2022-09-14,350.4700012207031
2022-09-15,349.8399963378906
2022-09-16,342.55999755859375
2022-09-19,339.6700134277344
2022-09-20,338.0
2022-09-21,333.4800109863281
2022-09-22,326.0799865722656
