Date,VTRS
2022-02-28,11.010000228881836
2022-03-01,10.149999618530273
2022-03-02,10.479999542236328
2022-03-03,10.40999984741211
2022-03-04,10.199999809265137
2022-03-07,9.880000114440918
2022-03-08,9.949999809265137
2022-03-09,10.279999732971191
2022-03-10,10.119999885559082
2022-03-11,10.020000457763672
2022-03-14,9.8100004196167
2022-03-15,9.960000038146973
2022-03-16,10.390000343322754
2022-03-17,10.640000343322754
2022-03-18,10.65999984741211
2022-03-21,10.770000457763672
2022-03-22,10.850000381469727
2022-03-23,10.880000114440918
2022-03-24,10.949999809265137
2022-03-25,11.1899995803833
2022-03-28,10.899999618530273
2022-03-29,11.180000305175781
2022-03-30,10.989999771118164
2022-03-31,10.880000114440918
2022-04-01,10.819999694824219
2022-04-04,10.850000381469727
2022-04-05,10.670000076293945
2022-04-06,10.6899995803833
2022-04-07,10.8100004196167
2022-04-08,11.039999961853027
2022-04-11,10.699999809265137
2022-04-12,10.670000076293945
2022-04-13,10.989999771118164
2022-04-14,10.960000038146973
2022-04-18,10.710000038146973
2022-04-19,10.920000076293945
2022-04-20,10.84000015258789
2022-04-21,10.649999618530273
2022-04-22,10.279999732971191
2022-04-25,10.390000343322754
2022-04-26,10.289999961853027
2022-04-27,10.359999656677246
2022-04-28,10.489999771118164
2022-04-29,10.329999923706055
2022-05-02,10.210000038146973
2022-05-03,10.399999618530273
2022-05-04,10.520000457763672
2022-05-05,10.050000190734863
2022-05-06,9.949999809265137
2022-05-09,10.479999542236328
2022-05-10,10.460000038146973
2022-05-11,10.390000343322754
2022-05-12,10.850000381469727
2022-05-13,11.079999923706055
2022-05-16,11.140000343322754
2022-05-17,11.470000267028809
2022-05-18,11.270000457763672
2022-05-19,11.6899995803833
2022-05-20,11.800000190734863
2022-05-23,11.630000114440918
2022-05-24,11.529999732971191
2022-05-25,11.84000015258789
2022-05-26,12.010000228881836
2022-05-27,12.25
2022-05-31,12.270000457763672
2022-06-01,12.069999694824219
2022-06-02,12.109999656677246
2022-06-03,11.710000038146973
2022-06-06,11.770000457763672
2022-06-07,11.890000343322754
