Date,VRSK
2022-02-28,177.33999633789062
2022-03-01,179.36000061035156
2022-03-02,181.72999572753906
2022-03-03,182.67999267578125
2022-03-04,187.6999969482422
2022-03-07,187.5
2022-03-08,185.02999877929688
2022-03-09,187.27000427246094
2022-03-10,184.83999633789062
2022-03-11,182.0399932861328
2022-03-14,185.9499969482422
2022-03-15,190.91000366210938
2022-03-16,195.42999267578125
2022-03-17,202.41000366210938
2022-03-18,208.24000549316406
2022-03-21,210.32000732421875
2022-03-22,211.14999389648438
2022-03-23,207.64999389648438
2022-03-24,208.24000549316406
2022-03-25,208.0
2022-03-28,211.60000610351562
2022-03-29,214.8000030517578
2022-03-30,216.97000122070312
2022-03-31,214.6300048828125
2022-04-01,214.1199951171875
2022-04-04,217.00999450683594
2022-04-05,219.41000366210938
2022-04-06,220.25
2022-04-07,220.22000122070312
2022-04-08,219.52000427246094
2022-04-11,216.4499969482422
2022-04-12,214.63999938964844
2022-04-13,214.11000061035156
2022-04-14,213.3000030517578
2022-04-18,211.2100067138672
2022-04-19,215.3300018310547
2022-04-20,217.39999389648438
2022-04-21,215.4499969482422
2022-04-22,210.60000610351562
2022-04-25,213.85000610351562
2022-04-26,208.24000549316406
2022-04-27,208.4199981689453
2022-04-28,212.69000244140625
2022-04-29,204.0500030517578
2022-05-02,202.19000244140625
2022-05-03,200.1199951171875
2022-05-04,193.52999877929688
2022-05-05,187.9199981689453
2022-05-06,185.4199981689453
2022-05-09,177.97999572753906
2022-05-10,178.8699951171875
2022-05-11,174.39999389648438
2022-05-12,173.66000366210938
2022-05-13,176.2100067138672
2022-05-16,171.99000549316406
2022-05-17,174.57000732421875
2022-05-18,166.49000549316406
2022-05-19,168.22000122070312
2022-05-20,168.88999938964844
2022-05-23,170.9199981689453
2022-05-24,170.94000244140625
2022-05-25,170.72000122070312
2022-05-26,173.7100067138672
2022-05-27,178.64999389648438
2022-05-31,174.9199981689453
2022-06-01,171.22999572753906
2022-06-02,176.0
2022-06-03,173.66000366210938
2022-06-06,174.33999633789062
2022-06-07,175.4499969482422
2022-06-08,170.35000610351562
2022-06-09,166.7899932861328
2022-06-10,164.10000610351562
2022-06-13,161.6699981689453
2022-06-14,158.22999572753906
2022-06-15,160.19000244140625
2022-06-16,158.5800018310547
2022-06-17,161.82000732421875
2022-06-21,165.1300048828125
2022-06-22,166.2899932861328
2022-06-23,170.97000122070312
2022-06-24,172.99000549316406
2022-06-27,174.10000610351562
2022-06-28,168.94000244140625
2022-06-29,171.32000732421875
2022-06-30,173.08999633789062
2022-07-01,175.3000030517578
2022-07-05,175.4199981689453
2022-07-06,178.1199951171875
2022-07-07,178.02999877929688
2022-07-08,178.07000732421875
2022-07-11,177.83999633789062
2022-07-12,174.0800018310547
2022-07-13,174.7100067138672
2022-07-14,175.92999267578125
2022-07-15,178.8300018310547
2022-07-18,175.5
2022-07-19,180.0
2022-07-20,181.8699951171875
2022-07-21,184.7100067138672
2022-07-22,184.77999877929688
2022-07-25,182.77000427246094
2022-07-26,183.00999450683594
2022-07-27,184.52999877929688
2022-07-28,188.50999450683594
2022-07-29,190.25
2022-08-01,189.02000427246094
2022-08-02,188.97999572753906
2022-08-03,197.3800048828125
2022-08-04,199.27999877929688
2022-08-05,198.3800048828125
2022-08-08,199.02999877929688
2022-08-09,198.75999450683594
2022-08-10,202.14999389648438
2022-08-11,200.89999389648438
2022-08-12,202.8699951171875
2022-08-15,205.6699981689453
2022-08-16,204.49000549316406
2022-08-17,203.55999755859375
2022-08-18,203.92999267578125
2022-08-19,200.57000732421875
2022-08-22,198.22999572753906
2022-08-23,194.4600067138672
2022-08-24,194.67999267578125
2022-08-25,195.30999755859375
2022-08-26,189.88999938964844
2022-08-29,189.52999877929688
2022-08-30,187.85000610351562
2022-08-31,187.16000366210938
2022-09-01,188.89999389648438
2022-09-02,184.77000427246094
2022-09-06,186.69000244140625
2022-09-07,191.38999938964844
2022-09-08,191.10000610351562
2022-09-09,192.0399932861328
2022-09-12,192.8300018310547
2022-09-13,186.25
2022-09-14,185.91000366210938
2022-09-15,183.97999572753906
2022-09-16,184.42999267578125
2022-09-19,184.25
2022-09-20,182.3300018310547
2022-09-21,180.30999755859375
2022-09-22,175.05999755859375
2022-09-23,175.1999969482422
2022-09-26,173.4199981689453
2022-09-27,171.02999877929688
2022-09-28,173.72999572753906
2022-09-29,173.5500030517578
2022-09-30,170.52999877929688
2022-10-03,174.36000061035156
2022-10-04,179.69000244140625
2022-10-05,179.92999267578125
2022-10-06,175.69000244140625
2022-10-07,170.55999755859375
2022-10-10,169.6699981689453
2022-10-11,169.5
2022-10-12,168.10000610351562
2022-10-13,169.74000549316406
2022-10-14,166.83999633789062
2022-10-17,171.44000244140625
2022-10-18,173.86000061035156
2022-10-19,169.36000061035156
2022-10-20,165.69000244140625
2022-10-21,166.99000549316406
2022-10-24,169.4600067138672
2022-10-25,173.82000732421875
2022-10-26,173.52000427246094
2022-10-27,176.41000366210938
2022-10-28,181.1199951171875
2022-10-31,182.8300018310547
