Date,WDC
2022-02-28,50.939998626708984
2022-03-01,49.4900016784668
2022-03-02,51.84000015258789
2022-03-03,52.02000045776367
2022-03-04,50.27000045776367
2022-03-07,46.61000061035156
2022-03-08,45.77000045776367
2022-03-09,47.77000045776367
2022-03-10,46.59000015258789
2022-03-11,45.29999923706055
2022-03-14,44.470001220703125
2022-03-15,45.939998626708984
2022-03-16,48.25
2022-03-17,48.86000061035156
2022-03-18,49.29999923706055
2022-03-21,48.95000076293945
2022-03-22,49.72999954223633
2022-03-23,48.68000030517578
2022-03-24,50.5
2022-03-25,50.810001373291016
2022-03-28,50.70000076293945
2022-03-29,51.88999938964844
2022-03-30,50.619998931884766
2022-03-31,49.650001525878906
2022-04-01,48.38999938964844
2022-04-04,49.34000015258789
2022-04-05,48.119998931884766
2022-04-06,47.86000061035156
2022-04-07,47.7599983215332
2022-04-08,47.20000076293945
2022-04-11,47.02000045776367
2022-04-12,47.5
2022-04-13,47.86000061035156
2022-04-14,46.34000015258789
2022-04-18,47.279998779296875
2022-04-19,48.95000076293945
2022-04-20,49.5
2022-04-21,50.2400016784668
2022-04-22,49.459999084472656
2022-04-25,51.0099983215332
2022-04-26,49.58000183105469
2022-04-27,50.04999923706055
2022-04-28,52.61000061035156
2022-04-29,53.06999969482422
2022-05-02,53.91999816894531
2022-05-03,61.720001220703125
2022-05-04,62.86000061035156
2022-05-05,61.189998626708984
2022-05-06,59.45000076293945
2022-05-09,56.529998779296875
2022-05-10,57.36000061035156
2022-05-11,55.75
2022-05-12,55.54999923706055
2022-05-13,58.45000076293945
2022-05-16,57.88999938964844
2022-05-17,61.189998626708984
2022-05-18,59.099998474121094
2022-05-19,58.0099983215332
2022-05-20,56.810001373291016
2022-05-23,57.34000015258789
2022-05-24,56.599998474121094
2022-05-25,59.099998474121094
2022-05-26,60.68000030517578
2022-05-27,62.25
2022-05-31,60.689998626708984
2022-06-01,60.279998779296875
2022-06-02,61.93000030517578
2022-06-03,60.08000183105469
2022-06-06,59.720001220703125
2022-06-07,60.31999969482422
2022-06-08,57.81999969482422
2022-06-09,56.58000183105469
2022-06-10,54.029998779296875
2022-06-13,50.36000061035156
