Date,UMBF
2022-02-28,101.86000061035156
2022-03-01,96.44000244140625
2022-03-02,101.45999908447266
2022-03-03,100.58000183105469
2022-03-04,98.2699966430664
2022-03-07,95.23999786376953
2022-03-08,96.94999694824219
2022-03-09,97.37999725341797
2022-03-10,97.94999694824219
2022-03-11,99.23999786376953
2022-03-14,100.36000061035156
2022-03-15,100.41999816894531
2022-03-16,102.08999633789062
2022-03-17,101.0
2022-03-18,100.0
2022-03-21,100.52999877929688
2022-03-22,101.76000213623047
2022-03-23,98.0199966430664
2022-03-24,99.33999633789062
2022-03-25,101.47000122070312
2022-03-28,99.80000305175781
2022-03-29,101.54000091552734
2022-03-30,98.37999725341797
2022-03-31,97.16000366210938
2022-04-01,97.61000061035156
2022-04-04,96.66999816894531
2022-04-05,96.16999816894531
2022-04-06,94.91999816894531
2022-04-07,94.12999725341797
2022-04-08,93.1500015258789
2022-04-11,94.01000213623047
2022-04-12,93.0
2022-04-13,94.58999633789062
2022-04-14,93.18000030517578
2022-04-18,93.31999969482422
2022-04-19,96.4000015258789
2022-04-20,97.29000091552734
2022-04-21,96.30999755859375
2022-04-22,93.62000274658203
2022-04-25,93.77999877929688
2022-04-26,91.3499984741211
2022-04-27,94.0199966430664
2022-04-28,93.55999755859375
2022-04-29,90.18000030517578
2022-05-02,90.83999633789062
2022-05-03,91.66999816894531
2022-05-04,93.37999725341797
2022-05-05,90.54000091552734
2022-05-06,90.2300033569336
2022-05-09,91.0199966430664
2022-05-10,90.33000183105469
2022-05-11,89.19999694824219
2022-05-12,89.94999694824219
2022-05-13,89.58999633789062
2022-05-16,88.94000244140625
2022-05-17,90.80999755859375
2022-05-18,88.5199966430664
2022-05-19,87.44999694824219
2022-05-20,87.5199966430664
2022-05-23,88.95999908447266
2022-05-24,88.54000091552734
2022-05-25,89.19000244140625
2022-05-26,91.37000274658203
2022-05-27,92.41000366210938
2022-05-31,92.3499984741211
2022-06-01,91.45999908447266
2022-06-02,93.27999877929688
2022-06-03,92.20999908447266
2022-06-06,92.0999984741211
2022-06-07,92.62999725341797
2022-06-08,91.4000015258789
2022-06-09,88.38999938964844
2022-06-10,84.95999908447266
2022-06-13,84.2300033569336
2022-06-14,84.44999694824219
2022-06-15,85.19000244140625
2022-06-16,82.0999984741211
2022-06-17,84.83000183105469
2022-06-21,85.52999877929688
2022-06-22,85.98999786376953
2022-06-23,85.30000305175781
2022-06-24,88.02999877929688
2022-06-27,88.0
2022-06-28,87.48999786376953
2022-06-29,86.55999755859375
2022-06-30,86.0999984741211
2022-07-01,87.12999725341797
2022-07-05,87.81999969482422
2022-07-06,88.16999816894531
2022-07-07,89.05000305175781
2022-07-08,88.98999786376953
2022-07-11,88.20999908447266
2022-07-12,87.48999786376953
2022-07-13,85.95999908447266
2022-07-14,84.68000030517578
