Date,BOKF
2022-02-28,102.69999694824219
2022-03-01,97.31999969482422
2022-03-02,102.06999969482422
2022-03-03,102.38999938964844
2022-03-04,100.08000183105469
2022-03-07,99.4000015258789
2022-03-08,99.23999786376953
2022-03-09,101.27999877929688
2022-03-10,99.47000122070312
2022-03-11,101.05000305175781
2022-03-14,102.0199966430664
2022-03-15,100.94000244140625
2022-03-16,103.36000061035156
2022-03-17,102.0
2022-03-18,100.80999755859375
2022-03-21,100.44000244140625
2022-03-22,100.55000305175781
2022-03-23,95.86000061035156
2022-03-24,97.12999725341797
2022-03-25,99.16999816894531
2022-03-28,97.16000366210938
2022-03-29,99.08999633789062
2022-03-30,96.29000091552734
2022-03-31,93.94999694824219
2022-04-01,93.25
2022-04-04,92.77999877929688
2022-04-05,92.13999938964844
2022-04-06,91.2300033569336
2022-04-07,89.69000244140625
2022-04-08,89.5199966430664
2022-04-11,89.70999908447266
2022-04-12,88.30999755859375
2022-04-13,89.75
2022-04-14,88.5999984741211
2022-04-18,89.12999725341797
2022-04-19,92.3499984741211
2022-04-20,92.37000274658203
2022-04-21,90.69000244140625
2022-04-22,88.31999969482422
2022-04-25,88.19999694824219
2022-04-26,85.56999969482422
2022-04-27,85.38999938964844
2022-04-28,85.18000030517578
2022-04-29,82.93000030517578
2022-05-02,84.73999786376953
2022-05-03,85.7300033569336
2022-05-04,87.66999816894531
2022-05-05,86.05000305175781
2022-05-06,86.98999786376953
2022-05-09,85.55000305175781
2022-05-10,85.12000274658203
2022-05-11,83.72000122070312
2022-05-12,83.98999786376953
2022-05-13,83.7300033569336
2022-05-16,82.88999938964844
2022-05-17,84.70999908447266
2022-05-18,82.33999633789062
2022-05-19,81.47000122070312
2022-05-20,81.6500015258789
2022-05-23,83.27999877929688
2022-05-24,83.0
2022-05-25,84.04000091552734
2022-05-26,85.5199966430664
2022-05-27,85.62000274658203
2022-05-31,86.16999816894531
2022-06-01,84.58000183105469
2022-06-02,85.83000183105469
2022-06-03,85.43000030517578
2022-06-06,85.72000122070312
2022-06-07,86.33999633789062
2022-06-08,85.0999984741211
2022-06-09,81.81999969482422
2022-06-10,78.5999984741211
2022-06-13,77.6500015258789
2022-06-14,77.41999816894531
2022-06-15,77.7699966430664
2022-06-16,74.51000213623047
2022-06-17,75.94999694824219
2022-06-21,76.63999938964844
2022-06-22,76.27999877929688
2022-06-23,75.62000274658203
2022-06-24,77.37000274658203
2022-06-27,77.62999725341797
2022-06-28,77.52999877929688
2022-06-29,76.0
2022-06-30,75.58000183105469
2022-07-01,76.7699966430664
2022-07-05,77.0
2022-07-06,76.55000305175781
2022-07-07,76.62999725341797
2022-07-08,76.19999694824219
2022-07-11,75.23999786376953
2022-07-12,74.31999969482422
2022-07-13,72.8499984741211
2022-07-14,71.55000305175781
2022-07-15,73.5999984741211
2022-07-18,75.0
2022-07-19,77.0999984741211
2022-07-20,78.05000305175781
2022-07-21,78.26000213623047
2022-07-22,78.16999816894531
2022-07-25,79.80999755859375
2022-07-26,80.69999694824219
2022-07-27,84.30999755859375
2022-07-28,85.30999755859375
2022-07-29,88.02999877929688
2022-08-01,88.16999816894531
2022-08-02,86.69000244140625
2022-08-03,87.87000274658203
2022-08-04,87.44000244140625
2022-08-05,88.86000061035156
2022-08-08,88.4800033569336
2022-08-09,89.33999633789062
2022-08-10,91.5999984741211
2022-08-11,93.5199966430664
2022-08-12,94.5199966430664
2022-08-15,94.79000091552734
2022-08-16,94.94999694824219
2022-08-17,94.58000183105469
2022-08-18,94.98999786376953
2022-08-19,94.56999969482422
2022-08-22,91.41999816894531
2022-08-23,91.87000274658203
2022-08-24,90.7699966430664
2022-08-25,92.25
2022-08-26,91.02999877929688
2022-08-29,88.87999725341797
2022-08-30,89.5999984741211
2022-08-31,88.87000274658203
2022-09-01,88.7699966430664
2022-09-02,88.05000305175781
2022-09-06,86.27999877929688
2022-09-07,87.91000366210938
2022-09-08,90.27999877929688
2022-09-09,91.27999877929688
2022-09-12,92.4800033569336
2022-09-13,90.77999877929688
2022-09-14,91.69000244140625
2022-09-15,92.08999633789062
2022-09-16,91.63999938964844
2022-09-19,93.44999694824219
2022-09-20,93.37999725341797
2022-09-21,92.4000015258789
2022-09-22,89.95999908447266
2022-09-23,87.83000183105469
2022-09-26,88.0199966430664
2022-09-27,86.33000183105469
2022-09-28,88.16000366210938
2022-09-29,88.23999786376953
2022-09-30,88.86000061035156
2022-10-03,90.94999694824219
2022-10-04,94.58999633789062
2022-10-05,94.3499984741211
2022-10-06,93.69000244140625
2022-10-07,91.83000183105469
2022-10-10,92.27999877929688
2022-10-11,91.94999694824219
2022-10-12,92.73999786376953
2022-10-13,95.56999969482422
2022-10-14,96.66000366210938
2022-10-17,96.9000015258789
2022-10-18,97.6500015258789
2022-10-19,96.88999938964844
2022-10-20,94.8499984741211
2022-10-21,95.44999694824219
2022-10-24,98.25
2022-10-25,100.95999908447266
2022-10-26,102.06999969482422
2022-10-27,104.70999908447266
2022-10-28,108.87000274658203
2022-10-31,110.19000244140625
2022-11-01,107.86000061035156
2022-11-02,105.61000061035156
2022-11-03,105.43000030517578
2022-11-04,106.01000213623047
2022-11-07,106.30999755859375
2022-11-08,105.48999786376953
2022-11-09,104.58999633789062
2022-11-10,106.25
2022-11-11,104.44000244140625
2022-11-14,103.66999816894531
2022-11-15,104.7699966430664
2022-11-16,103.23999786376953
2022-11-17,102.20999908447266
2022-11-18,104.37999725341797
2022-11-21,104.01000213623047
2022-11-22,104.55999755859375
2022-11-23,103.06999969482422
