Date,PANW
2022-02-28,198.0833282470703
2022-03-01,192.25
2022-03-02,194.02000427246094
2022-03-03,191.1366729736328
2022-03-04,185.836669921875
2022-03-07,177.836669921875
2022-03-08,175.0500030517578
2022-03-09,184.97000122070312
2022-03-10,183.9499969482422
2022-03-11,182.00999450683594
2022-03-14,175.10333251953125
2022-03-15,180.02000427246094
2022-03-16,184.63999938964844
2022-03-17,188.05332946777344
2022-03-18,192.33999633789062
2022-03-21,192.39999389648438
2022-03-22,199.13999938964844
2022-03-23,201.34666442871094
2022-03-24,207.3866729736328
2022-03-25,207.46665954589844
2022-03-28,208.4166717529297
2022-03-29,205.50332641601562
2022-03-30,205.25
2022-03-31,207.50332641601562
2022-04-01,203.70333862304688
2022-04-04,209.36666870117188
2022-04-05,207.04666137695312
2022-04-06,202.26666259765625
2022-04-07,205.49000549316406
2022-04-08,202.7433319091797
2022-04-11,203.63333129882812
2022-04-12,203.9633331298828
2022-04-13,209.6699981689453
2022-04-14,208.92666625976562
2022-04-18,205.92999267578125
2022-04-19,209.52000427246094
2022-04-20,208.72332763671875
2022-04-21,197.3333282470703
2022-04-22,190.52667236328125
2022-04-25,199.91000366210938
2022-04-26,193.59666442871094
2022-04-27,192.94000244140625
2022-04-28,196.24667358398438
2022-04-29,187.0933380126953
2022-05-02,190.64999389648438
2022-05-03,185.97999572753906
2022-05-04,184.42333984375
2022-05-05,176.54666137695312
2022-05-06,168.2899932861328
2022-05-09,153.1699981689453
2022-05-10,161.34666442871094
2022-05-11,155.55667114257812
2022-05-12,159.50332641601562
2022-05-13,163.6699981689453
2022-05-16,156.05999755859375
2022-05-17,157.7566680908203
2022-05-18,146.1999969482422
2022-05-19,145.4566650390625
2022-05-20,159.55999755859375
2022-05-23,166.7566680908203
2022-05-24,159.04666137695312
2022-05-25,168.50332641601562
2022-05-26,167.3633270263672
2022-05-27,168.93333435058594
2022-05-31,167.5933380126953
2022-06-01,167.2433319091797
2022-06-02,172.44667053222656
2022-06-03,170.86000061035156
2022-06-06,171.33999633789062
2022-06-07,175.6666717529297
2022-06-08,174.9600067138672
2022-06-09,172.0500030517578
2022-06-10,165.07333374023438
2022-06-13,159.2433319091797
2022-06-14,160.5433349609375
2022-06-15,162.33999633789062
2022-06-16,155.43666076660156
2022-06-17,158.45333862304688
2022-06-21,166.45333862304688
2022-06-22,164.77333068847656
2022-06-23,167.69000244140625
2022-06-24,170.23666381835938
2022-06-27,167.2933349609375
2022-06-28,163.97000122070312
2022-06-29,163.93333435058594
2022-06-30,164.64666748046875
2022-07-01,169.4166717529297
2022-07-05,173.7133331298828
2022-07-06,171.65333557128906
2022-07-07,172.4166717529297
2022-07-08,174.74000549316406
2022-07-11,171.97000122070312
2022-07-12,164.19332885742188
2022-07-13,164.47000122070312
2022-07-14,163.3333282470703
2022-07-15,169.65333557128906
2022-07-18,168.6133270263672
2022-07-19,171.1999969482422
2022-07-20,168.06666564941406
2022-07-21,171.44667053222656
2022-07-22,170.38999938964844
2022-07-25,168.42333984375
2022-07-26,155.07333374023438
2022-07-27,159.36000061035156
2022-07-28,164.07000732421875
2022-07-29,166.36666870117188
2022-08-01,169.22000122070312
2022-08-02,170.22999572753906
2022-08-03,176.35667419433594
2022-08-04,167.23333740234375
2022-08-05,167.1233367919922
2022-08-08,167.02333068847656
2022-08-09,166.7899932861328
2022-08-10,173.94667053222656
2022-08-11,172.1699981689453
2022-08-12,175.6266632080078
2022-08-15,175.92333984375
2022-08-16,174.85000610351562
2022-08-17,171.50332641601562
2022-08-18,172.61666870117188
2022-08-19,171.1699981689453
2022-08-22,169.35000610351562
2022-08-23,189.836669921875
2022-08-24,188.27000427246094
2022-08-25,191.86000061035156
2022-08-26,186.89666748046875
2022-08-29,186.3300018310547
2022-08-30,186.55999755859375
2022-08-31,185.60333251953125
2022-09-01,181.71665954589844
2022-09-02,179.73333740234375
2022-09-06,176.84666442871094
2022-09-07,180.0
2022-09-08,182.4166717529297
2022-09-09,188.2566680908203
2022-09-12,189.36000061035156
2022-09-13,182.9600067138672
2022-09-14,182.05999755859375
2022-09-15,179.6199951171875
2022-09-16,174.08999633789062
2022-09-19,175.35000610351562
2022-09-20,175.02000427246094
2022-09-21,171.1199951171875
2022-09-22,166.17999267578125
2022-09-23,161.57000732421875
2022-09-26,163.1699981689453
