Date,FWONK
2022-02-28,59.714847564697266
2022-03-01,58.023597717285156
2022-03-02,59.65584945678711
2022-03-03,58.68239974975586
2022-03-04,57.679447174072266
2022-03-07,55.821041107177734
2022-03-08,55.299903869628906
2022-03-09,56.705997467041016
2022-03-10,56.51917266845703
2022-03-11,56.75516128540039
2022-03-14,56.34218215942383
2022-03-15,56.81415939331055
2022-03-16,58.161258697509766
2022-03-17,58.21042251586914
2022-03-18,58.928218841552734
2022-03-21,60.09832763671875
2022-03-22,63.392330169677734
2022-03-23,64.40511322021484
2022-03-24,64.86725616455078
2022-03-25,65.43756103515625
2022-03-28,65.2999038696289
2022-03-29,66.2536849975586
2022-03-30,68.58406829833984
2022-03-31,68.67256927490234
2022-04-01,68.90855407714844
2022-04-04,68.6037368774414
2022-04-05,68.38741302490234
2022-04-06,67.85643768310547
2022-04-07,67.63028717041016
2022-04-08,68.15142822265625
2022-04-11,67.73844909667969
2022-04-12,66.40117645263672
2022-04-13,67.73844909667969
2022-04-14,67.51229095458984
2022-04-18,67.01081848144531
2022-04-19,67.27630615234375
2022-04-20,67.48279571533203
2022-04-21,68.19075775146484
2022-04-22,65.47689056396484
2022-04-25,65.51622772216797
2022-04-26,63.51032257080078
2022-04-27,63.42182922363281
2022-04-28,63.51032257080078
2022-04-29,61.28810119628906
2022-05-02,61.14060974121094
2022-05-03,61.62241744995117
2022-05-04,61.98623275756836
2022-05-05,59.8033447265625
2022-05-06,60.37364959716797
2022-05-09,54.6607666015625
2022-05-10,55.585052490234375
2022-05-11,57.49262619018555
2022-05-12,57.83677673339844
2022-05-13,59.9803352355957
2022-05-16,59.21337127685547
2022-05-17,60.393314361572266
2022-05-18,58.77089309692383
2022-05-19,60.24582290649414
2022-05-20,61.34709930419922
2022-05-23,60.1769905090332
2022-05-24,59.813175201416016
2022-05-25,61.01278305053711
2022-05-26,61.160274505615234
2022-05-27,62.35988235473633
2022-05-31,61.24877166748047
2022-06-01,61.27827072143555
2022-06-02,62.15339279174805
2022-06-03,61.12094497680664
