Date,FSV
2022-02-28,142.27000427246094
2022-03-01,142.11000061035156
2022-03-02,143.47000122070312
2022-03-03,141.64999389648438
2022-03-04,141.1300048828125
2022-03-07,133.8000030517578
2022-03-08,133.83999633789062
2022-03-09,135.4199981689453
2022-03-10,133.3300018310547
2022-03-11,134.0500030517578
2022-03-14,134.19000244140625
2022-03-15,131.91000366210938
2022-03-16,140.7899932861328
2022-03-17,141.4499969482422
2022-03-18,142.72000122070312
2022-03-21,142.11000061035156
2022-03-22,143.74000549316406
2022-03-23,144.49000549316406
2022-03-24,142.10000610351562
2022-03-25,142.11000061035156
2022-03-28,142.57000732421875
2022-03-29,147.88999938964844
2022-03-30,145.27999877929688
2022-03-31,144.8800048828125
2022-04-01,144.1199951171875
2022-04-04,145.32000732421875
2022-04-05,143.6300048828125
2022-04-06,142.13999938964844
2022-04-07,143.86000061035156
2022-04-08,139.77999877929688
2022-04-11,139.08999633789062
2022-04-12,135.88999938964844
2022-04-13,137.83999633789062
2022-04-14,135.94000244140625
2022-04-18,133.02999877929688
2022-04-19,136.7899932861328
2022-04-20,137.4199981689453
2022-04-21,134.9499969482422
2022-04-22,131.30999755859375
2022-04-25,130.9499969482422
2022-04-26,124.4000015258789
2022-04-27,124.12999725341797
2022-04-28,128.6199951171875
2022-04-29,124.88999938964844
2022-05-02,123.37999725341797
2022-05-03,121.95999908447266
2022-05-04,124.41999816894531
2022-05-05,120.58000183105469
2022-05-06,121.9000015258789
2022-05-09,119.63999938964844
2022-05-10,118.33000183105469
2022-05-11,116.80000305175781
2022-05-12,116.75
2022-05-13,123.66999816894531
2022-05-16,124.55999755859375
2022-05-17,125.73999786376953
2022-05-18,119.68000030517578
2022-05-19,120.16999816894531
2022-05-20,120.66999816894531
2022-05-23,121.76000213623047
2022-05-24,117.7300033569336
2022-05-25,117.58999633789062
2022-05-26,120.44999694824219
2022-05-27,125.94999694824219
2022-05-31,128.1300048828125
2022-06-01,124.33000183105469
2022-06-02,127.44999694824219
2022-06-03,124.66000366210938
2022-06-06,125.6500015258789
2022-06-07,126.81999969482422
2022-06-08,128.3800048828125
2022-06-09,126.19999694824219
2022-06-10,120.9000015258789
2022-06-13,118.54000091552734
2022-06-14,118.08999633789062
2022-06-15,120.0999984741211
2022-06-16,112.76000213623047
2022-06-17,115.0999984741211
2022-06-21,116.54000091552734
2022-06-22,117.0999984741211
2022-06-23,119.69000244140625
2022-06-24,123.58000183105469
2022-06-27,120.18000030517578
2022-06-28,119.54000091552734
2022-06-29,120.12999725341797
2022-06-30,121.19999694824219
2022-07-01,122.91000366210938
2022-07-05,125.0199966430664
2022-07-06,124.12000274658203
2022-07-07,127.18000030517578
2022-07-08,128.57000732421875
2022-07-11,126.79000091552734
2022-07-12,129.47999572753906
2022-07-13,128.57000732421875
2022-07-14,125.11000061035156
2022-07-15,125.08000183105469
2022-07-18,126.87999725341797
2022-07-19,129.9199981689453
2022-07-20,132.82000732421875
2022-07-21,134.22999572753906
2022-07-22,131.89999389648438
2022-07-25,132.4199981689453
2022-07-26,129.66000366210938
2022-07-27,131.61000061035156
2022-07-28,131.85000610351562
2022-07-29,133.83999633789062
2022-08-01,134.00999450683594
2022-08-02,133.8800048828125
2022-08-03,132.07000732421875
2022-08-04,132.16000366210938
2022-08-05,131.57000732421875
2022-08-08,132.47999572753906
2022-08-09,128.7100067138672
2022-08-10,134.5800018310547
2022-08-11,134.80999755859375
2022-08-12,139.3300018310547
2022-08-15,138.24000549316406
2022-08-16,138.64999389648438
2022-08-17,136.0
2022-08-18,136.4199981689453
2022-08-19,134.1300048828125
2022-08-22,131.72999572753906
2022-08-23,132.00999450683594
2022-08-24,132.60000610351562
2022-08-25,133.0
2022-08-26,128.2100067138672
2022-08-29,125.93000030517578
2022-08-30,124.08999633789062
2022-08-31,125.06999969482422
2022-09-01,121.80999755859375
2022-09-02,120.61000061035156
2022-09-06,120.30000305175781
2022-09-07,123.16000366210938
2022-09-08,126.30000305175781
2022-09-09,129.7100067138672
