Date,FELE
2022-02-28,84.55999755859375
2022-03-01,81.91999816894531
2022-03-02,84.25
2022-03-03,84.11000061035156
2022-03-04,83.0
2022-03-07,81.1500015258789
2022-03-08,80.02999877929688
2022-03-09,82.77999877929688
2022-03-10,82.6500015258789
2022-03-11,81.83000183105469
2022-03-14,81.75
2022-03-15,82.55999755859375
2022-03-16,83.58000183105469
2022-03-17,84.27999877929688
2022-03-18,85.37999725341797
2022-03-21,85.43000030517578
2022-03-22,84.88999938964844
2022-03-23,83.31999969482422
2022-03-24,83.48999786376953
2022-03-25,83.68000030517578
2022-03-28,83.87999725341797
2022-03-29,85.5199966430664
2022-03-30,85.41000366210938
2022-03-31,83.04000091552734
2022-04-01,83.55999755859375
2022-04-04,83.23999786376953
2022-04-05,82.06999969482422
2022-04-06,81.25
2022-04-07,80.68000030517578
2022-04-08,78.87000274658203
2022-04-11,78.4000015258789
2022-04-12,79.16000366210938
2022-04-13,80.05999755859375
2022-04-14,78.61000061035156
2022-04-18,79.19999694824219
2022-04-19,81.11000061035156
2022-04-20,81.9800033569336
2022-04-21,81.51000213623047
2022-04-22,79.69999694824219
2022-04-25,80.02999877929688
2022-04-26,68.27999877929688
2022-04-27,71.98999786376953
2022-04-28,71.91000366210938
2022-04-29,69.94000244140625
2022-05-02,71.02999877929688
2022-05-03,71.66999816894531
2022-05-04,74.19999694824219
2022-05-05,72.08000183105469
2022-05-06,70.70999908447266
2022-05-09,71.0199966430664
2022-05-10,70.05000305175781
2022-05-11,69.61000061035156
2022-05-12,70.33999633789062
2022-05-13,71.36000061035156
2022-05-16,70.18000030517578
2022-05-17,71.68000030517578
2022-05-18,70.66999816894531
2022-05-19,70.75
2022-05-20,70.44999694824219
2022-05-23,70.68000030517578
2022-05-24,70.5999984741211
2022-05-25,71.80000305175781
2022-05-26,72.66000366210938
2022-05-27,74.02999877929688
2022-05-31,73.72000122070312
2022-06-01,74.37999725341797
2022-06-02,76.55000305175781
2022-06-03,76.11000061035156
2022-06-06,76.63999938964844
2022-06-07,76.6500015258789
2022-06-08,75.27999877929688
2022-06-09,74.83999633789062
2022-06-10,72.77999877929688
2022-06-13,71.0
2022-06-14,71.05000305175781
2022-06-15,71.4800033569336
2022-06-16,68.91000366210938
2022-06-17,68.58999633789062
2022-06-21,70.33999633789062
2022-06-22,70.08999633789062
2022-06-23,69.93000030517578
2022-06-24,72.5
2022-06-27,72.95999908447266
2022-06-28,72.75
2022-06-29,72.63999938964844
2022-06-30,73.26000213623047
2022-07-01,73.70999908447266
2022-07-05,74.0999984741211
2022-07-06,74.29000091552734
2022-07-07,75.61000061035156
2022-07-08,74.86000061035156
2022-07-11,74.58999633789062
2022-07-12,73.73999786376953
2022-07-13,73.4800033569336
2022-07-14,71.43000030517578
2022-07-15,73.70999908447266
2022-07-18,72.81999969482422
2022-07-19,76.37999725341797
2022-07-20,77.51000213623047
2022-07-21,79.37999725341797
2022-07-22,79.52999877929688
2022-07-25,79.27999877929688
2022-07-26,83.58000183105469
2022-07-27,86.4000015258789
2022-07-28,88.48999786376953
2022-07-29,90.81999969482422
2022-08-01,91.5
2022-08-02,89.69000244140625
2022-08-03,90.91000366210938
2022-08-04,91.36000061035156
2022-08-05,91.6500015258789
2022-08-08,92.29000091552734
2022-08-09,92.12000274658203
2022-08-10,93.94000244140625
2022-08-11,94.2300033569336
2022-08-12,96.12000274658203
2022-08-15,95.54000091552734
2022-08-16,95.62000274658203
2022-08-17,94.51000213623047
2022-08-18,94.80000305175781
2022-08-19,93.8499984741211
2022-08-22,92.01000213623047
2022-08-23,91.58999633789062
2022-08-24,91.7699966430664
2022-08-25,92.94000244140625
2022-08-26,89.77999877929688
2022-08-29,89.62000274658203
2022-08-30,87.79000091552734
2022-08-31,86.8499984741211
2022-09-01,86.76000213623047
2022-09-02,85.79000091552734
2022-09-06,85.62999725341797
2022-09-07,87.62000274658203
2022-09-08,87.70999908447266
2022-09-09,88.62999725341797
2022-09-12,89.04000091552734
2022-09-13,85.69000244140625
2022-09-14,84.87999725341797
2022-09-15,84.43000030517578
2022-09-16,83.54000091552734
2022-09-19,85.70999908447266
2022-09-20,85.3499984741211
2022-09-21,84.41000366210938
2022-09-22,82.87000274658203
2022-09-23,81.77999877929688
2022-09-26,81.44999694824219
2022-09-27,80.68000030517578
2022-09-28,83.22000122070312
2022-09-29,82.31999969482422
2022-09-30,81.70999908447266
2022-10-03,84.08999633789062
2022-10-04,86.27999877929688
2022-10-05,85.5
2022-10-06,85.7300033569336
2022-10-07,83.83000183105469
2022-10-10,84.8499984741211
2022-10-11,85.54000091552734
2022-10-12,83.95999908447266
2022-10-13,85.61000061035156
2022-10-14,83.52999877929688
2022-10-17,87.04000091552734
2022-10-18,88.54000091552734
2022-10-19,87.5
2022-10-20,82.5
2022-10-21,85.27999877929688
2022-10-24,86.94000244140625
2022-10-25,80.9000015258789
2022-10-26,82.12999725341797
2022-10-27,80.91999816894531
2022-10-28,81.1500015258789
2022-10-31,81.94000244140625
2022-11-01,81.51000213623047
2022-11-02,78.95999908447266
2022-11-03,79.91999816894531
2022-11-04,81.16999816894531
2022-11-07,81.68000030517578
2022-11-08,82.12999725341797
2022-11-09,81.12999725341797
2022-11-10,85.37999725341797
2022-11-11,83.41999816894531
2022-11-14,83.06999969482422
2022-11-15,83.9000015258789
2022-11-16,83.3499984741211
2022-11-17,82.83999633789062
2022-11-18,84.62000274658203
2022-11-21,85.05000305175781
2022-11-22,84.66000366210938
2022-11-23,84.16000366210938
2022-11-25,84.26000213623047
