Row,sp500,nasdaq,nyse,penny,mutual fund,large cap stocks,mid cap stocks,small cap stocks,micro cap stocks,australian ase
287,BRO,MKTX,VICI,ORGN,JLGZX,CTSH,UMBF,MYGN,MYGN,IDX
288,HPE,ALTR,ROK,ANGI,OLGCX,A,BPMC,DEA,DEA,MIR
289,TPL,DBX,RJF,BTCS,JLGMX,XEL,MMSI,ASAI,ASAI,BLX
290,WEC,ROIV,EFX,ENTO,JLGRX,VALE,BZ,NX,NX,SGLLV
291,XYL,ITCI,ED,BLRX,JLGPX,IT,RDNT,BLND,BLND,TEA
292,EBAY,BRKR,EIX,CNSL,SEEGX,OTIS,CRVL,BFS,BFS,AD8
293,DXCM,VERX,ETR,PWM,OLGAX,HMC,FSK,ATEC,ATEC,FCL
294,DECK,HQY,AVB,PYXS,TTTXX,SYY,KRG,SPRY,SPRY,BOT
295,ANSS,ZION,HEI.A,BRY,GOFXX,STLA,IONS,NVEE,NVEE,SXG
296,TSCO,FSV,LYV,ALXO,VTABX,LVS,CYTK,IMAX,IMAX,CUV
297,GPN,FYBR,BRO,BW,VTIBX,RBLX,STRL,DESP,DESP,PNR
298,CAH,LNW,QSR,MCRB,VTIFX,NET,SIGI,TASK,TASK,AEF
299,KEYS,AGNC,HPE,EB,VTHRX,YUM,IBP,TBLA,TBLA,GWA
300,DOW,MARA,TPL,KIRK,SNAXX,HUBS,SKY,ARDX,ARDX,PPM
301,PPG,RGEN,WEC,CLDI,VITAX,EXC,PVH,GEL,GEL,UNI
302,GDDY,PEGA,XYL,QD,CJTXX,VMC,OBDC,WLFC,WLFC,CYL
303,STT,MTCH,DECK,PHUN,TSTXX,ARGX,FSS,SBH,SBH,DVP
304,EQR,ENSG,FMX,RVNC,VFORX,KHC,KNF,LILAK,LILAK,QOR
305,MPWR,RVMD,GPN,GTN,VTIVX,GEHC,ESNT,AMWD,AMWD,SHV
306,CNC,UFPI,CHT,HYLN,RBFAX,IMO,NOVT,OCSL,OCSL,PDI
307,EL,OTEX,CAH,ATCH,FFBOX,ABEV,UGI,CET,CET,HCW
308,ON,CZR,KEYS,CRBU,BFACX,HOOD,FNB,CDNA,CDNA,WBT
309,SW,LSCC,DOW,ATAI,BFAFX,IQV,CIG.C,ATEN,ATEN,PTM
310,K,ASND,GOLD,VINC,CFAFX,WIT,CIG,GABC,GABC,DRO
311,DOV,TEM,WDS,CERS,RBFBX,ACGL,GXO,TNK,TNK,BRE
312,BR,BILI,PPG,LTRY,ABNDX,HEI,TRNO,MFIC,MFIC,FFM
313,TROW,CCCS,IOT,RERE,RBEBX,GIS,SLGN,HSAI,HSAI,STX
314,NVR,APA,GDDY,TFFP,ABNFX,EXR,TKC,AIV,AIV,PAC
315,FTV,PARAA,STT,LCTX,BFFAX,WAB,SHAK,CTOS,CTOS,KGN
316,TYL,ONB,EQR,CURV,FBOFX,CCEP,FG,EVEX,EVEX,APX
317,NTAP,MKSI,CNC,MAPS,RBFHX,SLF,VLY,SGML,SGML,SGR
318,MTD,CVLT,RDDT,VVPR,CFAAX,IDXX,ACIW,IMKTA,IMKTA,C79
319,SYF,FRHC,EL,TPIC,RBFFX,MLM,CACC,EIG,EIG,IFM
320,VLTO,CIGI,SW,NMHI,RBFGX,RMD,CLF,UUUU,UUUU,CHN
321,CHD,MIDD,CQP,MTC,CFAEX,HSY,LNC,IDT,IDT,CTT
322,WBD,LEGN,WPM,VNET,RBFCX,IRM,RITM,ENFN,ENFN,LOT
323,VTR,BOKF,K,IFRX,RBFEX,OWL,NOV,ULCC,ULCC,AEL
324,PHM,DJT,DOV,GOVX,CFACX,MTB,FFIN,COUR,COUR,BMN
325,EQT,OLED,BR,VERU,RAFCX,HPQ,MC,CNNE,CNNE,SRV
326,AWK,EXLS,CVE,CYCN,RAFGX,HIG,VNT,PRAX,PRAX,KSC
327,SMCI,FRPT,NVR,SLI,CAFEX,DB,BMA,THRM,THRM,MVF
328,HBAN,JAZZ,FTV,GETY,RAFAX,DD,THG,BLX,BLX,IMM
329,CPAY,OS,RKT,KOPN,RAEBX,CCL,INSP,BHLB,BHLB,EHL
330,HAL,WBA,TYL,CHRO,AMPCX,HUM,BCPC,BLBD,BLBD,ADH
331,DTE,ASTS,CCJ,CNDT,FMACX,NUE,SAIC,INOD,INOD,TYR
332,LYB,PARA,MTD,TVGN,RAEFX,VICI,EAT,SSRM,SSRM,MYS
333,PPL,SPSC,SYF,OTLK,RAFBX,ROK,GTES,IRS,IRS,CWP
334,HUBB,WSC,VLTO,SLQT,RAFEX,RJF,REYN,NTST,NTST,AQZ
335,ADM,XP,CHD,CRNT,CAFFX,TTWO,KBH,LEU,LEU,SVM
336,WDC,CHRD,VTR,LPSN,CAFCX,EFX,EPRT,KALU,KALU,BRN
337,AEE,QXO,PHM,LGHL,CAFAX,ALNY,QFIN,EVH,EVH,GNP
338,EXPE,BPOP,EQT,GOSS,AMCFX,UAL,DAR,AHCO,AHCO,LRS
339,CINF,STEP,TEF,SB,AMCPX,ED,GATX,SAFT,SAFT,KPG
340,PTC,CWST,AWK,STI,FMMMX,ZS,CBT,DSP,DSP,SST
341,CDW,UPST,IX,OMEX,FMCMX,EIX,WK,AUPH,AUPH,AFG
342,WRB,MDGL,CPAY,GALT,RAFFX,ETR,GRFS,FOXF,FOXF,IPG
343,ROL,CSWI,GIB,PW,AMPFX,WTW,ROAD,UPB,UPB,MYX
344,RF,LCID,HAL,WBUY,VMRXX,AVB,QLYS,ARLO,ARLO,BFG
345,SBAC,HCP,DTE,SEAT,DOXIX,MCHP,NVMI,KRUS,KRUS,INR
346,FE,BECN,LYB,DDL,DODIX,CSGP,THO,MRVI,MRVI,LYL
347,WST,SATS,PPL,RXT,DGCXX,FITB,VKTX,BMBL,BMBL,BC8
348,BIIB,GNTX,HUBB,BFRG,WFFXX,HEI.A,SLG,NMFC,NMFC,CAJ
349,DVN,NUVL,ADM,ZNTL,FCFMX,LYV,ALTM,RCKT,RCKT,MGX
350,WAT,LLYVK,TKO,GDRX,VFIFX,FER,SLM,ULH,ULH,PLL
351,IFF,LLYVA,AEE,SSL,RSLEX,BRO,AMTM,MSC,MSC,GNG
352,WY,CELH,PHG,CTMX,SFCWX,QSR,WFRD,PGNY,PGNY,SXE
353,TSN,LYFT,BCE,GAME,SMCFX,HPE,UBSI,CRAI,CRAI,NVX
354,TDY,MAT,BAM,HUYA,SCWFX,TW,DY,PHR,PHR,KCN
355,ATO,AMKR,WRB,MOBX,CSPAX,TPL,VIRT,SCSC,SCSC,RMC
356,ES,CGNX,ROL,ACCD,VPMCX,FCNCA,VRNS,ARI,ARI,CDP
357,LDOS,QRVO,RF,NINE,VPMAX,WEC,BCC,OXM,OXM,AMH
358,PKG,ETSY,STM,LYEL,CSPCX,XYL,GPI,RC,RC,PPS
359,ERIE,LSTR,NTR,DSX,FSFWX,EBAY,STVN,MD,MD,RXM
360,ZBH,CROX,FE,NEGG,RSLFX,FCNCO,NSA,FVRR,FVRR,EML
361,FOXA,LITE,TU,ANY,RSEBX,DXCM,AMG,STAA,STAA,TBN
362,NTRS,CORT,LII,ATYR,RSLDX,DECK,AL,QNST,QNST,MMI
363,CBOE,COLB,NOK,MYSZ,RSLCX,BIDU,BWIN,XPEL,XPEL,ATA
364,STE,RMBS,EME,LGVN,FSWFX,ANSS,SOUN,PFBC,PFBC,ASG
365,ZBRA,OLLI,WST,VZLA,CSPFX,TSCO,CRUS,AORT,AORT,MLX
366,BF.B,COOP,WSM,CANF,SMCWX,FMX,TSEM,ELVN,ELVN,RDY
367,FOX,FIVE,FNV,QNRX,CSPEX,GPN,NFG,BELFA,BELFA,AVJ
368,STLD,LNTH,TECK,BCTX,RSLBX,CHT,MSGS,COHU,COHU,DSE
369,STX,HALO,DVN,IVVD,RLLGX,CAH,SNDR,RES,RES,DUR
370,MKC,LFUS,PBA,APTO,RSLAX,KEYS,HMY,CGAU,CGAU,OFX
371,FSLR,UMBF,WAT,TWG,SCWCX,DOW,CHX,AMSC,AMSC,MAU
372,CFG,BPMC,IFF,PET,VTTVX,GOLD,CNX,OLO,OLO,HUM
373,CLX,MMSI,WY,SMRT,VWITX,WDS,CTRE,ESTA,ESTA,HTA
374,CNP,BZ,BEKE,REVB,VWIUX,BNTX,PFSI,TWO,TWO,EBR
375,INVH,RDNT,MKL,LAB,FALCX,PPG,DNB,HCI,HCI,IGL
376,LUV,CRVL,KB,MTA,VHYAX,IOT,USM,RGTI,RGTI,HLO
377,BLDR,IONS,PUK,FRGE,FTIXX,GDDY,CRNX,PLYA,PLYA,SPZ
378,OMC,CYTK,TSN,EXFY,FISRX,STT,BBIO,UDMY,UDMY,ANG
379,NRG,STRL,FTS,QMMM,FCISX,EQR,SWX,PL,PL,PBH
380,CMS,SIGI,TDY,FBIO,FRIAX,MPWR,LEA,SA,SA,HZN
381,ESS,NOVT,ATO,ELDN,FKIQX,CNC,SITM,PSFE,PSFE,ACF
382,DRI,VLY,TOST,UPLD,FNCFX,RDDT,ACT,BLFS,BLFS,SVR
383,ULTA,ACIW,ES,NOTV,FKINX,EL,OZK,CSR,CSR,SKT
384,IP,CACC,PINS,SKYE,FBCEX,ON,INGM,SPH,SPH,IMR
385,COO,FFIN,LDOS,PRME,FBGKX,SW,BBU,CARS,CARS,PSQ
386,LH,BCPC,PKG,AEVA,FBGRX,CQP,IESC,PEBO,PEBO,BSE
387,PFG,SAIC,ZBH,AMBP,FBCKX,ERIC,TKR,RDFN,RDFN,SYA
388,TER,REYN,ASX,ZURA,FBCJX,WPM,PECO,PLSE,PLSE,SBM
389,GEN,QFIN,STE,BURU,FBCHX,K,KRYS,MESO,MESO,SMI
390,MAA,GRFS,PSTG,HITI,FBCCX,DOV,TLX,BOW,BOW,CVN
391,BBY,ROAD,TS,CVAC,VGSIX,BR,IEP,DXPE,DXPE,KSL
392,SNA,QLYS,BF.B,PGEN,VGSLX,TROW,WAY,WOLF,WOLF,ALK
393,L,NVMI,BF.A,GRYP,VGSNX,CVE,SEE,CRCT,CRCT,SFC
394,KEY,VKTX,SNAP,CTV,FIWGX,NVR,PIPR,SBGI,SBGI,AMI
395,PODD,SLM,UI,UNCY,FGCKX,FTV,ACA,VTEX,VTEX,REP
396,VRSN,WFRD,MKC.V,SMXT,FDGRX,RKT,NXT,MOMO,MOMO,PWR
397,CTRA,UBSI,MKC,UOKA,PRWCX,TYL,NXST,DQ,DQ,OBL
398,TRMB,VIRT,CFG,CCO,PACLX,NTAP,SRAD,INVA,INVA,WC8
399,JBHT,VRNS,CLX,DADA,TRAIX,CCJ,ITRI,KBDC,KBDC,JMS
400,FDS,BWIN,CNP,GRI,TRZBX,MTD,VIST,KRO,KRO,ARU
401,ARE,SOUN,INVH,ELWS,TRBCX,SYF,SOBO,ATUS,ATUS,IMU
402,DG,CRUS,BBDO,OSUR,TBCIX,ZM,MAC,CIM,CIM,AMA
403,PNR,TSEM,BBD,ACRS,RRBGX,VLTO,RRR,DGII,DGII,PGH
404,HRL,CHX,LUV,TV,PABGX,CHD,SFBS,ACDC,ACDC,FID
405,DGX,CRNX,IHG,CRON,NTPXX,WBD,NSIT,OCFC,OCFC,LAU
406,MAS,BBIO,BLDR,CGEN,VWNAX,VTR,RDN,FLNG,FLNG,GRR
407,IEX,SITM,OMC,CYCC,VWNFX,PHM,AI,PMT,PMT,RHI
408,ALGN,ACT,NRG,GSM,RNWBX,EQT,NEU,NXRT,NXRT,STP
409,NI,OZK,VIK,VRCA,FNWFX,TEF,INTA,PRO,PRO,XRF
410,NWS,IESC,CMS,DOUG,NFFFX,AWK,LAZ,DAVE,DAVE,TCG
411,GPC,PECO,MT,NOTE,NEWFX,SMCI,PRCT,PDFS,PDFS,OMH
412,MRNA,KRYS,ESS,PRFX,NEWCX,IX,TENB,FWRG,FWRG,LGI
413,HOLX,TLX,DRI,BTCM,RNWHX,HBAN,ALKS,HIMX,HIMX,WAT
414,J,IEP,CSL,FSP,CNWFX,CPAY,WHD,ECPG,ECPG,FND
415,BALL,WAY,WSO.B,ICCT,RNWAX,GIB,CNS,DK,DK,AGI
416,KIM,NXT,TME,TUYA,RNWFX,MDB,NE,BRDG,BRDG,EGH
417,MOH,NXST,WSO,SIDU,CNWEX,HAL,HWC,EVRI,EVRI,WGN
418,UDR,SRAD,IP,LGMK,RNWGX,DTE,ABG,FBMS,FBMS,URF
419,EXPD,ITRI,TEVA,BTM,RNWEX,TPG,BC,GETY,GETY,ONE
420,NWSA,RRR,LH,VOR,FNFWX,LYB,HXL,IGIC,IGIC,GDF
421,AVY,NSIT,TRU,FULC,CNWAX,GFS,ASAN,MRC,MRC,SYR
422,BAX,INTA,RCI,AEHL,CNWCX,PPL,COLM,TLRY,TLRY,CAY
423,EG,PRCT,MAA,HOUS,RNWCX,HUBB,MGY,VMEO,VMEO,CVC
424,DPZ,TENB,RYAN,VLN,RNEBX,ADM,WTM,BSIG,BSIG,ARX
425,LNT,ALKS,BBY,SHOT,FWWNX,TKO,SON,VIR,VIR,BBN
426,DLTR,HWC,SNA,CVM,NWFFX,WDC,LTH,TIGR,TIGR,CVW
427,CF,COLM,L,EDBL,VISVX,LPLA,FRSH,SUPV,SUPV,RAC
428,TXT,FRSH,KEY,BMR,VSIIX,AEE,MATX,PDM,PDM,SHA
429,JBL,SMTC,BAH,WBX,VSIAX,PHG,PAM,BCAX,BCAX,EEG
430,DOC,IDCC,ONON,BSFC,MEIKX,BCE,SMTC,COMM,COMM,TBR
431,VTRS,LANC,YUMC,BPT,MEIAX,EXPE,PHI,CECO,CECO,EOS
432,FFIV,LBTYB,CTRA,CTNT,MEIIX,CINF,IDCC,SEPN,SEPN,ABA
433,AKAM,LBTYK,FDS,SCLX,MFEBX,BAM,KTB,NG,NG,SWM
434,AMCR,RUSHA,NMR,HEPS,MEICX,PTC,LANC,PGRE,PGRE,OCC
435,INCY,TGTX,CRBG,CRDF,MEIGX,CDW,BDC,EFXT,EFXT,3PL
436,NDSN,FELE,SHG,MRSN,MEIJX,WRB,CRC,CMCO,CMCO,MHJ
437,TPR,CALM,BURL,BSBR,MEIHX,ROL,NJR,TPB,TPB,AVR
438,EVRG,EXPO,ARE,BTAI,MVRRX,RF,LBTYK,OBK,OBK,A1N
439,RL,AXSM,GFL,TEF,VEIPX,STM,IRT,QBTS,QBTS,FRI
440,POOL,LOPE,DG,GLDG,VEIRX,VOD,RUSHA,VSAT,VSAT,SKS
441,RVTY,RUSHB,PNR,VNDA,FXNAX,NTR,MAIN,BBSI,BBSI,VYS
442,BXP,LBTYA,RBA,MNTS,PCOXX,SBAC,TGTX,ADV,ADV,MEI
443,SWKS,ESGR,HRL,MREO,VBINX,FE,FELE,SSTK,SSTK,DUG
444,EPAM,CORZ,AER,XAIR,VBAIX,TU,CALM,BRKL,BRKL,TTT
445,REG,AVT,DKS,SPRC,VBIAX,LII,SG,ICHR,ICHR,D2O
446,KMX,FCFS,XPO,ZVIA,VLISX,NOK,POR,EFC,EFC,LGL
447,APTV,ADMA,FIX,MGX,VLCAX,EME,EXPO,MFA,MFA,4DX
448,PAYC,PI,RPM,OST,FBAUX,WST,AXSM,FSUN,FSUN,BTR
449,CPT,CLBT,DGX,MULN,FBAVX,FWONK,CUZ,ALX,ALX,CTM
450,HST,WRD,MAS,FOSL,FBALX,WSM,VVV,CBRL,CBRL,3DA
451,DVA,URBN,DT,ERAS,FBAKX,FNV,LOPE,ANIP,ANIP,WAR
452,SWK,GSHD,TWLO,PSNL,FBAOX,FWONA,RUSHB,EMBC,EMBC,BIS
453,CAG,AVAV,IEX,CIK,FBARX,TECK,OLN,TMP,TMP,PAR
454,UHS,ACLX,OC,LNKS,FBAQX,BIIB,KAI,BKD,BKD,CEH
455,CPB,RNA,NI,INZY,VBIPX,DVN,KRC,LMB,LMB,FEX
456,JKHY,PAGP,CAVA,HIX,VBITX,PBA,ESGR,GEAR,GEAR,DXB
457,TAP,RARE,TLK,RMTI,VBISX,WAT,ORA,AHH,AHH,STK
458,CHRW,GH,COHR,DHC,VBIRX,IFF,ABCB,GRC,GRC,CGS
459,SJM,EEFT,KOF,TTI,VFWSX,WY,RYN,VNET,VNET,ALA
460,DAY,SNRE,GPC,GORO,VFWPX,BEKE,FLG,AMAL,AMAL,A1M
461,ALB,PLXS,J,GLYC,VFWAX,NTRA,CORZ,LVWR,LVWR,MEK
462,ALLE,IBOC,BALL,LPTX,VLACX,MKL,FUN,ASPN,ASPN,TZN
463,NCLH,CRSP,KIM,VVR,FESGX,AFRM,LRN,IHS,IHS,TLG
464,JNPR,TIGO,FNF,BOF,SGENX,KB,NXE,PGRU,PGRU,NTU
465,SOLV,BGC,MOH,IHS,SGIIX,PUK,BOOT,BLMN,BLMN,CXO
466,TECH,FTDR,UMC,POWW,FEGRX,ILMN,AVT,SII,SII,ECF
467,BG,GLNG,USFD,CARA,VTWAX,EXE,FCFS,KFRC,KFRC,FWD
468,EMN,AEIS,UDR,ATOS,VTWIX,RYAAY,TNET,CSWC,CSWC,IMB
469,AIZ,SKYW,EXPD,TMC,VFSUX,TSN,LB,BCSF,BCSF,KED
470,BEN,PONY,RS,CTOR,VFSTX,LI,ADMA,YEXT,YEXT,BTI
471,CTLT,VCTR,YPF,BRCC,VFSIX,FTS,ITGR,OPK,OPK,BBT
472,LW,CLSK,AVY,CMCT,VTSPX,TDY,PI,BELFB,BELFB,COI
473,MGM,IPAR,SUI,EGHT,VTIPX,ATO,BOX,CBLL,CBLL,EOL
474,IPG,USLM,BAX,SPWH,VTAPX,TOST,CLBT,BITF,BITF,COS
475,GNRC,FIZZ,EC,PEV,VDIGX,ES,MSM,MSEX,MSEX,BOC
476,AOS,NCNO,BIP,NCV,VFFVX,BGNE,FLO,THR,THR,GRX
477,PNW,RIOT,JEF,TOUR,TRSAX,PINS,AX,ARR,ARR,POL
478,WYNN,NWL,WLK,WLGS,TRJZX,LDOS,AGO,AMTB,AMTB,VEE
479,LKQ,BANF,EG,BZUN,PRGFX,PKG,WRD,EXK,EXK,CYC
480,CRL,SBRA,DPZ,SSP,RRGSX,DOCU,URBN,XRX,XRX,RFG
481,FRT,BRZE,H,FGL,PRUFX,DKNG,GSHD,WEAV,WEAV,CAA
482,ENPH,SANM,AMH,PBYI,FSPSX,ERIE,SM,IE,IE,COG
483,AES,KTOS,BSBR,BLIN,AGPXX,ZBH,RXO,NVGS,NVGS,PEN
484,HAS,DORM,TOL,IPSC,JTSXX,FOXA,ST,BXC,BXC,29M
485,HSIC,IMVT,CF,GREE,VWINX,NTRS,AVAV,BFC,BFC,LRV
486,MKTX,RELY,TXT,ARAY,BAGSX,CBOE,ACLX,VTLE,VTLE,AAR
487,GL,APLS,WES,ACB,BAGIX,ASX,RNA,GATO,GATO,NDO
488,TFX,IAC,JBL,HUBC,VICBX,STE,PAGP,FBRT,FBRT,FBR
489,MTCH,GBDC,DOC,OGEN,VICSX,PSTG,M,CCEC,CCEC,MDR
490,MHK,SRRK,BAP,MBIO,TCEPX,ZBRA,RARE,FBYD,FBYD,SVL
491,MOS,ALKT,GGG,TOON,TIQRX,TS,GH,ASTL,ASTL,AOF
492,IVZ,CVCO,JHX,PGRE,TEIHX,BF.A,AVNT,ETWO,ETWO,PLY
493,CZR,TCBI,ACM,ATNM,TEQWX,KSPI,EEFT,PENG,PENG,RHK
494,APA,GDS,CNH,GNPX,TINRX,SNAP,CIVI,AGRO,AGRO,QGL
495,CE,BL,ZTO,STIM,TIEIX,STLD,BHVN,SBSI,SBSI,SLH
496,WBA,CARG,GWRE,IMUX,VWIAX,STX,TGS,CTBI,CTBI,DGL
497,BWA,BLKB,EQH,CKPT,CCETX,UI,KMPR,GIC,GIC,WIA
498,HII,SMPL,AMCR,IMMX,RBEEX,MKC.V,GOLF,OMI,OMI,SSG
499,PARA,VRRM,AVTR,INO,AAETX,MKC,ELPC,TRS,TRS,AIM
500,FMC,,,,,FSLR,,,,
501,QRVO,,,,,CFG,,,,
502,AMTM,,,,,GRAB,,,,
503,,,,,,CLX,,,,
504,,,,,,CNP,,,,
505,,,,,,INVH,,,,
506,,,,,,CHKP,,,,
507,,,,,,BBD,,,,
508,,,,,,LUV,,,,
509,,,,,,IHG,,,,
510,,,,,,BLDR,,,,
511,,,,,,OMC,,,,
512,,,,,,NRG,,,,
513,,,,,,VIK,,,,
514,,,,,,CMS,,,,
515,,,,,,MT,,,,
516,,,,,,ESS,,,,
517,,,,,,DRI,,,,
518,,,,,,CSL,,,,
519,,,,,,WSO.B,,,,
520,,,,,,TME,,,,
521,,,,,,ULTA,,,,
522,,,,,,WSO,,,,
523,,,,,,IP,,,,
524,,,,,,TEVA,,,,
525,,,,,,COO,,,,
526,,,,,,LH,,,,
527,,,,,,TRU,,,,
528,,,,,,PFG,,,,
529,,,,,,TER,,,,
530,,,,,,GEN,,,,
531,,,,,,ALAB,,,,
532,,,,,,RCI,,,,
533,,,,,,MAA,,,,
534,,,,,,Z,,,,
535,,,,,,RYAN,,,,
536,,,,,,CG,,,,
537,,,,,,SSNC,,,,
538,,,,,,BBY,,,,
539,,,,,,SNA,,,,
540,,,,,,L,,,,
541,,,,,,KEY,,,,
542,,,,,,BAH,,,,
543,,,,,,PODD,,,,
544,,,,,,MANH,,,,
545,,,,,,ONON,,,,
546,,,,,,YUMC,,,,
547,,,,,,VRSN,,,,
548,,,,,,CTRA,,,,
549,,,,,,TRMB,,,,
550,,,,,,JBHT,,,,
551,,,,,,FDS,,,,
552,,,,,,NMR,,,,
553,,,,,,CRBG,,,,
554,,,,,,SHG,,,,
555,,,,,,NTNX,,,,
556,,,,,,BURL,,,,
557,,,,,,ARE,,,,
558,,,,,,GFL,,,,
559,,,,,,ICLR,,,,
560,,,,,,DG,,,,
561,,,,,,PNR,,,,
562,,,,,,RBA,,,,
563,,,,,,HRL,,,,
564,,,,,,AER,,,,
565,,,,,,DKS,,,,
566,,,,,,XPO,,,,
567,,,,,,FIX,,,,
568,,,,,,RPM,,,,
569,,,,,,DGX,,,,
570,,,,,,MAS,,,,
571,,,,,,DT,,,,
572,,,,,,TWLO,,,,
573,,,,,,IEX,,,,
574,,,,,,SOFI,,,,
575,,,,,,ALGN,,,,
576,,,,,,OC,,,,
577,,,,,,NI,,,,
578,,,,,,CAVA,,,,
579,,,,,,TLK,,,,
580,,,,,,COHR,,,,
581,,,,,,KOF,,,,
582,,,,,,GPC,,,,
583,,,,,,MRNA,,,,
584,,,,,,HOLX,,,,
585,,,,,,J,,,,
586,,,,,,BALL,,,,
587,,,,,,KIM,,,,
588,,,,,,FNF,,,,
589,,,,,,MOH,,,,
590,,,,,,UMC,,,,
591,,,,,,WMG,,,,
592,,,,,,USFD,,,,
593,,,,,,UDR,,,,
594,,,,,,EXPD,,,,
595,,,,,,NWSA,,,,
596,,,,,,ENTG,,,,
597,,,,,,UTHR,,,,
598,,,,,,RS,,,,
599,,,,,,SYM,,,,
600,,,,,,YPF,,,,
601,,,,,,AVY,,,,
602,,,,,,SUI,,,,
603,,,,,,BAX,,,,
604,,,,,,DUOL,,,,
605,,,,,,EC,,,,
606,,,,,,FTAI,,,,
607,,,,,,BIP,,,,
608,,,,,,JEF,,,,
609,,,,,,WLK,,,,
610,,,,,,EG,,,,
611,,,,,,AZPN,,,,
612,,,,,,DPZ,,,,
613,,,,,,H,,,,
614,,,,,,AMH,,,,
615,,,,,,CASY,,,,
616,,,,,,BSY,,,,
617,,,,,,LNT,,,,
618,,,,,,LINE,,,,
619,,,,,,BSBR,,,,
620,,,,,,TOL,,,,
621,,,,,,DLTR,,,,
622,,,,,,CF,,,,
623,,,,,,MORN,,,,
624,,,,,,TXT,,,,
625,,,,,,WES,,,,
626,,,,,,JBL,,,,
627,,,,,,RPRX,,,,
628,,,,,,DOC,,,,
629,,,,,,VTRS,,,,
630,,,,,,BAP,,,,
631,,,,,,GGG,,,,
632,,,,,,SFM,,,,
633,,,,,,JHX,,,,
634,,,,,,FFIV,,,,
635,,,,,,ACM,,,,
636,,,,,,FLEX,,,,
637,,,,,,CNH,,,,
638,,,,,,ZTO,,,,
639,,,,,,GWRE,,,,
640,,,,,,MNDY,,,,
641,,,,,,EQH,,,,
642,,,,,,AKAM,,,,
643,,,,,,AMCR,,,,
644,,,,,,INCY,,,,
645,,,,,,EWBC,,,,
646,,,,,,AVTR,,,,
647,,,,,,NDSN,,,,
648,,,,,,GMAB,,,,
649,,,,,,OKTA,,,,
650,,,,,,RNR,,,,
651,,,,,,RGA,,,,
652,,,,,,TPR,,,,
653,,,,,,EVRG,,,,
654,,,,,,ARCC,,,,
655,,,,,,RL,,,,
656,,,,,,UHAL,,,,
657,,,,,,CW,,,,
658,,,,,,EDR,,,,
659,,,,,,GLPI,,,,
660,,,,,,POOL,,,,
661,,,,,,RVTY,,,,
662,,,,,,FMS,,,,
663,,,,,,BXP,,,,
664,,,,,,SN,,,,
665,,,,,,CYBR,,,,
666,,,,,,SWKS,,,,
667,,,,,,PFGC,,,,
668,,,,,,PKX,,,,
669,,,,,,ELS,,,,
670,,,,,,EPAM,,,,
671,,,,,,VIV,,,,
672,,,,,,MBLY,,,,
673,,,,,,AGR,,,,
674,,,,,,EBR,,,,
675,,,,,,UNM,,,,
676,,,,,,SAIA,,,,
677,,,,,,SMMT,,,,
678,,,,,,CNA,,,,
679,,,,,,REG,,,,
680,,,,,,AUR,,,,
681,,,,,,INSM,,,,
682,,,,,,LAMR,,,,
683,,,,,,SUZ,,,,
684,,,,,,CLH,,,,
685,,,,,,KMX,,,,
686,,,,,,APTV,,,,
687,,,,,,RIVN,,,,
688,,,,,,MMYT,,,,
689,,,,,,PAYC,,,,
690,,,,,,THC,,,,
691,,,,,,CPT,,,,
692,,,,,,JLL,,,,
693,,,,,,HST,,,,
694,,,,,,DVA,,,,
695,,,,,,TXRH,,,,
696,,,,,,RTO,,,,
697,,,,,,FTI,,,,
698,,,,,,UHAL.B,,,,
699,,,,,,MGA,,,,
700,,,,,,SWK,,,,
701,,,,,,CAG,,,,
702,,,,,,GME,,,,
703,,,,,,NBIX,,,,
704,,,,,,CHWY,,,,
705,,,,,,TFII,,,,
706,,,,,,UHS,,,,
707,,,,,,HLI,,,,
708,,,,,,PAA,,,,
709,,,,,,CPB,,,,
710,,,,,,BMRN,,,,
711,,,,,,ITT,,,,
712,,,,,,NVT,,,,
713,,,,,,AS,,,,
714,,,,,,BJ,,,,
715,,,,,,JKHY,,,,
716,,,,,,LOGI,,,,
717,,,,,,TAP,,,,
718,,,,,,TAP.A,,,,
719,,,,,,GFI,,,,
720,,,,,,SCI,,,,
721,,,,,,CHRW,,,,
722,,,,,,CRDO,,,,
723,,,,,,SJM,,,,
724,,,,,,DAY,,,,
725,,,,,,LBRDK,,,,
726,,,,,,PCOR,,,,
727,,,,,,RKLB,,,,
728,,,,,,ALB,,,,
729,,,,,,RDY,,,,
730,,,,,,WIX,,,,
731,,,,,,SRPT,,,,
732,,,,,,WPC,,,,
733,,,,,,ROKU,,,,
734,,,,,,ALLE,,,,
735,,,,,,KNSL,,,,
736,,,,,,NCLH,,,,
737,,,,,,JNPR,,,,
738,,,,,,SOLV,,,,
739,,,,,,EVR,,,,
740,,,,,,KGC,,,,
741,,,,,,AFG,,,,
742,,,,,,PPC,,,,
743,,,,,,NICE,,,,
744,,,,,,WPP,,,,
745,,,,,,XPEV,,,,
746,,,,,,LECO,,,,
747,,,,,,TECH,,,,
748,,,,,,FND,,,,
749,,,,,,PR,,,,
750,,,,,,ALLY,,,,
751,,,,,,RBRK,,,,
752,,,,,,BEP,,,,
753,,,,,,BG,,,,
754,,,,,,BCH,,,,
755,,,,,,EMN,,,,
756,,,,,,SF,,,,
757,,,,,,PCVX,,,,
758,,,,,,PRMB,,,,
759,,,,,,EXAS,,,,
760,,,,,,BWXT,,,,
